data,0-5 anni,6-12 anni,13-19 anni,20-29 anni,30-39 anni,40-49 anni,50-59 anni,60-69 anni,70-79 anni,80-89 anni,≥90 anni
2022-09-09,29.142857142857142,39.857142857142854,29.571428571428573,79.42857142857143,124.71428571428571,164.57142857142858,200.28571428571428,178.85714285714286,155.57142857142858,74.71428571428571,12.428571428571429
2022-09-10,31.142857142857142,40.57142857142857,31.142857142857142,81.42857142857143,128.28571428571428,168.85714285714286,205.57142857142858,182.71428571428572,161.85714285714286,78.0,12.428571428571429
2022-09-11,32.0,41.714285714285715,33.142857142857146,83.42857142857143,131.42857142857142,171.85714285714286,214.42857142857142,191.0,167.42857142857142,82.57142857142857,11.142857142857142
2022-09-12,33.714285714285715,50.857142857142854,36.285714285714285,83.14285714285714,133.14285714285714,179.0,223.85714285714286,198.28571428571428,171.57142857142858,85.14285714285714,10.0
2022-09-13,36.714285714285715,62.142857142857146,41.285714285714285,84.28571428571429,134.71428571428572,183.42857142857142,229.85714285714286,203.42857142857142,176.42857142857142,90.28571428571429,10.428571428571429
2022-09-14,41.0,67.14285714285714,44.42857142857143,87.14285714285714,137.14285714285714,186.85714285714286,236.28571428571428,207.85714285714286,175.85714285714286,89.42857142857143,11.428571428571429
2022-09-15,41.857142857142854,70.57142857142857,44.857142857142854,88.0,137.0,188.42857142857142,237.85714285714286,207.14285714285714,176.28571428571428,91.28571428571429,11.285714285714286
2022-09-16,50.142857142857146,88.0,54.42857142857143,93.57142857142857,145.28571428571428,201.85714285714286,253.85714285714286,214.42857142857142,180.0,90.14285714285714,13.0
2022-09-17,53.42857142857143,104.28571428571429,63.57142857142857,93.42857142857143,153.28571428571428,211.0,263.7142857142857,215.0,180.28571428571428,92.71428571428571,15.0
2022-09-18,56.285714285714285,112.28571428571429,73.0,91.71428571428571,166.57142857142858,225.28571428571428,273.2857142857143,216.71428571428572,186.85714285714286,93.71428571428571,16.285714285714285
2022-09-19,57.857142857142854,117.28571428571429,79.28571428571429,94.57142857142857,176.57142857142858,235.85714285714286,285.2857142857143,223.0,191.42857142857142,94.85714285714286,17.142857142857142
2022-09-20,54.857142857142854,121.14285714285714,84.0,103.28571428571429,189.28571428571428,254.0,303.57142857142856,235.28571428571428,202.71428571428572,97.42857142857143,19.142857142857142
2022-09-21,53.57142857142857,128.14285714285714,90.14285714285714,106.57142857142857,197.71428571428572,265.7142857142857,316.7142857142857,248.71428571428572,212.14285714285714,102.14285714285714,19.714285714285715
2022-09-22,53.42857142857143,129.42857142857142,94.14285714285714,108.28571428571429,205.57142857142858,279.2857142857143,328.2857142857143,258.57142857142856,217.0,105.42857142857143,21.857142857142858
2022-09-23,50.285714285714285,127.14285714285714,105.85714285714286,118.0,227.71428571428572,313.7142857142857,374.14285714285717,284.14285714285717,238.14285714285714,117.42857142857143,25.142857142857142
2022-09-24,48.57142857142857,129.28571428571428,117.14285714285714,134.0,254.0,353.2857142857143,421.2857142857143,323.0,272.2857142857143,129.71428571428572,29.0
2022-09-25,47.142857142857146,137.57142857142858,126.28571428571429,157.71428571428572,274.42857142857144,400.57142857142856,469.14285714285717,362.7142857142857,299.0,147.71428571428572,34.142857142857146
2022-09-26,46.714285714285715,135.0,135.57142857142858,175.42857142857142,299.42857142857144,436.0,518.2857142857143,409.14285714285717,333.85714285714283,166.14285714285714,38.285714285714285
2022-09-27,47.714285714285715,131.85714285714286,139.0,183.71428571428572,319.2857142857143,453.85714285714283,563.7142857142857,439.42857142857144,358.57142857142856,183.71428571428572,41.285714285714285
2022-09-28,47.857142857142854,128.28571428571428,145.28571428571428,195.85714285714286,337.42857142857144,483.42857142857144,604.7142857142857,474.57142857142856,382.85714285714283,198.71428571428572,42.285714285714285
2022-09-29,47.285714285714285,126.57142857142857,146.14285714285714,201.0,346.14285714285717,490.0,621.1428571428571,481.14285714285717,389.7142857142857,205.71428571428572,43.285714285714285
2022-09-30,46.714285714285715,128.14285714285714,155.42857142857142,239.0,391.85714285714283,567.5714285714286,729.1428571428571,563.7142857142857,444.42857142857144,237.85714285714286,50.857142857142854
2022-10-01,48.42857142857143,118.14285714285714,155.85714285714286,261.2857142857143,411.14285714285717,589.2857142857143,784.5714285714286,609.0,480.14285714285717,258.14285714285717,54.57142857142857
2022-10-02,49.42857142857143,108.0,156.42857142857142,275.57142857142856,432.14285714285717,607.1428571428571,840.2857142857143,655.1428571428571,524.8571428571429,277.2857142857143,62.142857142857146
2022-10-03,49.57142857142857,105.71428571428571,154.0,300.2857142857143,452.2857142857143,624.8571428571429,881.8571428571429,692.0,567.2857142857143,301.85714285714283,66.71428571428571
2022-10-04,52.42857142857143,105.57142857142857,153.85714285714286,314.7142857142857,465.85714285714283,654.7142857142857,932.1428571428571,747.0,618.5714285714286,328.57142857142856,75.57142857142857
2022-10-05,52.285714285714285,104.57142857142857,150.28571428571428,322.14285714285717,478.7142857142857,665.2857142857143,965.2857142857143,771.7142857142857,653.1428571428571,343.7142857142857,80.0
2022-10-06,53.42857142857143,103.85714285714286,148.42857142857142,323.42857142857144,474.14285714285717,660.5714285714286,965.1428571428571,774.2857142857143,660.8571428571429,344.85714285714283,83.14285714285714
2022-10-07,49.857142857142854,91.42857142857143,133.57142857142858,307.42857142857144,452.14285714285717,609.4285714285714,952.4285714285714,782.8571428571429,689.0,357.42857142857144,84.85714285714286
2022-10-08,47.57142857142857,87.14285714285714,121.57142857142857,307.14285714285717,444.2857142857143,602.2857142857143,953.0,795.5714285714286,701.8571428571429,365.85714285714283,89.28571428571429
2022-10-09,46.0,83.71428571428571,108.28571428571429,298.2857142857143,437.2857142857143,589.1428571428571,944.8571428571429,802.4285714285714,707.4285714285714,376.57142857142856,88.42857142857143
2022-10-10,46.857142857142854,80.57142857142857,103.14285714285714,279.85714285714283,424.7142857142857,571.0,927.2857142857143,790.2857142857143,698.8571428571429,375.2857142857143,90.85714285714286
2022-10-11,44.42857142857143,74.42857142857143,96.28571428571429,272.2857142857143,411.42857142857144,557.7142857142857,896.7142857142857,763.4285714285714,686.8571428571429,363.85714285714283,86.57142857142857
2022-10-12,42.0,68.14285714285714,89.14285714285714,260.42857142857144,395.2857142857143,539.2857142857143,869.8571428571429,741.8571428571429,672.7142857142857,357.7142857142857,88.14285714285714
2022-10-13,40.857142857142854,67.14285714285714,88.14285714285714,259.57142857142856,392.0,535.5714285714286,861.2857142857143,735.8571428571429,668.2857142857143,355.0,87.14285714285714
2022-10-14,41.0,68.71428571428571,84.71428571428571,263.42857142857144,400.85714285714283,554.1428571428571,853.7142857142857,724.7142857142857,658.2857142857143,362.57142857142856,87.85714285714286
2022-10-15,41.57142857142857,65.85714285714286,81.71428571428571,245.0,377.42857142857144,522.7142857142857,816.8571428571429,696.7142857142857,645.4285714285714,366.57142857142856,85.57142857142857
2022-10-16,41.857142857142854,60.857142857142854,80.0,229.57142857142858,343.57142857142856,484.7142857142857,765.1428571428571,654.1428571428571,620.2857142857143,354.42857142857144,81.42857142857143
2022-10-17,37.285714285714285,58.857142857142854,78.14285714285714,222.0,330.2857142857143,470.14285714285717,745.7142857142857,635.4285714285714,595.0,351.14285714285717,86.14285714285714
2022-10-18,37.285714285714285,57.0,76.42857142857143,214.71428571428572,321.42857142857144,447.2857142857143,706.5714285714286,621.8571428571429,570.2857142857143,347.14285714285717,85.0
2022-10-19,37.857142857142854,57.285714285714285,76.85714285714286,214.14285714285714,311.0,433.0,683.4285714285714,608.2857142857143,544.5714285714286,342.2857142857143,81.71428571428571
2022-10-20,36.714285714285715,56.57142857142857,74.71428571428571,208.14285714285714,308.0,425.0,676.1428571428571,605.8571428571429,538.5714285714286,341.14285714285717,81.28571428571429
2022-10-21,35.42857142857143,52.57142857142857,67.71428571428571,190.42857142857142,282.14285714285717,383.0,614.2857142857143,556.1428571428571,510.14285714285717,324.2857142857143,80.57142857142857
2022-10-22,33.142857142857146,49.285714285714285,63.142857142857146,180.71428571428572,268.57142857142856,359.85714285714283,568.8571428571429,519.1428571428571,475.0,301.14285714285717,75.28571428571429
2022-10-23,28.0,48.57142857142857,60.42857142857143,170.57142857142858,258.42857142857144,343.85714285714283,537.0,491.57142857142856,441.42857142857144,289.42857142857144,70.0
2022-10-24,28.142857142857142,44.42857142857143,54.42857142857143,154.0,238.85714285714286,315.7142857142857,491.0,457.42857142857144,414.0,269.14285714285717,58.285714285714285
2022-10-25,25.142857142857142,39.57142857142857,50.42857142857143,138.85714285714286,212.28571428571428,290.42857142857144,461.2857142857143,416.2857142857143,387.0,252.71428571428572,54.0
2022-10-26,24.0,36.285714285714285,45.0,126.14285714285714,199.71428571428572,271.85714285714283,427.85714285714283,390.2857142857143,374.14285714285717,244.71428571428572,51.0
2022-10-27,23.714285714285715,33.57142857142857,44.857142857142854,123.0,193.0,266.57142857142856,417.42857142857144,379.85714285714283,369.2857142857143,240.0,48.714285714285715
2022-10-28,19.857142857142858,27.285714285714285,40.285714285714285,102.57142857142857,151.57142857142858,217.14285714285714,345.0,327.85714285714283,316.14285714285717,204.57142857142858,38.0
2022-10-29,16.0,24.285714285714285,35.142857142857146,85.28571428571429,131.42857142857142,189.42857142857142,297.85714285714283,278.2857142857143,266.14285714285717,175.0,32.57142857142857
2022-10-30,19.857142857142858,26.0,40.57142857142857,95.0,150.85714285714286,219.0,326.57142857142856,294.0,278.2857142857143,171.57142857142858,33.857142857142854
2022-10-31,18.428571428571427,28.142857142857142,38.142857142857146,98.57142857142857,143.57142857142858,219.28571428571428,323.0,288.2857142857143,271.0,168.85714285714286,31.142857142857142
2022-11-01,18.0,29.0,39.857142857142854,105.14285714285714,154.71428571428572,219.71428571428572,319.57142857142856,288.7142857142857,270.7142857142857,166.14285714285714,30.0
2022-11-02,16.857142857142858,29.142857142857142,41.857142857142854,112.14285714285714,159.85714285714286,222.85714285714286,324.7142857142857,289.57142857142856,263.85714285714283,162.57142857142858,30.0
2022-11-03,17.285714285714285,30.0,42.142857142857146,113.85714285714286,161.28571428571428,226.42857142857142,327.2857142857143,293.2857142857143,263.2857142857143,163.42857142857142,30.857142857142858
2022-11-04,19.285714285714285,33.0,49.285714285714285,124.85714285714286,173.28571428571428,247.85714285714286,352.0,304.14285714285717,269.7142857142857,173.14285714285714,35.857142857142854
2022-11-05,20.428571428571427,36.142857142857146,55.142857142857146,139.42857142857142,188.57142857142858,278.0,386.2857142857143,334.57142857142856,296.7142857142857,189.28571428571428,39.857142857142854
2022-11-06,19.142857142857142,32.857142857142854,51.42857142857143,126.71428571428571,174.0,247.71428571428572,356.57142857142856,307.7142857142857,278.0,183.42857142857142,39.285714285714285
2022-11-07,19.714285714285715,31.142857142857142,55.857142857142854,125.14285714285714,181.0,254.85714285714286,358.14285714285717,305.0,285.0,181.14285714285714,40.57142857142857
2022-11-08,19.571428571428573,32.714285714285715,57.857142857142854,125.42857142857143,180.14285714285714,254.85714285714286,371.0,304.42857142857144,278.42857142857144,180.71428571428572,43.0
2022-11-09,19.857142857142858,33.714285714285715,60.57142857142857,122.85714285714286,179.0,261.7142857142857,378.42857142857144,302.14285714285717,285.2857142857143,183.85714285714286,43.714285714285715
2022-11-10,19.857142857142858,33.857142857142854,60.142857142857146,124.14285714285714,182.71428571428572,261.85714285714283,381.2857142857143,305.57142857142856,285.14285714285717,185.42857142857142,44.142857142857146
2022-11-11,18.571428571428573,33.857142857142854,61.42857142857143,125.57142857142857,195.42857142857142,281.7142857142857,405.7142857142857,318.85714285714283,295.85714285714283,183.71428571428572,43.0
2022-11-12,19.714285714285715,34.857142857142854,65.85714285714286,130.28571428571428,204.71428571428572,285.14285714285717,421.0,332.57142857142856,306.7142857142857,194.85714285714286,41.57142857142857
2022-11-13,19.714285714285715,36.857142857142854,66.71428571428571,134.28571428571428,209.85714285714286,294.42857142857144,427.2857142857143,340.7142857142857,312.85714285714283,195.57142857142858,42.857142857142854
2022-11-14,20.714285714285715,38.57142857142857,70.0,140.57142857142858,208.42857142857142,295.14285714285717,431.2857142857143,353.14285714285717,305.14285714285717,199.57142857142858,43.0
2022-11-15,21.0,39.57142857142857,66.85714285714286,141.42857142857142,212.14285714285714,303.0,428.2857142857143,354.85714285714283,309.7142857142857,205.42857142857142,42.42857142857143
2022-11-16,20.428571428571427,39.285714285714285,66.42857142857143,145.71428571428572,217.71428571428572,302.57142857142856,431.7142857142857,361.0,310.2857142857143,206.0,42.857142857142854
2022-11-17,19.857142857142858,40.285714285714285,67.0,146.57142857142858,216.71428571428572,304.7142857142857,428.14285714285717,358.57142857142856,312.57142857142856,204.0,40.714285714285715
2022-11-18,20.714285714285715,41.714285714285715,68.57142857142857,148.71428571428572,216.14285714285714,300.2857142857143,431.7142857142857,368.85714285714283,308.0,204.57142857142858,41.0
2022-11-19,20.714285714285715,40.285714285714285,67.14285714285714,147.42857142857142,213.71428571428572,302.57142857142856,438.14285714285717,367.85714285714283,309.14285714285717,197.28571428571428,43.0
2022-11-20,20.0,40.142857142857146,68.85714285714286,151.85714285714286,210.14285714285714,302.14285714285717,448.85714285714283,377.2857142857143,313.0,200.85714285714286,43.57142857142857
2022-11-21,18.428571428571427,39.57142857142857,68.57142857142857,152.57142857142858,216.57142857142858,304.57142857142856,463.14285714285717,373.2857142857143,321.85714285714283,206.28571428571428,45.142857142857146
2022-11-22,19.0,37.857142857142854,71.42857142857143,156.0,217.71428571428572,307.14285714285717,468.42857142857144,381.85714285714283,329.2857142857143,211.42857142857142,48.142857142857146
2022-11-23,20.142857142857142,38.57142857142857,72.42857142857143,156.0,217.14285714285714,308.85714285714283,477.7142857142857,388.42857142857144,336.85714285714283,210.57142857142858,48.142857142857146
2022-11-24,19.714285714285715,37.857142857142854,71.42857142857143,158.71428571428572,217.42857142857142,308.0,484.85714285714283,391.7142857142857,336.7142857142857,214.14285714285714,50.42857142857143
2022-11-25,19.428571428571427,37.42857142857143,68.42857142857143,164.28571428571428,229.0,319.7142857142857,505.7142857142857,395.85714285714283,348.14285714285717,228.28571428571428,56.285714285714285
2022-11-26,18.857142857142858,39.0,68.28571428571429,165.42857142857142,237.42857142857142,327.57142857142856,511.57142857142856,402.0,350.85714285714283,241.85714285714286,58.285714285714285
2022-11-27,18.857142857142858,38.285714285714285,69.14285714285714,171.42857142857142,244.57142857142858,328.2857142857143,515.4285714285714,405.14285714285717,353.0,249.57142857142858,60.714285714285715
2022-11-28,19.857142857142858,38.142857142857146,66.14285714285714,169.42857142857142,244.42857142857142,324.14285714285717,518.0,412.42857142857144,361.85714285714283,255.0,62.142857142857146
2022-11-29,20.571428571428573,37.0,66.14285714285714,165.14285714285714,242.28571428571428,321.57142857142856,528.0,414.14285714285717,361.14285714285717,258.14285714285717,62.42857142857143
2022-11-30,20.571428571428573,34.714285714285715,61.57142857142857,163.57142857142858,242.0,313.57142857142856,514.0,407.14285714285717,352.14285714285717,261.85714285714283,62.285714285714285
2022-12-01,21.285714285714285,34.857142857142854,60.57142857142857,160.57142857142858,242.28571428571428,312.2857142857143,511.85714285714283,405.7142857142857,352.2857142857143,260.14285714285717,61.285714285714285
2022-12-02,19.714285714285715,30.857142857142858,57.714285714285715,152.28571428571428,228.0,289.14285714285717,475.14285714285717,397.42857142857144,352.2857142857143,260.85714285714283,60.857142857142854
2022-12-03,19.428571428571427,27.428571428571427,54.0,147.57142857142858,216.42857142857142,272.14285714285717,455.7142857142857,390.57142857142856,344.85714285714283,253.28571428571428,60.142857142857146
2022-12-04,19.0,25.142857142857142,48.285714285714285,136.57142857142858,207.14285714285714,263.7142857142857,427.2857142857143,375.7142857142857,339.14285714285717,247.85714285714286,60.42857142857143
2022-12-05,17.857142857142858,20.0,40.285714285714285,118.28571428571429,180.85714285714286,229.57142857142858,364.0,324.42857142857144,288.85714285714283,219.28571428571428,55.57142857142857
2022-12-06,16.142857142857142,19.285714285714285,35.0,118.14285714285714,181.14285714285714,228.0,350.85714285714283,321.42857142857144,285.7142857142857,213.85714285714286,53.714285714285715
2022-12-07,16.0,18.428571428571427,34.0,113.0,172.57142857142858,223.0,341.2857142857143,312.0,281.0,211.0,54.142857142857146
2022-12-08,15.142857142857142,17.428571428571427,33.714285714285715,111.14285714285714,169.71428571428572,221.57142857142858,338.7142857142857,309.42857142857144,280.2857142857143,217.14285714285714,55.285714285714285
2022-12-09,14.142857142857142,15.285714285714286,26.857142857142858,101.57142857142857,160.0,201.85714285714286,317.85714285714283,277.7142857142857,255.57142857142858,196.71428571428572,51.0
2022-12-10,14.0,14.142857142857142,24.0,96.28571428571429,153.14285714285714,196.42857142857142,295.57142857142856,260.57142857142856,245.0,189.0,50.857142857142854
2022-12-11,13.285714285714286,12.714285714285714,19.285714285714285,90.0,142.42857142857142,182.85714285714286,279.57142857142856,241.14285714285714,228.71428571428572,181.57142857142858,46.42857142857143
2022-12-12,13.142857142857142,13.714285714285714,21.142857142857142,94.28571428571429,150.85714285714286,195.85714285714286,297.2857142857143,257.2857142857143,246.57142857142858,193.0,48.285714285714285
2022-12-13,12.285714285714286,12.142857142857142,19.714285714285715,82.14285714285714,138.14285714285714,174.57142857142858,267.7142857142857,226.57142857142858,217.57142857142858,178.0,45.714285714285715
2022-12-14,10.857142857142858,11.428571428571429,18.0,80.57142857142857,131.71428571428572,164.71428571428572,253.71428571428572,212.85714285714286,206.14285714285714,167.71428571428572,44.142857142857146
2022-12-15,11.285714285714286,10.285714285714286,17.285714285714285,77.71428571428571,130.71428571428572,159.71428571428572,243.85714285714286,208.0,203.28571428571428,158.71428571428572,42.142857142857146
2022-12-16,10.714285714285714,8.285714285714286,15.285714285714286,68.57142857142857,110.85714285714286,140.42857142857142,205.71428571428572,192.42857142857142,183.57142857142858,152.57142857142858,39.714285714285715
2022-12-17,10.285714285714286,7.428571428571429,14.285714285714286,61.857142857142854,99.85714285714286,122.57142857142857,195.85714285714286,180.57142857142858,172.14285714285714,150.57142857142858,38.857142857142854
2022-12-18,9.857142857142858,7.0,13.428571428571429,56.857142857142854,95.0,113.14285714285714,182.28571428571428,172.42857142857142,158.85714285714286,145.42857142857142,36.714285714285715
2022-12-19,9.857142857142858,5.857142857142857,12.142857142857142,53.57142857142857,90.57142857142857,106.71428571428571,174.42857142857142,170.71428571428572,153.71428571428572,138.85714285714286,36.0
2022-12-20,10.0,6.0,11.714285714285714,51.57142857142857,83.14285714285714,104.71428571428571,169.85714285714286,172.42857142857142,156.85714285714286,137.28571428571428,35.714285714285715
2022-12-21,10.0,5.571428571428571,10.714285714285714,46.142857142857146,81.28571428571429,103.57142857142857,166.0,170.42857142857142,159.71428571428572,140.85714285714286,35.142857142857146
2022-12-22,9.571428571428571,6.0,11.285714285714286,44.42857142857143,75.71428571428571,101.28571428571429,162.0,168.14285714285714,156.57142857142858,138.57142857142858,35.142857142857146
2022-12-23,10.285714285714286,4.714285714285714,8.857142857142858,35.285714285714285,62.285714285714285,78.85714285714286,125.85714285714286,133.0,129.57142857142858,116.0,29.285714285714285
2022-12-24,9.714285714285714,4.857142857142857,7.571428571428571,36.285714285714285,71.14285714285714,91.0,138.42857142857142,143.28571428571428,138.85714285714286,114.42857142857143,28.428571428571427
2022-12-25,9.714285714285714,5.142857142857143,7.285714285714286,35.285714285714285,69.0,92.42857142857143,137.57142857142858,142.28571428571428,140.71428571428572,110.14285714285714,31.142857142857142
2022-12-26,10.0,5.571428571428571,7.428571428571429,38.0,70.71428571428571,93.85714285714286,139.85714285714286,143.14285714285714,145.71428571428572,111.71428571428571,30.142857142857142
2022-12-27,9.428571428571429,6.142857142857143,7.142857142857143,38.0,70.14285714285714,93.28571428571429,137.28571428571428,142.14285714285714,141.0,110.28571428571429,30.428571428571427
2022-12-28,9.428571428571429,5.857142857142857,7.571428571428571,39.714285714285715,70.0,93.14285714285714,136.42857142857142,140.0,133.14285714285714,106.42857142857143,29.571428571428573
2022-12-29,9.571428571428571,5.428571428571429,7.142857142857143,40.0,70.71428571428571,92.57142857142857,137.14285714285714,139.14285714285714,132.14285714285714,106.42857142857143,28.571428571428573
2022-12-30,9.0,6.714285714285714,7.571428571428571,46.57142857142857,82.14285714285714,108.0,160.57142857142858,162.28571428571428,150.71428571428572,120.57142857142857,31.142857142857142
2022-12-31,8.428571428571429,6.428571428571429,7.142857142857143,43.285714285714285,71.71428571428571,94.0,137.28571428571428,143.0,137.42857142857142,109.42857142857143,28.571428571428573
2023-01-01,9.0,6.142857142857143,7.142857142857143,42.42857142857143,67.28571428571429,89.42857142857143,132.85714285714286,132.14285714285714,129.71428571428572,103.42857142857143,24.857142857142858
2023-01-02,8.0,5.714285714285714,6.857142857142857,39.857142857142854,60.285714285714285,85.57142857142857,125.71428571428571,118.57142857142857,118.28571428571429,96.0,23.285714285714285
2023-01-03,7.857142857142857,4.857142857142857,5.428571428571429,35.285714285714285,52.0,73.14285714285714,108.71428571428571,92.85714285714286,97.85714285714286,79.71428571428571,18.571428571428573
2023-01-04,7.428571428571429,5.285714285714286,5.0,34.57142857142857,51.285714285714285,72.14285714285714,102.42857142857143,91.14285714285714,96.0,73.14285714285714,18.285714285714285
2023-01-05,7.571428571428571,5.571428571428571,5.0,35.42857142857143,52.857142857142854,73.0,102.85714285714286,92.42857142857143,97.0,70.0,17.142857142857142
2023-01-06,6.857142857142857,5.428571428571429,5.857142857142857,33.0,46.57142857142857,64.14285714285714,91.0,78.71428571428571,85.57142857142857,60.142857142857146,15.571428571428571
2023-01-07,7.571428571428571,5.0,5.428571428571429,30.428571428571427,43.857142857142854,60.0,83.14285714285714,71.57142857142857,76.85714285714286,54.857142857142854,14.857142857142858
2023-01-08,6.428571428571429,5.428571428571429,5.285714285714286,27.571428571428573,41.0,54.42857142857143,73.85714285714286,64.71428571428571,67.14285714285714,48.857142857142854,14.0
2023-01-09,6.0,5.285714285714286,5.714285714285714,24.428571428571427,38.57142857142857,48.714285714285715,63.142857142857146,59.42857142857143,55.857142857142854,41.714285714285715,12.428571428571429
2023-01-10,6.428571428571429,5.714285714285714,6.428571428571429,26.0,41.0,50.714285714285715,64.42857142857143,60.285714285714285,58.714285714285715,44.285714285714285,12.285714285714286
2023-01-11,6.714285714285714,5.285714285714286,6.0,23.571428571428573,36.57142857142857,44.714285714285715,56.857142857142854,51.142857142857146,52.57142857142857,40.857142857142854,11.428571428571429
2023-01-12,5.857142857142857,5.285714285714286,6.0,22.714285714285715,34.42857142857143,42.0,54.285714285714285,47.857142857142854,49.714285714285715,40.285714285714285,11.142857142857142
2023-01-13,6.285714285714286,5.0,5.428571428571429,18.571428571428573,30.142857142857142,37.42857142857143,45.142857142857146,41.285714285714285,43.42857142857143,36.285714285714285,9.714285714285714
2023-01-14,6.142857142857143,6.285714285714286,5.285714285714286,17.428571428571427,26.571428571428573,33.857142857142854,43.714285714285715,39.714285714285715,36.285714285714285,33.42857142857143,7.857142857142857
2023-01-15,5.714285714285714,6.0,4.857142857142857,17.571428571428573,26.571428571428573,31.571428571428573,41.0,38.0,34.285714285714285,31.142857142857142,6.571428571428571
2023-01-16,6.571428571428571,6.857142857142857,4.714285714285714,17.285714285714285,25.714285714285715,30.571428571428573,39.42857142857143,34.42857142857143,32.714285714285715,28.142857142857142,7.428571428571429
2023-01-17,6.428571428571429,7.428571428571429,4.571428571428571,16.428571428571427,25.714285714285715,29.714285714285715,39.0,32.714285714285715,30.857142857142858,28.0,7.571428571428571
2023-01-18,5.428571428571429,7.142857142857143,4.857142857142857,15.571428571428571,25.0,29.428571428571427,38.857142857142854,32.142857142857146,28.428571428571427,26.428571428571427,7.0
2023-01-19,5.428571428571429,7.571428571428571,4.714285714285714,15.142857142857142,25.0,30.428571428571427,37.857142857142854,32.57142857142857,28.428571428571427,25.571428571428573,6.714285714285714
2023-01-20,5.142857142857143,8.142857142857142,5.0,14.857142857142858,24.857142857142858,28.142857142857142,37.714285714285715,31.571428571428573,25.857142857142858,24.0,5.714285714285714
2023-01-21,4.428571428571429,7.428571428571429,5.571428571428571,14.142857142857142,23.571428571428573,29.142857142857142,35.857142857142854,28.0,26.142857142857142,23.714285714285715,5.571428571428571
2023-01-22,5.0,7.571428571428571,5.857142857142857,12.714285714285714,22.142857142857142,29.714285714285715,36.857142857142854,26.857142857142858,25.0,23.142857142857142,6.571428571428571
2023-01-23,4.285714285714286,7.714285714285714,5.285714285714286,11.714285714285714,21.857142857142858,31.142857142857142,37.857142857142854,27.714285714285715,25.142857142857142,24.571428571428573,6.0
2023-01-24,4.285714285714286,6.857142857142857,5.428571428571429,11.0,20.714285714285715,30.142857142857142,36.42857142857143,29.571428571428573,24.714285714285715,23.714285714285715,6.714285714285714
2023-01-25,4.428571428571429,6.857142857142857,5.428571428571429,11.142857142857142,21.285714285714285,31.142857142857142,36.714285714285715,29.285714285714285,24.571428571428573,24.714285714285715,7.0
2023-01-26,5.0,6.428571428571429,5.857142857142857,11.428571428571429,20.428571428571427,30.428571428571427,38.285714285714285,28.857142857142858,24.0,25.571428571428573,7.428571428571429
2023-01-27,4.428571428571429,6.0,5.428571428571429,10.714285714285714,21.0,30.714285714285715,35.714285714285715,27.857142857142858,23.857142857142858,23.571428571428573,7.571428571428571
2023-01-28,4.857142857142857,5.714285714285714,5.428571428571429,10.571428571428571,22.142857142857142,30.714285714285715,35.0,29.571428571428573,25.285714285714285,24.857142857142858,8.714285714285714
2023-01-29,4.571428571428571,5.0,5.714285714285714,10.571428571428571,21.714285714285715,28.571428571428573,33.285714285714285,29.571428571428573,25.857142857142858,23.571428571428573,7.714285714285714
2023-01-30,4.857142857142857,3.857142857142857,5.857142857142857,10.571428571428571,21.285714285714285,26.142857142857142,32.857142857142854,29.428571428571427,25.857142857142858,24.571428571428573,7.571428571428571
2023-01-31,4.571428571428571,4.0,5.714285714285714,11.285714285714286,21.285714285714285,26.428571428571427,35.0,28.571428571428573,25.714285714285715,23.857142857142858,6.428571428571429
2023-02-01,4.857142857142857,4.285714285714286,6.0,11.857142857142858,21.142857142857142,23.285714285714285,34.142857142857146,27.142857142857142,26.714285714285715,24.0,6.142857142857143
2023-02-02,4.142857142857143,4.142857142857143,5.714285714285714,11.428571428571429,22.571428571428573,24.0,33.0,27.857142857142858,27.571428571428573,23.857142857142858,6.142857142857143
2023-02-03,5.0,3.4285714285714284,6.285714285714286,11.0,20.571428571428573,24.571428571428573,35.57142857142857,28.714285714285715,29.285714285714285,24.0,6.0
2023-02-04,4.428571428571429,3.5714285714285716,5.857142857142857,11.428571428571429,20.142857142857142,22.428571428571427,34.857142857142854,27.428571428571427,26.571428571428573,21.857142857142858,4.571428571428571
2023-02-05,4.428571428571429,3.5714285714285716,5.142857142857143,11.142857142857142,19.0,22.571428571428573,36.42857142857143,26.285714285714285,24.571428571428573,20.857142857142858,4.857142857142857
2023-02-06,3.857142857142857,3.7142857142857144,4.857142857142857,11.428571428571429,20.285714285714285,22.857142857142858,34.857142857142854,24.714285714285715,24.285714285714285,17.428571428571427,4.285714285714286
2023-02-07,3.5714285714285716,3.0,4.857142857142857,10.571428571428571,19.285714285714285,23.142857142857142,31.857142857142858,25.0,23.428571428571427,17.571428571428573,4.285714285714286
2023-02-08,3.857142857142857,2.5714285714285716,3.857142857142857,10.428571428571429,18.571428571428573,23.714285714285715,31.285714285714285,26.714285714285715,22.142857142857142,17.142857142857142,4.428571428571429
2023-02-09,3.857142857142857,2.2857142857142856,4.142857142857143,10.714285714285714,17.142857142857142,22.571428571428573,31.0,26.428571428571427,21.428571428571427,17.142857142857142,4.714285714285714
2023-02-10,3.0,2.2857142857142856,3.2857142857142856,11.142857142857142,15.714285714285714,22.428571428571427,29.428571428571427,25.571428571428573,20.428571428571427,18.142857142857142,5.857142857142857
2023-02-11,3.2857142857142856,2.2857142857142856,3.7142857142857144,9.857142857142858,16.714285714285715,22.285714285714285,32.57142857142857,25.142857142857142,21.0,18.285714285714285,7.0
