data,casi,casi_media7gg
2020-02-20,-9999,
2020-02-21,-9999,
2020-02-22,-9999,
2020-02-23,-9999,0.8571428571428571
2020-02-24,-9999,0.8571428571428571
2020-02-25,-9999,1.2857142857142858
2020-02-26,-9999,1.5714285714285714
2020-02-27,-9999,1.5714285714285714
2020-02-28,-9999,1.7142857142857142
2020-02-29,-9999,2.2857142857142856
2020-03-01,-9999,3.142857142857143
2020-03-02,-9999,5.142857142857143
2020-03-03,-9999,5.0
2020-03-04,-9999,8.142857142857142
2020-03-05,-9999,14.285714285714286
2020-03-06,-9999,17.857142857142858
2020-03-07,-9999,19.285714285714285
2020-03-08,-9999,28.857142857142858
2020-03-09,-9999,35.57142857142857
2020-03-10,-9999,51.142857142857146
2020-03-11,-9999,72.57142857142857
2020-03-12,-9999,81.71428571428571
2020-03-13,-9999,105.85714285714286
2020-03-14,-9999,144.85714285714286
2020-03-15,-9999,170.0
2020-03-16,-9999,185.71428571428572
2020-03-17,-9999,194.57142857142858
2020-03-18,-9999,203.57142857142858
2020-03-19,-9999,230.71428571428572
2020-03-20,-9999,243.28571428571428
2020-03-21,-9999,238.14285714285714
2020-03-22,-9999,253.85714285714286
2020-03-23,-9999,254.71428571428572
2020-03-24,-9999,281.2857142857143
2020-03-25,-9999,285.57142857142856
2020-03-26,-9999,275.42857142857144
2020-03-27,-9999,263.7142857142857
2020-03-28,-9999,273.85714285714283
2020-03-29,-9999,259.7142857142857
2020-03-30,-9999,276.14285714285717
2020-03-31,-9999,268.85714285714283
2020-04-01,-9999,275.57142857142856
2020-04-02,-9999,269.85714285714283
2020-04-03,-9999,266.7142857142857
2020-04-04,-9999,239.42857142857142
2020-04-05,-9999,257.57142857142856
2020-04-06,-9999,258.42857142857144
2020-04-07,-9999,278.7142857142857
2020-04-08,-9999,287.14285714285717
2020-04-09,-9999,293.42857142857144
2020-04-10,-9999,291.0
2020-04-11,-9999,305.85714285714283
2020-04-12,-9999,298.7142857142857
2020-04-13,-9999,331.7142857142857
2020-04-14,-9999,308.14285714285717
2020-04-15,-9999,308.85714285714283
2020-04-16,-9999,293.85714285714283
2020-04-17,-9999,321.14285714285717
2020-04-18,-9999,338.85714285714283
2020-04-19,-9999,338.2857142857143
2020-04-20,-9999,312.57142857142856
2020-04-21,-9999,311.42857142857144
2020-04-22,-9999,291.2857142857143
2020-04-23,-9999,293.57142857142856
2020-04-24,-9999,264.14285714285717
2020-04-25,-9999,267.0
2020-04-26,-9999,260.14285714285717
2020-04-27,-9999,245.71428571428572
2020-04-28,-9999,235.0
2020-04-29,-9999,233.42857142857142
2020-04-30,-9999,225.28571428571428
2020-05-01,-9999,216.85714285714286
2020-05-02,-9999,171.0
2020-05-03,-9999,146.0
2020-05-04,-9999,126.85714285714286
2020-05-05,-9999,116.42857142857143
2020-05-06,-9999,97.85714285714286
2020-05-07,-9999,90.0
2020-05-08,-9999,83.42857142857143
2020-05-09,-9999,84.71428571428571
2020-05-10,-9999,80.85714285714286
2020-05-11,-9999,78.0
2020-05-12,-9999,69.85714285714286
2020-05-13,-9999,61.285714285714285
2020-05-14,-9999,62.0
2020-05-15,-9999,67.28571428571429
2020-05-16,-9999,67.71428571428571
2020-05-17,-9999,62.285714285714285
2020-05-18,-9999,55.42857142857143
2020-05-19,-9999,51.0
2020-05-20,-9999,49.857142857142854
2020-05-21,-9999,46.0
2020-05-22,-9999,38.57142857142857
2020-05-23,-9999,34.42857142857143
2020-05-24,-9999,30.714285714285715
2020-05-25,-9999,30.0
2020-05-26,-9999,27.428571428571427
2020-05-27,-9999,26.142857142857142
2020-05-28,-9999,27.0
2020-05-29,-9999,26.857142857142858
2020-05-30,-9999,21.142857142857142
2020-05-31,-9999,19.857142857142858
2020-06-01,-9999,14.571428571428571
2020-06-02,-9999,13.714285714285714
2020-06-03,-9999,12.0
2020-06-04,-9999,10.571428571428571
2020-06-05,-9999,7.571428571428571
2020-06-06,-9999,8.428571428571429
2020-06-07,-9999,10.857142857142858
2020-06-08,-9999,12.714285714285714
2020-06-09,-9999,11.428571428571429
2020-06-10,-9999,12.571428571428571
2020-06-11,-9999,12.0
2020-06-12,-9999,12.571428571428571
2020-06-13,-9999,13.714285714285714
2020-06-14,-9999,10.857142857142858
2020-06-15,-9999,9.142857142857142
2020-06-16,-9999,9.428571428571429
2020-06-17,-9999,8.285714285714286
2020-06-18,-9999,8.714285714285714
2020-06-19,-9999,7.571428571428571
2020-06-20,-9999,6.571428571428571
2020-06-21,-9999,6.285714285714286
2020-06-22,-9999,6.142857142857143
2020-06-23,-9999,5.571428571428571
2020-06-24,-9999,5.142857142857143
2020-06-25,-9999,4.857142857142857
2020-06-26,-9999,5.428571428571429
2020-06-27,-9999,4.857142857142857
2020-06-28,-9999,5.285714285714286
2020-06-29,-9999,5.428571428571429
2020-06-30,-9999,5.142857142857143
2020-07-01,-9999,5.142857142857143
2020-07-02,-9999,5.0
2020-07-03,-9999,4.714285714285714
2020-07-04,-9999,5.142857142857143
2020-07-05,-9999,4.571428571428571
2020-07-06,-9999,4.142857142857143
2020-07-07,-9999,3.857142857142857
2020-07-08,-9999,4.0
2020-07-09,-9999,4.714285714285714
2020-07-10,-9999,5.142857142857143
2020-07-11,-9999,4.428571428571429
2020-07-12,-9999,3.857142857142857
2020-07-13,-9999,5.285714285714286
2020-07-14,-9999,5.285714285714286
2020-07-15,-9999,4.857142857142857
2020-07-16,-9999,4.285714285714286
2020-07-17,-9999,3.7142857142857144
2020-07-18,-9999,3.7142857142857144
2020-07-19,-9999,4.142857142857143
