Days;Hours;Minutes;Students;StudentsInfected;Workers;WorkersInfected;OccupiedWorkers;OccupiedWorkersInfected;EssentialJobWorkers;EssentialJobWorkersInfected;Retired;RetiredInfected;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;MinutesAtWorkWorkerSusceptible;MinutesAtSchoolWorkerSusceptible;MinutesAtHomeWorkerSusceptible;MinutesAtFriendHomeWorkerSusceptible;MinutesAtGymWorkerSusceptible;MinutesAtPubWorkerSusceptible;MinutesAtWorkStudentSusceptible;MinutesAtSchoolStudentSusceptible;MinutesAtHomeStudentSusceptible;MinutesAtFriendHomeStudentSusceptible;MinutesAtGymStudentSusceptible;MinutesAtPubStudentSusceptible;MinutesAtWorkRetiredSusceptible;MinutesAtSchoolRetiredSusceptible;MinutesAtHomeRetiredSusceptible;MinutesAtFriendHomeRetiredSusceptible;MinutesAtGymRetiredSusceptible;MinutesAtPubRetiredSusceptible;MinutesAtWorkWorkerInfected;MinutesAtSchoolWorkerInfected;MinutesAtHomeWorkerInfected;MinutesAtFriendHomeWorkerInfected;MinutesAtGymWorkerInfected;MinutesAtPubWorkerInfected;MinutesAtWorkStudentInfected;MinutesAtSchoolStudentInfected;MinutesAtHomeStudentInfected;MinutesAtFriendHomeStudentInfected;MinutesAtGymStudentInfected;MinutesAtPubStudentInfected;MinutesAtWorkRetiredInfected;MinutesAtSchoolRetiredInfected;MinutesAtHomeRetiredInfected;MinutesAtFriendHomeRetiredInfected;MinutesAtGymRetiredInfected;MinutesAtPubRetiredInfected;
0;0;0;196560;7;381024;14;184180;7;82219;4;308416;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;3;6;8;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;0;0;196560;7;381024;14;184180;7;82219;4;308416;14;35;46;339;0;409;0;0;0;0;0;11;0;0;0;0;5;4;5;2;14;13;28;28;321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.268004E+07;0;4.650116E+08;0;0;7.768542E+07;0;0;3.785278E+08;0;0;7.016948E+07;0;0;5.890875E+08;0;0;1.130739E+08;922;0;15828;0;0;1726;0;0;16612;0;0;540;0;0;25764;0;0;5788;
2;0;0;196560;7;381024;14;184180;7;82219;4;308416;14;12;34;40;0;28;0;0;0;51;0;7;0;0;0;0;0;5;2;3;16;9;9;13;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.860029E+07;0;1.718621E+08;0;8873654;5.413034E+07;0;6.019023E+07;1.428703E+08;0;1.35519E+07;3.777342E+07;0;0;6.212656E+08;0;3.090705E+07;6.966859E+07;2808;0;13108;0;562;2004;0;2578;9408;0;446;950;0;0;30780;0;2128;1654;
3;0;0;196560;7;381024;14;184180;7;82219;4;308416;15;4;30;280;0;304;0;0;0;10;0;0;0;0;0;0;0;0;0;0;1;2;4;29;278;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.017814E+07;0;1.27124E+08;0;1.767956E+07;4.072643E+07;0;5.345508E+07;1.33093E+08;0;7480122;3.769521E+07;0;0;6.086147E+08;0;1.519795E+07;6.622621E+07;2496;0;12094;0;354;1844;0;1624;7336;0;354;1214;0;0;27086;0;0;2746;
4;0;0;196560;7;381024;16;184180;9;82219;4;308416;24;6;6;256;0;267;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;34;5;6;221;0;0;0;0;0;0;0;1;5;0;1;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6.751724E+07;0;1.69938E+08;0;7497590;5.149701E+07;0;5.301406E+07;1.248268E+08;0;1.489882E+07;3.550179E+07;0;0;4.748152E+08;0;3.965074E+07;8.37647E+07;2496;0;15358;0;424;1924;0;2586;16692;0;462;1094;0;0;42910;0;3488;8660;
5;0;0;196560;10;381024;22;184180;11;82219;4;308416;60;16;7;316;0;324;0;0;0;0;0;15;0;0;0;0;0;0;1;0;2;118;16;5;197;0;0;0;0;0;0;0;3;18;3;3;18;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;6.482719E+07;0;1.189252E+08;0;2.380455E+07;4.249373E+07;0;5.229659E+07;1.306505E+08;0;7433766;3.93656E+07;0;0;5.346842E+08;0;1.661217E+07;6.972848E+07;3402;0;17376;0;1164;1984;0;2562;13878;0;354;1746;0;0;110286;0;1796;12080;
6;0;0;196560;16;381024;39;184180;20;82219;6;308416;142;20;20;95;0;113;0;0;0;0;0;22;0;0;0;0;0;0;0;6;5;34;14;15;61;0;0;0;0;0;0;0;1;54;6;17;28;0;0;0;0;0;30;0;0;0;0;0;0;0;1;0;0;0;0;6.634808E+07;0;1.86722E+08;0;7414052;5.36512E+07;0;5.164646E+07;1.273907E+08;0;1.297248E+07;3.539122E+07;0;0;5.025099E+08;0;3.311836E+07;8.593317E+07;5304;0;49528;0;542;4308;0;4874;19580;0;1322;2348;0;0;267938;0;13296;30334;
7;0;0;196560;31;381024;49;184180;26;82219;7;308416;257;13;5;213;0;210;0;0;0;0;0;21;0;0;0;0;0;0;0;2;1;11;11;4;202;0;0;0;0;0;0;0;2;75;16;9;40;0;0;0;0;0;41;0;0;0;0;0;0;0;1;0;1;0;0;6.476929E+07;0;1.20091E+08;0;2.081183E+07;4.226318E+07;0;5.182437E+07;1.283824E+08;0;7730100;3.903218E+07;0;0;5.098628E+08;0;1.658438E+07;6.946818E+07;6864;0;29224;0;2358;4076;0;9098;36328;0;944;4894;0;0;438444;0;7034;43440;
8;0;0;196560;41;381024;70;184180;39;82219;8;308416;402;11;23;91;0;92;0;0;0;0;0;33;0;0;0;0;0;1;0;0;3;3;11;19;88;0;0;0;0;0;0;2;8;102;8;15;44;1;1;33;1;1;21;0;0;0;0;0;0;0;0;0;0;2;1;6.602488E+07;0;1.926155E+08;0;8229256;5.31676E+07;0;5.109716E+07;1.260146E+08;0;1.222682E+07;3.567675E+07;0;0;5.403144E+08;0;3.046476E+07;8.459563E+07;8416;0;46894;0;236;6222;0;10984;49476;0;3448;6042;0;0;784434;0;24050;63472;
9;0;0;196560;51;381024;98;184180;48;82219;13;308416;619;9;5;71;0;75;0;0;0;0;0;10;0;0;0;0;1;0;0;0;1;3;8;4;68;0;0;0;0;0;0;0;9;155;11;21;64;0;3;70;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;6.475602E+07;0;1.24774E+08;0;2.006835E+07;4.35706E+07;0;5.136889E+07;1.275451E+08;0;8160240;3.975948E+07;0;0;5.115822E+08;0;1.907517E+07;6.676185E+07;9908;0;56864;0;4144;6178;0;13418;55980;0;1062;8262;0;0;1200552;0;26064;102080;
