Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178027;79999;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;38;41;57;110;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258026;0;0;
1;0;0;190324;368930;178027;79999;298656;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;703660;243075;156787;0;786695;99409;0;624;10037304859;0;119814;14663;123261;0;
2;0;0;190324;368930;178027;79999;298656;0;18;35;0;49;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;608030;196612;108877;0;598515;102363;0;2270;10055875513;0;178441;13544;65815;0;
3;0;0;190324;368930;178027;79999;298656;1;15;14;0;23;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505114;161558;105795;0;505568;98966;0;5202;10062756299;0;200524;13544;43740;0;
4;0;0;190324;368930;178027;79999;298656;2;15;18;0;28;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;408941;131992;83031;0;407413;83183;0;5398;10065976113;0;210804;13544;33473;0;
5;0;0;190324;368930;178027;79999;298656;6;10;9;0;10;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;340680;109035;73826;0;337468;65075;0;10778;10067914871;0;216922;13544;27369;0;
6;0;0;190324;368930;178027;79999;298656;5;12;19;0;21;0;0;0;15;0;0;0;0;0;0;0;1;0;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;1;268882;88808;58438;0;269157;55406;0;13296;10070088627;0;223992;13544;20304;0;
7;0;0;190324;368930;178027;79999;298656;5;12;10;0;6;0;0;0;21;0;0;0;0;0;0;0;1;3;0;4;2;0;0;0;0;1;0;0;0;0;0;0;0;1;1;4;2;8;3;226065;73197;50342;0;227351;43972;0;9534;10070960867;0;226691;13544;17613;0;
8;0;0;190324;368930;178027;79999;298656;5;12;17;0;19;0;0;0;15;0;0;0;0;0;0;1;3;7;0;6;7;0;0;0;0;0;4;0;0;0;0;0;0;1;4;3;10;13;8;179451;60353;40540;0;180127;36304;0;16820;10071997739;0;230125;13544;14183;0;
9;0;0;190324;368930;178027;79999;298656;6;10;10;0;9;0;0;0;17;0;0;0;0;0;0;0;3;12;0;6;8;0;0;0;0;0;7;0;0;0;0;0;0;5;10;7;11;10;15;150131;49160;33987;0;152090;29484;0;16314;10072685103;0;232258;13544;12051;0;
