Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;ExposedByStudent;ExposedByWorker;ExposedByRetired;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
16;0;0;190324;368930;178027;79999;298654;2;7;143;0;149;0;0;0;3;0;0;0;0;0;0;3;11;138;0;2;79;11;10;39;0;1;33;0;0;9;0;0;0;0;0;1;0;2;2;0;1;9;568462;199964;145123;0;568255;0;0;25002;10063453525;0;202041;10310;45545;0;
17;0;0;190324;368930;178027;79999;298652;6;8;226;0;228;0;0;0;12;0;0;0;0;0;0;7;9;224;0;1;95;7;8;29;0;0;40;0;0;2;0;0;0;0;0;2;0;0;2;1;8;12;568360;198931;146896;0;566489;0;0;22438;10063667479;0;202518;10310;45068;0;
18;0;0;190324;368930;178027;79999;298650;2;12;157;0;162;0;0;0;7;0;2;0;0;0;0;3;9;159;0;4;127;4;11;37;0;1;59;0;0;4;0;0;0;0;0;2;0;0;2;5;11;17;567565;199921;145239;0;566867;0;0;26634;10063928431;0;203531;10310;44055;0;
19;0;0;190324;368930;178027;79999;298648;7;12;122;0;129;0;0;0;11;0;1;0;0;0;0;3;9;129;1;3;111;4;6;41;0;0;53;0;0;1;0;0;0;0;0;2;0;1;9;1;10;29;567714;198928;146884;0;566716;0;0;30748;10064272629;0;204118;10310;43469;0;
20;0;0;190324;368929;178027;79999;298640;8;10;92;0;88;0;0;0;19;0;3;0;0;0;0;5;6;99;1;1;97;5;4;41;0;0;34;0;0;12;0;0;0;0;1;8;0;0;14;5;14;25;566839;199901;145274;0;566185;0;0;30940;10064450203;0;205199;10310;42389;0;
21;0;0;190324;368929;178027;79999;298637;8;8;183;0;188;0;0;0;11;0;0;0;0;0;0;4;9;186;1;4;114;7;10;32;0;0;51;0;0;10;0;0;0;0;0;3;0;0;18;5;18;39;566873;199181;146839;0;565449;0;0;30678;10064529837;0;205394;10310;42194;0;
22;0;0;190324;368929;178027;79999;298624;6;10;159;0;160;0;0;0;13;0;2;0;0;0;0;1;7;167;0;3;105;5;3;45;0;0;38;0;0;17;0;0;0;0;0;13;0;2;22;8;12;29;566680;199813;145482;0;565968;0;0;29842;10064867387;0;206188;10310;41400;0;
23;0;0;190324;368929;178027;79999;298610;3;16;115;0;124;0;0;0;9;0;1;0;0;0;0;5;3;126;0;1;134;5;4;41;0;0;54;0;0;15;0;0;3;0;0;11;0;1;31;5;9;30;566555;199265;146736;0;565765;0;0;34492;10064871313;0;206381;10310;41207;0;
24;0;0;190324;368929;178027;79999;298586;6;12;79;0;84;0;0;0;12;0;0;0;0;0;1;4;8;85;0;2;98;2;8;39;0;0;32;0;0;16;0;0;11;0;0;13;0;4;40;6;17;31;565466;199787;145425;0;565863;0;0;36046;10065083123;0;206405;10309;41184;0;
25;0;0;190324;368929;178027;79999;298562;8;7;130;0;134;0;0;0;9;0;2;0;0;0;0;1;4;140;0;4;127;6;7;34;0;1;39;0;0;12;0;0;16;0;0;8;0;2;48;4;20;47;566283;199140;146636;0;565970;0;0;38624;10064651995;0;205576;10309;42013;0;
26;0;0;190324;368929;178027;79999;298519;3;6;88;0;92;0;0;0;5;0;0;0;0;0;0;4;4;89;1;3;82;8;9;33;1;0;20;0;1;12;0;0;33;0;0;10;0;2;46;5;15;50;564042;199838;145354;0;564801;0;0;36038;10064500775;0;205382;10309;42207;0;
