Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;ExposedByStudent;ExposedByWorker;ExposedByRetired;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178442;79870;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;38;41;57;110;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258312;0;0;
1;0;0;190324;368930;178442;79870;298656;116;150;1109;0;1250;0;0;0;0;0;125;0;0;0;0;33;67;1275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;561086;246518;162409;0;685049;91331;0;624;10041057037;0;131909;11499;114609;0;
2;0;0;190324;368930;178442;79870;298656;31;78;946;0;992;0;0;0;22;0;41;0;0;0;0;24;34;997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;568902;203017;134211;0;642798;61724;0;2206;10065066953;0;202817;10418;44798;0;
3;0;0;190324;368930;178442;79870;298656;84;98;370;0;292;0;0;0;260;0;0;0;0;0;0;76;109;367;0;0;2;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;563312;203816;143864;0;583569;30;0;3302;10067559009;0;216255;10418;31374;0;
4;0;0;190324;368930;178442;79870;298656;54;102;656;0;640;0;0;0;130;0;41;0;0;0;1;70;52;690;0;3;30;5;3;16;0;0;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;583443;203618;140719;0;585985;0;0;4914;10069276519;0;221811;10418;25827;0;
5;0;0;190324;368930;178442;79870;298656;58;65;2641;0;2731;0;0;0;33;0;0;0;0;0;0;13;392;2359;3;3;89;12;14;48;0;0;0;2;1;47;0;0;0;0;0;0;0;0;0;0;1;1;571585;202496;145339;0;573304;0;0;10152;10068883759;0;219080;10418;28593;0;
6;0;0;190324;368930;178442;79870;298656;81;142;1398;0;1544;0;0;0;14;0;62;0;0;0;1;17;148;1456;0;6;193;16;28;124;0;1;65;0;2;38;0;0;0;0;0;0;0;1;0;0;1;1;583270;203013;141996;0;582500;0;0;10622;10068710915;0;219910;10418;27778;0;
7;0;0;190324;368930;178442;79870;298656;120;102;2106;0;2307;0;0;0;19;0;1;0;1;0;0;44;290;1994;7;18;342;38;42;199;3;2;164;0;0;0;0;0;0;0;0;0;1;3;3;4;9;4;573658;200942;145906;0;573676;0;0;9564;10068052713;0;216641;10418;31079;0;
8;0;0;190324;368930;178442;79870;298656;83;126;553;0;747;0;0;0;12;0;1;0;0;0;2;5;120;637;1;14;407;56;68;243;0;3;191;0;0;0;0;0;0;0;0;0;3;3;6;6;12;8;576528;201867;142982;0;578241;0;0;11872;10067776057;0;216868;10418;30853;0;
9;0;0;190324;368930;178442;79870;298656;55;49;164;0;244;0;0;0;24;0;0;0;0;0;0;1;50;217;5;14;570;67;80;224;1;2;265;0;0;0;0;0;0;0;0;0;2;7;8;13;23;21;571105;200140;146602;0;569782;0;0;11266;10067302505;0;214461;10418;33278;0;
