Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;177852;80132;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;3;13;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;257984;0;0;
1;0;0;190324;368930;177852;80132;298656;42;59;300;0;344;0;0;0;0;0;57;0;0;0;0;0;0;0;19;38;6;23;21;294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;560074;246495;162336;0;685217;91299;0;624;10040905869;0;131424;11161;115071;0;
2;0;0;190324;368930;177852;80132;298656;14;13;306;0;319;0;0;0;9;0;5;0;0;0;0;0;0;0;1;4;11;13;9;295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;569047;203051;134064;0;642776;61375;0;2220;10065020897;0;202484;10204;44991;0;
3;0;0;190324;368930;177852;80132;298656;9;5;62;0;47;0;0;0;11;0;18;0;0;0;0;0;0;0;3;3;22;6;2;40;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;563373;203927;143768;0;583719;23;0;4998;10067472499;0;215916;10204;31569;0;
4;0;0;190324;368930;177852;80132;298656;8;15;219;0;240;0;0;0;2;0;0;0;0;0;0;0;0;0;0;5;4;8;10;215;0;0;0;0;0;0;0;0;8;0;1;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;583294;203768;140541;0;585935;0;0;7252;10069173815;0;221387;10204;26113;0;
5;0;0;190324;368930;177852;80132;298656;11;13;112;0;129;0;0;0;4;0;2;0;1;0;0;0;2;0;0;3;4;11;8;108;0;0;0;0;0;0;2;1;34;3;3;15;0;0;0;1;0;20;0;0;0;0;0;0;0;0;0;0;0;0;571560;202503;145386;0;573084;0;0;10600;10068794521;0;218759;10204;28778;0;
6;0;0;190324;368930;177852;80132;298656;9;19;146;0;174;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;9;17;145;0;0;0;0;0;0;0;4;70;13;10;15;0;0;0;0;1;28;0;0;0;0;0;0;0;0;1;0;0;0;583066;203021;142043;0;582269;0;0;10672;10068643477;0;219539;10204;28024;0;
7;0;0;190324;368930;177852;80132;298656;5;12;182;0;195;0;0;0;1;0;3;0;0;0;0;0;1;6;1;4;13;4;7;163;0;0;0;0;0;0;1;5;121;4;14;40;0;0;0;1;0;47;0;0;0;0;0;0;0;1;1;0;2;0;573568;200814;145623;0;573359;0;0;10036;10068055951;0;216425;10204;31167;0;
8;0;0;190324;368930;177852;80132;298656;12;44;487;0;532;0;0;0;10;0;0;0;0;0;1;0;0;0;2;19;126;10;25;361;0;0;0;0;0;0;2;8;138;17;17;40;0;1;52;1;0;2;0;0;0;0;0;0;0;1;0;0;1;1;576219;201756;143035;0;577831;0;0;15598;10067785433;0;216676;10204;30916;0;
9;0;0;190324;368930;177852;80132;298656;13;13;244;0;269;0;0;0;1;0;0;0;0;0;0;0;0;0;4;6;78;9;7;166;0;0;0;0;0;0;1;0;106;16;8;60;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;571044;199999;146404;0;569697;0;0;12432;10067287711;0;214131;10204;33483;0;
10;0;0;190324;368930;177852;80132;298655;13;14;286;0;311;0;0;0;2;0;0;0;0;0;0;0;0;0;5;6;16;8;8;270;0;0;0;0;0;0;1;7;93;9;14;71;0;1;37;0;0;1;0;0;0;0;0;1;0;0;2;0;2;2;572776;201004;143802;0;572489;0;0;13956;10066875331;0;213083;10204;34533;0;
11;0;0;190324;368930;177852;80132;298655;16;25;713;0;753;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;16;25;709;0;0;0;0;0;0;0;4;91;11;5;102;0;2;44;0;0;1;0;0;0;0;0;0;0;0;2;0;7;3;569971;199574;146500;0;567465;0;0;28858;10066065737;0;210101;10204;37515;0;
12;0;0;190324;368930;177852;80132;298654;23;15;349;0;387;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;23;15;348;0;0;0;0;0;0;0;3;80;8;15;124;0;0;59;0;0;1;0;0;0;0;0;1;0;0;9;2;2;3;570850;200727;144288;0;569541;0;0;31778;10064812155;0;206659;10204;40957;0;
13;0;0;190324;368930;177852;80132;298648;15;18;265;0;298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;15;12;264;0;0;0;0;0;0;4;4;70;10;25;160;1;0;45;1;0;6;0;0;0;0;0;6;0;3;10;1;2;6;568752;199115;146670;0;566048;0;0;34314;10063749573;0;202823;10204;44794;0;
14;0;0;190324;368930;177852;80132;298633;33;43;981;0;1049;0;0;0;1;0;0;0;1;0;6;0;1;0;0;7;2;33;35;979;0;0;0;0;0;0;3;2;72;10;15;230;0;0;25;0;0;15;0;0;1;0;0;14;1;1;21;6;5;12;569117;200084;144443;0;567904;0;0;24932;10063298311;0;201411;10204;46207;0;
15;0;0;190323;368930;177852;80132;298617;6;5;309;0;314;0;0;0;0;0;1;0;2;0;3;1;0;1;0;0;0;5;5;308;0;0;0;0;0;0;1;2;94;11;20;231;0;0;11;0;0;20;0;0;5;1;0;11;1;2;45;11;10;24;568350;199001;146602;0;565469;0;0;30086;10063212679;0;200943;10204;46676;0;
16;0;0;190323;368930;177852;80132;298595;42;42;958;0;1021;1;0;0;1;0;0;0;17;0;2;1;3;32;1;3;21;40;36;905;0;0;0;0;0;0;1;7;122;13;10;251;0;2;24;0;0;17;0;0;10;0;0;12;0;5;43;9;8;28;568221;200076;144905;0;568000;0;0;23776;10063388933;0;201485;10204;46134;0;
17;0;0;190323;368930;177852;80132;298557;20;11;438;0;458;0;1;0;1;0;0;0;7;0;2;1;0;1;0;0;2;19;11;435;0;0;0;0;0;0;1;5;216;12;19;219;0;1;41;0;1;15;0;0;26;0;0;12;1;5;62;8;7;33;568073;198877;146650;0;566300;0;0;26152;10063726535;0;202216;10204;45403;0;
