Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178162;80053;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207;440;353;554;1098;848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258215;0;0;
1;0;0;190324;368930;178162;80053;298656;24;32;230;0;282;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;556448;246657;161894;0;686949;88875;0;624;10038990837;0;125251;11223;121406;0;
2;0;0;190324;368930;178162;80053;298656;9;172;291;0;428;0;0;0;40;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;570366;205122;121167;0;642909;64051;0;2216;10056754963;0;181283;9977;66659;0;
3;0;0;190324;368930;178162;80053;298656;28;210;168;0;301;0;0;0;105;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;581467;204560;137597;0;585023;78;0;5062;10061626217;0;196915;9977;51050;0;
4;0;0;190324;368930;178162;80053;298656;33;125;215;0;251;0;0;0;120;0;2;0;0;0;0;0;2;6;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;584453;204064;130741;0;592709;0;0;6544;10063058505;0;201653;9977;46336;0;
5;0;0;190324;368930;178162;80053;298656;63;166;247;0;239;0;0;0;237;0;0;0;0;0;0;1;5;23;1;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;6;6;4;591177;203337;142458;0;582095;0;0;6516;10063322529;0;202306;9977;45707;0;
6;0;0;190324;368930;178162;80053;298656;63;205;707;0;687;0;0;0;283;0;4;0;0;0;1;0;9;55;9;14;28;0;0;0;0;0;0;0;0;0;0;0;0;8;3;4;8;21;15;586180;204098;136903;0;591140;0;0;11972;10064187679;0;205487;9977;42539;0;
7;0;0;190324;368930;178162;80053;298656;77;192;488;0;476;0;0;0;280;0;1;0;0;0;0;3;20;109;7;58;40;0;0;0;0;0;0;0;0;0;0;0;0;14;26;18;24;45;50;593465;202111;144423;0;588578;0;0;9048;10062723809;0;200376;9977;47677;0;
8;0;0;190324;368930;178162;80053;298656;73;182;1601;0;1581;0;0;0;268;0;6;0;0;0;1;1;27;118;24;78;53;0;0;0;0;0;0;0;0;0;0;0;0;24;32;30;51;114;75;584212;203731;141625;0;589368;0;0;13268;10062761455;0;200950;9977;47112;0;
9;0;0;190324;368930;178162;80053;298656;60;109;425;0;396;0;0;0;194;0;4;0;0;0;0;0;26;145;25;100;71;0;0;0;0;0;0;0;0;0;0;0;0;37;93;56;116;162;144;592092;201462;146163;0;590648;0;0;14564;10061896373;0;197700;9977;50377;0;
