Days;Hours;Minutes;Students;StudentsInfected;Workers;WorkersInfected;OccupiedWorkers;OccupiedWorkersInfected;EssentialJobWorkers;EssentialJobWorkersInfected;Retired;RetiredInfected;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;MinutesAtWorkWorkerSusceptible;MinutesAtSchoolWorkerSusceptible;MinutesAtHomeWorkerSusceptible;MinutesAtFriendHomeWorkerSusceptible;MinutesAtGymWorkerSusceptible;MinutesAtPubWorkerSusceptible;MinutesAtWorkStudentSusceptible;MinutesAtSchoolStudentSusceptible;MinutesAtHomeStudentSusceptible;MinutesAtFriendHomeStudentSusceptible;MinutesAtGymStudentSusceptible;MinutesAtPubStudentSusceptible;MinutesAtWorkRetiredSusceptible;MinutesAtSchoolRetiredSusceptible;MinutesAtHomeRetiredSusceptible;MinutesAtFriendHomeRetiredSusceptible;MinutesAtGymRetiredSusceptible;MinutesAtPubRetiredSusceptible;MinutesAtWorkWorkerInfected;MinutesAtSchoolWorkerInfected;MinutesAtHomeWorkerInfected;MinutesAtFriendHomeWorkerInfected;MinutesAtGymWorkerInfected;MinutesAtPubWorkerInfected;MinutesAtWorkStudentInfected;MinutesAtSchoolStudentInfected;MinutesAtHomeStudentInfected;MinutesAtFriendHomeStudentInfected;MinutesAtGymStudentInfected;MinutesAtPubStudentInfected;MinutesAtWorkRetiredInfected;MinutesAtSchoolRetiredInfected;MinutesAtHomeRetiredInfected;MinutesAtFriendHomeRetiredInfected;MinutesAtGymRetiredInfected;MinutesAtPubRetiredInfected;
0;0;0;196560;7;381024;14;184408;5;82222;4;308416;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;3;6;8;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;0;0;196560;7;381024;14;184408;5;82222;4;308416;14;137;189;1228;0;1484;0;0;0;0;0;70;0;0;0;0;9;26;8;26;51;26;102;112;1194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.244371E+07;0;4.65471E+08;0;0;7.795729E+07;0;0;3.785841E+08;0;0;7.015362E+07;0;0;5.880076E+08;0;0;1.131709E+08;312;0;9028;0;0;1570;0;0;17094;0;0;916;0;0;19356;0;0;4824;
2;0;0;196560;7;381024;14;184408;5;82222;4;308416;15;18;54;97;0;84;0;0;0;67;0;18;0;0;0;0;0;1;3;3;22;8;15;31;86;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.876282E+07;0;1.721805E+08;0;8857648;5.403334E+07;0;6.017086E+07;1.425026E+08;0;1.359522E+07;3.775442E+07;0;0;6.217945E+08;0;3.07991E+07;6.981942E+07;1560;0;9206;0;118;616;0;2262;7946;0;354;930;0;0;31236;0;900;2436;
3;0;0;196560;8;381024;14;184408;5;82222;4;308416;20;4;2;58;0;53;0;0;0;1;0;10;0;0;0;0;0;0;3;2;1;1;2;1;54;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7.019381E+07;0;1.270965E+08;0;1.766307E+07;4.070569E+07;0;5.338466E+07;1.333602E+08;0;7393102;3.778808E+07;0;0;6.096465E+08;0;1.516142E+07;6.625113E+07;936;0;26486;0;118;344;0;2270;15166;0;354;1402;0;0;48748;0;472;4028;
4;0;0;196560;19;381024;20;184408;7;82222;4;308416;55;2;5;25;0;31;0;0;0;0;0;0;0;0;0;1;1;3;1;0;0;0;1;2;24;0;0;0;0;0;0;0;0;27;11;6;8;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;6.748254E+07;0;1.704578E+08;0;7374714;5.129511E+07;0;5.295242E+07;1.247456E+08;0;1.49144E+07;3.542737E+07;0;0;4.741572E+08;0;3.959096E+07;8.379851E+07;1248;0;30694;0;0;950;0;5488;18946;0;2204;4058;0;0;110032;0;4654;9912;
5;0;0;196560;34;381024;47;184408;18;82222;10;308416;204;23;9;48;0;13;0;0;0;0;0;66;0;1;0;0;2;1;7;2;1;6;19;7;35;0;0;0;0;0;0;0;8;107;15;19;42;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;6.477648E+07;0;1.189883E+08;0;2.390523E+07;4.247556E+07;0;5.233764E+07;1.307411E+08;0;7384112;3.943746E+07;0;0;5.351845E+08;0;1.654625E+07;6.981734E+07;6084;0;36800;0;2432;4268;0;9686;34932;0;1456;7128;0;0;411702;0;13330;34690;
6;0;0;196560;60;381024;91;184408;35;82222;24;308416;463;14;34;87;0;47;0;0;0;0;0;87;0;0;0;1;1;0;11;7;29;48;6;5;28;0;0;0;0;0;0;2;10;172;24;34;87;2;2;66;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;6.627777E+07;0;1.867803E+08;0;7318602;5.374738E+07;0;5.159864E+07;1.270969E+08;0;1.29828E+07;3.529998E+07;0;0;5.012977E+08;0;3.301591E+07;8.594786E+07;13588;0;71936;0;1436;15876;0;18756;53908;0;4990;13122;0;0;831556;0;46906;88962;
7;0;0;196560;102;381024;144;184408;55;82222;42;308416;765;15;17;26;0;22;0;1;0;0;0;35;0;0;0;0;5;3;3;4;9;16;6;5;7;0;0;0;0;0;0;1;10;202;41;45;103;1;1;99;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;6.466855E+07;0;1.201478E+08;0;2.085073E+07;4.20951E+07;0;5.17695E+07;1.281979E+08;0;7691308;3.905697E+07;0;0;5.088905E+08;0;1.651574E+07;6.940088E+07;22450;0;104282;0;6964;15702;0;29560;100284;0;4610;26022;0;0;1559638;0;43508;111904;
8;0;0;196560;132;381024;191;184408;78;82222;49;308416;1052;18;63;333;0;305;1;1;0;0;0;106;0;0;0;1;10;8;27;6;30;50;2;25;256;0;0;0;0;0;0;1;15;199;31;32;89;1;0;84;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;6.599353E+07;0;1.922691E+08;0;8163584;5.320454E+07;0;5.109014E+07;1.259022E+08;0;1.222795E+07;3.556091E+07;0;0;5.385514E+08;0;3.047496E+07;8.453813E+07;31644;0;159920;0;4718;32420;0;40608;109206;0;9880;32320;0;0;2493648;0;110284;205994;
9;0;0;196560;152;381024;229;184408;100;82222;58;308416;1251;33;22;66;0;79;0;1;0;8;0;28;0;2;0;3;3;1;1;12;15;18;18;6;47;0;0;0;0;0;0;1;2;138;20;38;62;0;0;66;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;6.469043E+07;0;1.247338E+08;0;2.008863E+07;4.347592E+07;0;5.135466E+07;1.274178E+08;0;8134994;3.980613E+07;0;0;5.104367E+08;0;1.898989E+07;6.67917E+07;38016;0;158772;0;10864;28082;0;45090;130492;0;6916;40210;0;0;3260050;0;66774;190380;
