ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;InfectionsAtHome;InfectionsAtWork;InfectionsAtSchool;InfectionsAtOAHome;InfectionsAtOutdoor;InfectionsAtIndoor;StudentsCount;OccupiedWorkersCount;EssentialWorkersCount;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;886000;0;0;0;100;0;100;250;0;250;143;133;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;886000;0;0;0;0;0;0;0;0;0;350;196560;186769;79943;0;0;9999999999;0;0;266712;0;0;0;0;0;0;0;0;0
0;886000;73;0;73;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;511857;265704;181704;0;606887;0;886000;0;0;0;0;0;0;0;0;0;0;196560;186769;79943;0;622;10043556313;0;139952;657;125752;0;0;0;0;0;1;0;0
0;886000;162;0;162;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;739959;265130;169065;0;746760;0;886000;0;0;0;0;0;0;0;0;0;0;196560;186769;79943;0;2196;10061025813;0;195266;69;71146;0;0;0;0;0;2;0;0
0;886000;222;0;222;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;749881;264792;180935;0;738119;0;886000;0;0;0;0;0;0;0;0;0;0;196560;186769;79943;0;4984;10068275223;0;218329;69;48098;0;0;0;0;0;3;0;0
0;886000;245;0;245;3;0;103;2;0;252;3;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;756988;264420;176384;0;750999;0;886000;0;0;0;0;4;0;0;0;0;1;196560;186769;79943;0;4980;10070457667;0;225059;69;41381;0;0;0;0;0;4;0;0
0;886000;258;0;258;4;0;106;7;0;256;5;5;1;0;0;0;0;0;4;0;4;2;0;2;2;0;0;4;0;0;761887;263782;182789;0;728568;0;886000;0;0;0;0;8;0;0;0;1;2;196560;186769;79943;0;7988;10071419039;0;227884;69;38593;0;0;0;0;0;5;0;0
0;886000;249;0;249;8;0;111;22;0;277;17;9;4;0;0;0;0;0;8;0;8;4;0;4;3;0;1;8;0;0;757275;263565;177962;0;742877;0;886000;0;0;0;0;15;1;2;0;4;8;196560;186769;79943;0;7864;10072206405;0;230536;69;35971;0;0;0;0;0;6;0;0
0;886000;240;0;240;14;0;121;25;0;288;13;26;0;0;0;0;0;0;26;0;26;4;0;4;3;1;0;12;0;0;762095;262852;183537;0;740764;0;886000;0;0;0;0;33;0;0;0;2;4;196560;186769;79943;0;9318;10071750991;0;228915;69;37616;0;0;0;0;0;7;0;0
0;886000;313;0;313;15;0;127;32;0;304;13;34;0;0;0;0;0;0;51;0;51;6;0;6;4;2;0;18;0;0;754739;262564;180128;0;737732;0;886000;0;0;0;0;41;0;0;0;1;5;196560;186769;79943;0;11124;10071521039;0;228234;69;38307;0;0;0;0;0;8;0;0
0;886000;297;0;297;18;0;123;39;0;299;10;46;1;0;0;0;0;0;117;0;117;9;0;9;5;4;0;27;0;0;758844;261736;184805;0;743232;0;886000;0;0;0;0;51;0;0;0;5;1;196560;186769;79943;0;12356;10070625535;0;225147;69;41415;0;0;0;0;0;9;0;0
