ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;886000;0;0;0;25;0;25;10;0;10;13;12;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;886000;0;0;0;0;0;0;0;0;0;0;0
0;886000;3309;0;3309;0;0;25;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;885986;192094;88768;302384;623666;0;886000;0;0;0;0;0;0;0;0;1;0;0
0;886000;4095;0;4095;3;0;28;0;0;10;3;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;885977;265634;194029;0;711793;0;886000;0;0;0;0;0;0;0;0;2;0;0
0;886000;4334;0;4334;21;0;49;27;0;37;41;3;4;0;0;0;0;0;0;0;0;5;0;5;5;0;0;6;0;0;885770;262001;189791;0;714404;0;886000;0;0;0;0;0;0;0;0;3;0;0
0;886000;4534;0;4534;54;0;103;76;0;113;111;10;9;0;0;0;0;0;0;0;0;14;0;14;13;0;1;20;0;0;885548;255816;186460;0;709359;0;886000;0;0;0;0;0;0;0;0;4;0;0
0;886000;4327;0;4327;216;0;319;233;0;346;376;38;35;0;0;0;0;0;0;0;0;60;0;60;55;4;1;80;0;0;885765;252781;184588;0;714489;0;886000;0;0;0;0;0;0;0;0;5;0;0
0;886000;3938;0;3938;366;0;685;405;0;751;658;58;55;0;0;0;0;0;0;0;0;26;0;26;24;1;1;106;75;75;885677;253815;184095;0;690496;0;886000;0;0;0;0;0;0;0;0;6;0;0
0;886000;3087;0;3087;447;0;1130;536;0;1287;841;74;68;0;0;0;0;0;2;0;2;0;0;0;0;0;0;106;129;204;885520;250695;180373;0;695782;0;886000;0;0;0;0;0;0;0;0;7;0;0
0;886000;2348;0;2348;417;0;1544;496;0;1781;787;70;56;0;0;0;0;0;7;0;7;0;0;0;0;0;0;106;133;337;885652;248410;180611;0;682764;0;886000;0;0;0;0;0;0;0;0;8;0;0
0;885999;1783;0;1783;308;0;1847;367;0;2145;582;47;46;1;0;1;0;0;14;0;14;2;0;2;1;0;1;107;95;432;885657;246498;179089;0;681352;0;886000;0;1;1;0;0;0;0;0;9;0;0
0;885998;1337;0;1337;241;0;2080;264;0;2402;436;31;38;2;0;2;0;0;28;0;28;0;0;0;0;0;0;106;78;510;885521;244150;177636;0;669850;0;885999;0;2;2;0;0;0;0;0;10;0;0
0;885995;1044;0;1044;167;0;2226;179;0;2561;301;26;19;5;0;5;0;0;66;0;66;3;0;3;3;0;0;106;45;555;885595;243228;176336;0;667439;0;885998;0;5;5;0;0;0;0;0;11;0;0
0;885979;772;0;772;149;0;2326;166;0;2672;278;26;11;21;0;19;1;1;154;0;154;10;0;10;10;0;0;106;29;578;885624;240904;174603;0;656951;0;885995;6;15;21;0;0;0;0;0;12;0;0
0;885969;604;0;604;99;0;2343;135;0;2718;205;16;13;31;0;28;2;1;315;0;315;7;0;7;7;0;0;106;25;600;885559;239385;173566;0;654551;0;885979;9;22;31;0;0;0;0;0;13;0;0
0;885932;469;0;469;74;0;2273;94;0;2620;149;11;8;68;0;63;3;2;614;0;614;12;0;12;12;0;0;105;9;585;885589;238035;172432;0;646157;0;885969;33;35;68;0;0;0;0;0;14;0;0
0;885873;410;0;410;62;0;2112;63;0;2412;106;6;13;127;0;117;4;6;1046;0;1046;12;0;12;12;0;0;92;1;552;885512;236265;170861;0;641679;0;885932;67;60;127;0;0;0;0;0;15;0;0
0;885783;371;0;371;44;0;1870;40;0;2118;72;6;6;217;0;202;7;8;1574;0;1574;16;0;16;16;0;0;90;0;480;885517;234946;169576;0;635081;0;885873;139;78;217;0;0;0;0;0;16;0;0
0;885660;325;0;325;36;0;1565;47;0;1792;67;7;9;340;0;319;10;11;2155;0;2155;13;0;13;13;0;0;81;0;379;885432;233683;168230;0;629965;0;885783;240;100;340;0;0;0;0;0;17;0;0
0;885565;279;0;279;30;0;1277;39;0;1441;57;7;5;435;0;410;11;14;2747;0;2747;9;0;9;7;1;1;84;0;290;885286;232207;167016;0;624596;0;885660;329;106;435;0;0;0;0;0;18;0;0
0;885473;251;0;251;40;0;1008;36;0;1141;62;9;5;527;0;494;17;16;3258;0;3258;11;0;11;10;0;1;89;0;204;885230;230876;165918;0;617751;0;885565;415;112;527;0;0;0;0;0;19;0;0
0;885399;291;0;291;17;0;767;31;0;899;40;4;4;601;0;562;22;17;3618;0;3618;7;0;7;6;1;0;95;0;131;885102;229582;164660;0;614542;0;885473;488;113;601;0;0;0;0;0;20;0;0
0;885343;377;0;377;21;0;608;29;0;694;40;7;3;657;0;616;23;18;3817;0;3817;4;0;4;4;0;0;94;0;80;885040;228318;163474;0;606754;0;885399;539;118;657;0;0;0;0;0;21;0;0
0;885302;613;0;613;22;0;483;27;0;545;46;2;1;698;0;656;24;18;3780;0;3780;6;0;6;6;0;0;96;0;43;884991;226910;162231;0;603653;0;885343;576;122;698;0;0;0;0;0;22;0;0
0;885272;906;0;906;26;0;393;32;0;463;48;6;4;728;0;686;24;18;3568;0;3568;10;0;10;10;0;0;94;0;25;884941;225785;161146;0;597234;0;885302;594;134;728;0;0;0;0;0;23;0;0
0;885247;1369;0;1369;30;0;343;47;0;420;62;5;10;753;0;710;25;18;3168;0;3168;2;0;2;2;0;0;87;0;9;884890;224691;160025;0;593211;0;885272;610;143;753;0;0;0;0;0;24;0;0
0;885230;1837;0;1837;46;0;340;52;0;412;82;8;8;770;0;726;26;18;2677;0;2677;11;0;11;10;0;1;86;0;4;884869;223420;158851;0;587968;0;885247;615;155;770;0;0;0;0;0;25;0;0
0;885209;2238;0;2238;71;0;349;84;0;442;134;12;9;791;0;747;26;18;2187;0;2187;24;0;24;24;0;0;93;0;0;884890;222459;157749;0;583091;0;885230;619;172;791;0;0;0;0;0;26;0;0
0;885207;2549;0;2549;102;0;418;127;0;507;198;18;13;793;0;749;26;18;1727;0;1727;15;0;15;15;0;0;106;17;17;884852;221383;156727;0;578043;0;885209;619;174;793;0;0;0;0;0;27;0;0
0;885195;2738;0;2738;140;0;515;165;0;622;263;23;19;805;0;761;26;18;1326;0;1326;12;0;12;11;1;0;106;26;43;884837;220369;155713;0;574245;0;885207;619;186;805;0;0;0;0;0;28;0;0
0;885185;2757;0;2757;164;0;639;168;0;756;283;17;32;815;0;771;26;18;1068;0;1068;10;0;10;10;0;0;106;35;78;884822;219119;154623;0;569420;0;885195;619;196;815;0;0;0;0;0;29;0;0
0;885174;2700;0;2700;170;0;773;193;0;909;312;29;22;826;0;780;26;20;860;0;860;11;0;11;11;0;0;106;38;116;884810;218156;153590;0;564552;0;885185;619;207;826;0;0;0;0;0;30;0;0
0;885168;2688;0;2688;195;0;932;213;0;1077;341;38;29;832;0;786;26;20;734;0;734;6;0;6;6;0;0;106;54;170;885093;110951;44228;0;276418;261567;885174;619;213;832;0;0;0;0;0;31;0;0
0;885153;2552;0;2552;216;0;1104;243;0;1270;382;39;38;847;0;801;26;20;664;0;664;15;0;15;14;1;0;106;45;215;885087;65194;0;0;173997;122100;885168;619;228;847;0;0;0;0;0;32;0;0
0;885143;2390;0;2390;194;0;1259;215;0;1417;351;32;26;857;0;811;26;20;651;0;651;8;0;8;8;0;0;106;40;253;885076;65494;0;0;58380;86331;885153;621;236;857;0;0;0;0;0;33;0;0
0;885120;2249;0;2249;183;0;1387;217;0;1569;345;32;23;880;0;833;27;20;647;0;647;12;0;12;12;0;0;105;46;289;885066;65718;0;0;18607;93933;885143;631;249;880;0;0;0;0;0;34;0;0
0;885100;2005;0;2005;184;0;1503;231;0;1712;361;25;29;900;0;853;27;20;700;0;700;16;0;16;15;1;0;107;33;316;885043;65736;0;0;15360;105536;885120;637;263;900;0;0;0;0;0;35;0;0
0;885081;1753;0;1753;188;0;1598;215;0;1819;346;28;29;919;0;871;27;21;800;0;800;11;0;11;11;0;0;106;41;350;885022;65538;0;0;14983;105507;885100;644;275;919;0;0;0;0;0;36;0;0
0;885041;1559;0;1559;145;0;1631;171;0;1858;257;34;25;959;0;910;27;22;932;0;932;11;0;11;10;1;0;105;31;353;885001;65531;0;0;14567;126080;885081;672;287;959;0;0;0;0;0;37;0;0
0;884998;1352;0;1352;149;0;1646;179;0;1889;277;23;28;1002;0;951;27;24;1100;0;1100;12;0;12;12;0;0;106;33;354;884962;65618;0;0;15488;121179;885041;704;298;1002;0;0;0;0;0;38;0;0
0;884969;1145;0;1145;143;0;1649;188;0;1908;277;24;30;1031;0;979;28;24;1306;0;1306;5;0;5;4;0;1;106;44;374;884918;65504;0;0;15268;114576;884998;728;303;1031;0;0;0;0;0;39;0;0
0;884922;1002;0;1002;119;0;1630;147;0;1893;216;18;32;1078;0;1021;31;26;1471;0;1471;13;0;13;12;0;1;104;18;360;884887;65507;0;0;15661;114875;884969;760;318;1078;0;0;0;0;0;40;0;0
0;884878;901;0;901;113;0;1562;107;0;1826;181;17;22;1122;0;1062;32;28;1685;0;1685;7;0;7;7;0;0;106;21;342;884841;65561;0;0;33149;116066;884922;799;323;1122;0;0;0;0;0;41;0;0
0;884828;813;0;813;100;0;1484;109;0;1751;164;22;23;1172;0;1109;33;30;1897;0;1897;10;0;10;9;1;0;105;23;326;884795;65503;0;0;41449;113106;884878;838;334;1172;0;0;0;0;0;42;0;0
0;884772;803;0;803;66;0;1398;100;0;1657;130;16;20;1228;0;1164;33;31;2034;0;2034;11;0;11;11;0;0;106;11;291;884742;65435;0;0;38834;123855;884828;884;344;1228;0;0;0;0;0;43;0;0
0;884734;823;0;823;82;0;1328;81;0;1527;137;15;11;1266;0;1201;33;32;2193;0;2193;10;0;10;10;0;0;105;11;275;884685;65422;0;0;32636;124927;884772;911;355;1266;0;0;0;0;0;44;0;0
0;884693;867;0;867;64;0;1225;90;0;1426;122;14;18;1307;0;1241;34;32;2310;0;2310;6;0;6;5;0;1;106;10;249;884649;65475;0;0;31296;115715;884734;947;360;1307;0;0;0;0;0;45;0;0
0;884657;1001;0;1001;54;0;1106;75;0;1288;111;11;7;1343;0;1275;36;32;2418;0;2418;9;0;9;8;0;1;104;6;230;884606;65391;0;0;29719;116069;884693;972;371;1343;0;0;0;0;0;46;0;0
0;884591;1124;0;1124;69;0;976;91;0;1226;133;14;13;1409;0;1340;37;32;2432;0;2432;12;0;12;12;0;0;98;6;188;884570;65375;0;0;27540;114072;884657;1020;389;1409;0;0;0;0;0;47;0;0
0;884551;1245;0;1245;73;0;904;85;0;1117;132;16;10;1449;0;1378;37;34;2463;0;2463;19;0;19;19;0;0;106;1;160;884514;65353;0;0;26884;114288;884591;1049;400;1449;0;0;0;0;0;48;0;0
0;884507;1381;0;1381;76;0;836;93;0;1042;141;13;15;1493;0;1420;37;36;2434;0;2434;10;0;10;10;0;0;106;9;135;884465;65366;0;0;25274;117330;884551;1083;410;1493;0;0;0;0;0;49;0;0
0;884466;1517;0;1517;101;0;805;91;0;966;154;21;17;1534;0;1456;38;40;2371;0;2371;6;0;6;6;0;0;104;20;122;884422;65364;0;0;24876;126073;884507;1116;418;1534;0;0;0;0;0;50;0;0
0;884438;1582;0;1582;103;0;805;120;0;946;191;14;18;1562;0;1482;39;41;2307;0;2307;11;0;11;11;0;0;106;16;119;884382;65312;0;0;36929;117067;884466;1135;427;1562;0;0;0;0;0;51;0;0
0;884404;1718;0;1718;86;0;772;115;0;937;169;14;18;1596;0;1516;39;41;2189;0;2189;11;0;11;11;0;0;106;8;104;884351;65251;0;0;43762;112821;884438;1158;438;1596;0;0;0;0;0;52;0;0
0;884370;1825;0;1825;108;0;784;136;0;966;205;26;13;1630;0;1549;40;41;2043;0;2043;12;0;12;11;1;0;106;19;101;884318;65255;0;0;37937;114506;884404;1180;450;1630;0;0;0;0;0;53;0;0
0;884356;1898;0;1898;119;0;845;141;0;996;210;24;26;1644;0;1561;40;43;1878;0;1878;6;0;6;5;0;1;106;23;116;884285;65277;0;0;30745;114856;884370;1188;456;1644;0;0;0;0;0;54;0;0
0;884330;1977;0;1977;117;0;866;140;0;1025;206;26;25;1670;0;1587;40;43;1739;0;1739;15;0;15;12;2;1;106;21;126;884270;65237;0;0;29016;115870;884356;1199;471;1670;0;0;0;0;0;55;0;0
0;884307;1963;0;1963;139;0;929;149;0;1077;246;23;19;1693;0;1609;41;43;1627;0;1627;13;0;13;12;1;0;106;21;137;884244;65252;0;0;28846;123349;884330;1209;484;1693;0;0;0;0;0;56;0;0
0;884282;1963;0;1963;138;0;977;160;0;1149;244;23;31;1718;0;1633;41;44;1503;0;1503;14;0;14;14;0;0;106;28;154;884221;65224;0;0;27163;116619;884307;1220;498;1718;0;0;0;0;0;57;0;0
0;884266;2146;0;2146;131;0;1033;145;0;1201;236;20;20;1734;0;1649;41;44;1396;0;1396;9;0;9;8;1;0;106;33;180;884196;65146;0;0;27100;112648;884282;1227;507;1734;0;0;0;0;0;58;0;0
0;884238;2058;0;2058;146;0;1107;183;0;1291;262;36;31;1762;0;1677;41;44;1300;0;1300;12;0;12;11;0;1;106;25;189;884182;65165;0;0;25825;113771;884266;1243;519;1762;0;0;0;0;0;59;0;0
0;884211;1959;0;1959;155;0;1155;161;0;1346;275;23;18;1789;0;1704;41;44;1284;0;1284;16;0;16;16;0;0;106;30;208;884154;65113;0;0;26592;113031;884238;1254;535;1789;0;0;0;0;0;60;0;0
0;884194;1836;0;1836;141;0;1209;160;0;1382;247;29;25;1806;0;1719;43;44;1315;0;1315;12;0;12;12;0;0;106;31;234;884127;65108;0;0;36780;114658;884211;1259;547;1806;0;0;0;0;0;61;0;0
0;884167;1675;0;1675;155;0;1265;171;0;1433;275;30;21;1833;0;1743;44;46;1349;0;1349;9;0;9;6;3;0;106;38;254;884112;65117;0;0;40467;119349;884194;1277;556;1833;0;0;0;0;0;62;0;0
0;884136;1716;0;1716;147;0;1297;180;0;1503;274;28;25;1864;0;1773;45;46;1356;0;1356;11;0;11;11;0;0;106;28;262;884086;65119;0;0;35769;117103;884167;1297;567;1864;0;0;0;0;0;63;0;0
0;884117;1602;0;1602;143;0;1344;169;0;1539;254;26;32;1883;0;1790;46;47;1404;0;1404;5;0;5;4;0;1;106;27;275;884059;65091;0;0;32127;115237;884136;1311;572;1883;0;0;0;0;0;64;0;0
0;884080;1477;0;1477;129;0;1360;151;0;1551;229;20;31;1920;0;1825;48;47;1475;0;1475;13;0;13;13;0;0;105;22;274;884041;65085;0;0;29144;112380;884117;1334;586;1920;0;0;0;0;0;65;0;0
0;884041;1389;0;1389;118;0;1338;128;0;1552;206;18;22;1959;0;1861;50;48;1548;0;1548;15;0;15;12;0;3;106;18;267;884006;65042;0;0;27819;111338;884080;1359;600;1959;0;0;0;0;0;66;0;0
0;884015;1312;0;1312;109;0;1337;129;0;1533;187;22;29;1985;0;1886;50;49;1623;0;1623;3;0;3;2;0;1;105;28;273;883967;65015;0;0;27155;109500;884041;1381;604;1985;0;0;0;0;0;67;0;0
0;883977;1222;0;1222;130;0;1342;134;0;1510;219;22;23;2023;0;1921;51;51;1695;0;1695;10;0;10;10;0;0;105;31;276;883940;65028;0;0;27177;117827;884015;1409;614;2023;0;0;0;0;0;68;0;0
0;883921;1178;0;1178;121;0;1314;129;0;1491;213;17;20;2079;0;1976;51;52;1730;0;1730;19;0;19;17;1;1;106;15;253;883901;65045;0;0;26166;119495;883977;1447;632;2079;0;0;0;0;0;69;0;0
0;883886;1159;0;1159;90;0;1267;128;0;1449;184;17;17;2114;0;2010;52;52;1818;0;1818;7;0;7;6;0;1;105;18;244;883844;64996;0;0;26825;113532;883921;1474;640;2114;0;0;0;0;0;70;0;0
0;883845;1138;0;1138;111;0;1236;116;0;1398;193;11;23;2155;0;2049;54;52;1897;0;1897;15;0;15;15;0;0;106;11;228;883808;64963;0;0;34771;109265;883886;1501;654;2155;0;0;0;0;0;71;0;0
0;883798;1256;0;1256;92;0;1177;100;0;1327;159;16;17;2202;0;2096;54;52;1976;0;1976;16;0;16;15;0;1;105;7;205;883764;64912;0;0;38700;110598;883845;1531;671;2202;0;0;0;0;0;72;0;0
0;883767;1291;0;1291;99;0;1139;111;0;1275;158;24;28;2233;0;2126;54;53;2010;0;2010;6;0;6;6;0;0;106;20;199;883715;64901;0;0;36766;109401;883798;1557;676;2233;0;0;0;0;0;73;0;0
0;883728;1329;0;1329;101;0;1104;103;0;1225;172;16;16;2272;0;2160;57;55;2035;0;2035;10;0;10;10;0;0;106;10;180;883681;64923;0;0;32101;112680;883767;1586;686;2272;0;0;0;0;0;74;0;0
0;883703;1514;0;1514;71;0;1056;100;0;1172;138;18;15;2297;0;2182;57;58;2058;0;2058;7;0;7;7;0;0;104;10;174;883643;64919;0;0;28999;118521;883728;1602;695;2297;0;0;0;0;0;75;0;0
0;883662;1582;0;1582;96;0;1006;109;0;1138;165;28;12;2338;0;2221;57;60;2079;0;2079;14;0;14;11;3;0;106;8;153;883617;64905;0;0;27471;114942;883703;1631;707;2338;0;0;0;0;0;76;0;0
0;883632;1629;0;1629;97;0;992;125;0;1140;182;18;22;2368;0;2250;57;61;2028;0;2028;9;0;9;9;0;0;106;21;153;883576;64874;0;0;27333;111041;883662;1652;716;2368;0;0;0;0;0;77;0;0
0;883598;1678;0;1678;99;0;971;137;0;1146;203;16;17;2402;0;2281;59;62;1962;0;1962;12;0;12;10;1;1;106;9;140;883549;64893;0;0;26519;109652;883632;1674;728;2402;0;0;0;0;0;78;0;0
0;883569;1671;0;1671;129;0;987;131;0;1121;222;19;19;2431;0;2309;59;63;1946;0;1946;10;0;10;9;0;1;105;15;137;883514;64824;0;0;25644;108298;883598;1692;739;2431;0;0;0;0;0;79;0;0
0;883536;1671;0;1671;146;0;1026;146;0;1140;254;25;13;2464;0;2342;59;63;1861;0;1861;9;0;9;9;0;0;105;31;144;883485;64872;0;0;26948;110647;883569;1716;748;2464;0;0;0;0;0;80;0;0
0;883506;1672;0;1672;126;0;1038;136;0;1158;202;28;32;2494;0;2371;59;64;1809;0;1809;13;0;13;9;3;1;105;26;153;883453;64822;0;0;33014;115754;883536;1733;761;2494;0;0;0;0;0;81;0;0
0;883480;1655;0;1655;133;0;1070;138;0;1200;214;25;32;2520;0;2396;60;64;1726;0;1726;13;0;13;13;0;0;105;24;164;883427;64811;0;0;36864;112570;883506;1746;774;2520;0;0;0;0;0;82;0;0
0;883454;1625;0;1625;129;0;1080;144;0;1230;212;33;28;2546;0;2420;61;65;1681;0;1681;12;0;12;11;0;1;105;26;176;883397;64786;0;0;36443;109922;883480;1760;786;2546;0;0;0;0;0;83;0;0
0;883434;1606;0;1606;114;0;1109;148;0;1267;208;27;27;2566;0;2439;62;65;1620;0;1620;10;0;10;9;1;0;106;19;184;883373;64747;0;0;32267;109033;883454;1771;795;2566;0;0;0;0;0;84;0;0
0;883412;1565;0;1565;129;0;1142;133;0;1282;226;15;21;2588;0;2459;63;66;1597;0;1597;11;0;11;11;0;0;105;31;205;883353;64770;0;0;28792;108161;883434;1781;807;2588;0;0;0;0;0;85;0;0
0;883387;1510;0;1510;121;0;1166;148;0;1310;219;24;26;2613;0;2482;64;67;1580;0;1580;12;0;12;12;0;0;106;17;208;883334;64779;0;0;27135;108197;883412;1795;818;2613;0;0;0;0;0;86;0;0
0;883364;1510;0;1510;107;0;1176;128;0;1295;189;19;27;2636;0;2505;64;67;1568;0;1568;4;0;4;4;0;0;104;18;209;883310;64711;0;0;26821;114521;883387;1812;824;2636;0;0;0;0;0;87;0;0
0;883335;1474;0;1474;106;0;1162;139;0;1302;196;25;24;2665;0;2532;65;68;1581;0;1581;8;0;8;8;0;0;105;20;207;883286;64717;0;0;26586;114190;883364;1834;831;2665;0;0;0;0;0;88;0;0
0;883295;1446;0;1446;114;0;1148;119;0;1298;195;24;14;2705;0;2571;66;68;1598;0;1598;16;0;16;16;0;0;104;11;195;883258;64683;0;0;26234;109290;883335;1857;848;2705;0;0;0;0;0;89;0;0
0;883265;1364;0;1364;124;0;1152;145;0;1302;216;26;27;2735;0;2597;70;68;1639;0;1639;14;0;14;14;0;0;106;17;194;883218;64657;0;0;26825;106472;883295;1875;860;2735;0;0;0;0;0;90;0;0
0;883228;1363;0;1363;106;0;1118;111;0;1270;176;17;24;2772;0;2628;73;71;1675;0;1675;9;0;9;9;0;0;104;11;179;883190;64731;0;0;31845;107711;883265;1901;871;2772;0;0;0;0;0;91;0;0
0;883195;1311;0;1311;107;0;1111;130;0;1267;195;21;21;2805;0;2658;75;72;1706;0;1706;13;0;13;12;1;0;106;15;172;883154;64678;0;0;36358;107107;883228;1923;882;2805;0;0;0;0;0;92;0;0
0;883166;1250;0;1250;108;0;1107;133;0;1274;181;28;32;2834;0;2684;76;74;1736;0;1736;6;0;6;5;1;0;106;19;168;883120;64628;0;0;35313;109940;883195;1946;888;2834;0;0;0;0;0;93;0;0
0;883131;1273;0;1273;97;0;1085;93;0;1239;167;12;11;2869;0;2717;77;75;1744;0;1744;11;0;11;10;1;0;104;16;162;883090;64634;0;0;31257;111200;883166;1968;901;2869;0;0;0;0;0;94;0;0
0;883101;1261;0;1261;85;0;1046;130;0;1244;167;22;26;2899;0;2745;79;75;1757;0;1757;9;0;9;9;0;0;105;8;148;883054;64581;0;0;28881;108271;883131;1990;909;2899;0;0;0;0;0;95;0;0
0;883075;1260;0;1260;119;0;1062;107;0;1215;193;16;17;2925;0;2770;80;75;1749;0;1749;12;0;12;11;0;1;106;19;152;883024;64600;0;0;27237;107268;883101;2005;920;2925;0;0;0;0;0;96;0;0
0;883052;1282;0;1282;104;0;1060;102;0;1176;168;20;18;2948;0;2793;80;75;1748;0;1748;11;0;11;9;2;0;106;14;154;882995;64599;0;0;26458;106744;883075;2017;931;2948;0;0;0;0;0;97;0;0
0;883013;1294;0;1294;107;0;1051;102;0;1144;169;16;24;2987;0;2830;80;77;1739;0;1739;14;0;14;14;0;0;107;16;144;882971;64560;0;0;26177;108640;883052;2043;944;2987;0;0;0;0;0;98;0;0
0;882985;1338;0;1338;92;0;1017;109;0;1140;162;25;14;3015;0;2858;80;77;1702;0;1702;10;0;10;10;0;0;103;4;134;882931;64541;0;0;26268;108551;883013;2057;958;3015;0;0;0;0;0;99;0;0
0;882966;1351;0;1351;103;0;1024;106;0;1118;170;14;25;3034;0;2875;82;77;1690;0;1690;10;0;10;9;0;1;106;18;140;882905;64521;0;0;27341;111919;882985;2069;965;3034;0;0;0;0;0;100;0;0
