ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;InfectionsAtHome;InfectionsAtWork;InfectionsAtSchool;InfectionsAtOAHome;InfectionsAtOutdoor;InfectionsAtIndoor;StudentsCount;OccupiedWorkersCount;EssentialWorkersCount;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;857910;0;0;0;100;0;100;250;0;250;124;148;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;857910;0;0;0;0;0;0;0;0;0;350;190324;178027;79999;0;0;9999999999;0;0;258026;0;0;0;0;0;0;0;0;0
0;857910;0;0;0;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;854618;254537;170093;0;688167;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;660;10029517809;0;89503;3230;165034;0;0;0;0;0;1;0;2
0;857910;46;0;46;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;733798;244734;105058;0;721044;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;2360;10038273709;0;115163;322;142333;0;0;0;0;0;2;0;2
0;857910;85;0;85;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;740428;241598;148477;0;712809;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;5350;10038347109;0;115477;322;142041;0;0;0;0;0;3;0;2
0;857910;129;0;129;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;736463;236495;160777;0;719760;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;7220;10040811739;0;122798;322;134728;0;0;0;0;0;4;0;2
0;857910;135;0;135;0;0;98;0;0;249;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;737561;229108;178921;0;720366;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;10680;10042000449;0;126015;322;131519;0;0;0;0;0;5;0;2
0;857910;167;0;167;5;0;101;7;0;250;5;7;0;0;0;0;0;0;11;0;11;0;0;0;0;0;0;0;0;0;728765;238410;183125;0;698860;0;857910;0;0;0;0;11;0;0;0;0;1;190324;178027;79999;0;9590;10047429639;0;142875;322;114671;0;0;0;0;0;6;0;2
0;857910;165;0;165;8;0;103;4;0;241;8;4;0;0;0;0;0;0;30;0;30;3;0;3;3;0;0;3;0;0;731713;227819;186272;0;726452;0;857910;0;0;0;0;7;0;0;0;0;5;190324;178027;79999;0;16980;10052006729;0;156557;322;101000;0;0;0;0;0;7;0;2
0;857910;192;0;192;10;0;105;14;0;224;11;13;0;0;0;0;0;0;69;0;69;2;0;2;1;1;0;5;0;0;718145;238162;186954;0;697257;0;857910;0;0;0;0;22;0;0;0;0;2;190324;178027;79999;0;11340;10055010759;0;165719;322;91850;0;0;0;0;0;8;0;2
0;857910;195;0;195;5;0;88;20;0;208;13;12;0;0;0;0;0;0;127;0;127;3;0;3;2;1;0;8;0;0;726592;231045;186367;0;726654;0;857910;0;0;0;0;17;0;0;0;2;6;190324;178027;79999;0;14690;10059458189;0;178976;322;78602;0;0;0;0;0;9;0;2
0;857910;221;0;221;12;0;90;12;0;165;16;8;0;0;0;0;0;0;192;0;192;7;0;7;7;0;0;15;0;0;716113;242081;185216;0;693782;0;857910;0;0;0;0;18;0;0;0;3;3;190324;178027;79999;0;17470;10060538129;0;182148;322;75436;0;0;0;0;0;10;0;2
0;857910;223;0;223;13;0;83;22;0;146;28;7;0;0;0;0;0;0;253;0;253;8;0;8;8;0;0;23;0;0;718970;237241;181991;0;719758;0;857910;0;0;0;0;23;0;0;0;5;7;190324;178027;79999;0;19760;10064008739;0;192777;322;64812;0;0;0;0;0;11;0;2
0;857910;222;0;222;11;0;75;19;0;133;26;4;0;0;0;0;0;0;304;0;304;3;0;3;3;0;0;26;0;0;718138;241182;179969;0;697552;0;857910;0;0;0;0;15;0;0;0;5;10;190324;178027;79999;0;21600;10065040169;0;195809;322;61789;0;0;0;0;0;12;0;2
0;857910;252;0;252;13;0;82;20;0;126;26;7;0;0;0;0;0;0;334;0;334;10;0;10;9;1;0;36;0;0;713652;240167;175396;0;714057;0;857910;0;0;0;0;25;0;0;0;2;6;190324;178027;79999;0;18250;10067313889;0;202601;322;55007;0;0;0;0;0;13;0;2
0;857909;245;0;245;10;0;86;24;0;141;22;12;0;1;0;0;1;0;340;0;340;5;0;5;5;0;0;40;0;0;716997;242051;174758;0;700781;0;857910;0;1;1;0;23;0;0;0;6;5;190324;178027;79999;0;24290;10067507879;0;203121;322;54494;0;0;0;0;0;14;0;2
0;857907;306;0;306;11;0;91;24;0;159;22;12;1;3;0;2;1;0;323;0;323;3;0;3;2;1;0;41;0;0;708177;242750;169165;0;703305;0;857909;0;3;3;0;32;0;0;0;2;1;190324;178027;79999;0;37240;10068455589;0;206019;322;51601;0;0;0;0;0;15;0;2
0;857907;296;0;296;22;0;108;21;0;169;33;10;0;3;0;2;1;0;305;0;305;10;0;10;10;0;0;51;0;0;715638;241653;170603;0;705330;0;857907;0;3;3;0;28;0;0;0;5;10;190324;178027;79999;0;27670;10068588749;0;206351;322;51276;0;0;0;0;0;16;0;2
