ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;InfectionsAtHome;InfectionsAtWork;InfectionsAtSchool;InfectionsAtOAHome;InfectionsAtOutdoor;InfectionsAtIndoor;StudentsCount;OccupiedWorkersCount;EssentialWorkersCount;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;857902;443;0;443;25;0;152;32;0;195;46;11;0;8;0;7;1;0;262;0;262;11;0;11;11;0;0;82;0;0;718642;244536;182207;0;710111;0;857906;0;8;8;0;38;0;0;0;9;10;190324;178027;79999;0;34786;10060692027;0;193381;329;64288;0;0;0;0;0;17;0;0
0;857899;437;0;437;36;0;184;35;0;220;55;16;0;11;0;10;1;0;203;0;203;20;0;20;20;0;0;99;0;0;712374;245836;181974;0;695670;0;857902;0;11;11;0;48;0;0;0;3;20;190324;178027;79999;0;23852;10060984941;0;194201;329;63470;0;0;0;0;0;18;0;0
0;857894;415;0;415;28;0;199;41;0;248;55;14;0;16;0;15;1;0;168;0;168;9;0;9;9;0;0;103;7;7;714994;244045;181673;0;706958;0;857899;0;16;16;0;46;0;0;0;8;15;190324;178027;79999;0;43292;10061675145;0;196457;329;61217;0;0;0;0;0;19;0;0
0;857887;409;0;409;29;0;219;40;0;266;61;8;0;23;0;22;1;0;145;0;145;7;0;7;7;0;0;103;10;17;710167;245106;181349;0;694975;0;857894;0;23;23;0;45;0;0;0;6;18;190324;178027;79999;0;30204;10061810555;0;196852;329;60823;0;0;0;0;0;20;0;0
0;857880;420;0;420;34;0;233;46;0;300;68;10;2;30;0;29;1;0;136;0;136;8;0;8;8;0;0;101;6;23;711264;243823;180974;0;703724;0;857887;0;30;30;0;51;0;0;0;11;18;190324;178027;79999;0;41908;10062286339;0;198397;329;59279;0;0;0;0;0;21;0;0
0;857877;437;0;437;30;0;256;36;0;317;59;7;0;33;0;32;1;0;148;0;148;7;0;7;7;0;0;102;11;34;707700;244486;180611;0;694348;0;857880;0;33;33;0;44;0;0;0;7;15;190324;178027;79999;0;45848;10062431155;0;198772;329;58906;0;0;0;0;0;22;0;0
0;857869;427;0;427;36;0;272;37;0;334;69;4;0;41;0;40;1;0;171;0;171;12;0;12;12;0;0;103;6;40;708150;243554;179798;0;700523;0;857877;0;41;41;0;43;0;0;0;15;15;190324;178027;79999;0;34732;10062681753;0;199655;329;58024;0;0;0;0;0;23;0;0
0;857856;436;0;436;30;0;276;39;0;340;60;8;1;54;0;53;1;0;206;0;206;11;0;11;11;0;0;98;2;42;704898;243929;179508;0;691567;0;857869;0;54;54;0;52;0;0;0;4;13;190324;178027;79999;0;38064;10062846155;0;200024;329;57656;0;0;0;0;0;24;0;0
0;857845;459;0;459;30;0;285;26;0;343;45;11;0;65;0;64;1;0;217;0;217;13;0;13;13;0;0;100;0;42;704881;242899;178563;0;698020;0;857856;0;65;65;0;34;0;0;0;4;18;190324;178027;79999;0;57282;10063123579;0;201113;329;56569;0;0;0;0;0;25;0;0
0;857840;468;0;468;38;0;307;33;0;346;62;8;1;70;0;69;1;0;245;0;245;10;0;10;10;0;0;103;10;52;703288;243316;178449;0;690408;0;857845;0;70;70;0;53;0;0;0;8;10;190324;178027;79999;0;60764;10063225815;0;201310;329;56375;0;0;0;0;0;26;0;0
0;857829;501;0;501;38;0;317;42;0;360;73;6;1;81;0;80;1;0;272;0;272;12;0;12;12;0;0;100;8;59;701956;242553;176973;0;694491;0;857840;1;80;81;0;48;0;0;0;11;21;190324;178027;79999;0;41388;10063513959;0;202281;329;55404;0;0;0;0;0;27;0;0
0;857818;525;0;525;27;0;320;44;0;371;68;3;0;92;0;91;1;0;288;0;288;10;0;10;10;0;0;100;0;56;701131;242723;177020;0;688834;0;857829;4;88;92;0;45;0;0;0;12;14;190324;178027;79999;0;66982;10063384257;0;202027;329;55658;0;0;0;0;0;28;0;0
0;857798;539;0;539;34;0;313;48;0;378;64;13;5;112;0;111;1;0;328;0;328;14;0;14;13;1;0;103;6;52;699694;241922;175627;0;692385;0;857818;14;98;112;0;57;0;1;0;12;12;190324;178027;79999;0;29342;10063726705;0;203178;329;54507;0;0;0;0;0;29;0;0
