ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;880809;669;0;669;49;0;433;58;0;560;80;15;12;5191;0;4908;153;130;774;0;774;10;0;10;8;2;0;94;0;1;880574;155320;92559;0;259155;0;880824;2572;2619;5191;0;0;0;0;0;255;0;0
0;880803;666;0;666;48;0;440;51;0;557;81;7;11;5197;0;4914;153;130;770;0;770;16;0;16;16;0;0;104;0;1;880544;155187;92414;0;258298;0;880809;2572;2625;5197;0;0;0;0;0;256;0;0
0;880794;659;0;659;51;0;446;53;0;562;77;16;11;5206;0;4922;154;130;760;0;760;10;0;10;10;0;0;105;0;1;880496;155155;92493;0;258929;0;880803;2572;2634;5206;0;0;0;0;0;257;0;0
0;880783;649;0;649;44;0;443;65;0;575;82;12;15;5217;0;4933;154;130;754;0;754;9;0;9;9;0;0;103;2;3;880554;155033;92344;0;258581;0;880794;2572;2645;5217;0;0;0;0;0;258;0;0
0;880779;624;0;624;50;0;446;75;0;594;93;20;12;5221;0;4937;154;130;749;0;749;6;0;6;6;0;0;106;7;9;880490;155075;92209;0;257221;0;880783;2573;2648;5221;0;0;0;0;0;259;0;0
0;880767;623;0;623;41;0;442;60;0;585;73;15;13;5233;0;4949;154;130;749;0;749;8;0;8;8;0;0;102;2;11;880527;154945;92236;0;257187;0;880779;2573;2660;5233;0;0;0;0;0;260;0;0
0;880757;603;0;603;37;0;431;63;0;585;74;15;11;5243;0;4957;156;130;769;0;769;9;0;9;9;0;0;101;0;11;880523;155009;92289;0;256887;0;880767;2573;2670;5243;0;0;0;0;0;261;0;0
0;880741;590;0;590;41;0;427;69;0;590;80;10;20;5259;0;4972;156;131;764;0;764;4;0;4;4;0;0;89;0;11;880471;154870;92045;0;256918;0;880757;2573;2686;5259;0;0;0;0;0;262;0;0
0;880730;601;0;601;35;0;422;57;0;589;61;16;15;5270;0;4983;156;131;749;0;749;7;0;7;7;0;0;85;0;11;880463;154693;92030;0;256290;0;880741;2573;2697;5270;0;0;0;0;0;263;0;0
0;880720;592;0;592;37;0;416;62;0;603;71;18;10;5280;0;4993;156;131;742;0;742;7;0;7;7;0;0;82;0;11;880451;154742;91942;0;255529;0;880730;2573;2707;5280;0;0;0;0;0;264;0;0
0;880713;592;0;592;39;0;410;46;0;587;65;10;10;5287;0;5000;156;131;750;0;750;7;0;7;6;0;1;83;0;10;880487;154511;91896;0;255460;0;880720;2574;2713;5287;0;0;0;0;0;265;0;0
0;880702;605;0;605;37;0;399;46;0;580;58;15;10;5298;0;5010;157;131;750;0;750;7;0;7;7;0;0;79;0;10;880473;154464;91822;0;254734;0;880713;2574;2724;5298;0;0;0;0;0;266;0;0
0;880688;621;0;621;36;0;385;54;0;576;73;8;9;5312;0;5022;158;132;735;0;735;7;0;7;7;0;0;74;0;8;880476;154566;91602;0;255213;0;880702;2576;2736;5312;0;0;0;0;0;267;0;0
