ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;InfectionsAtHome;InfectionsAtWork;InfectionsAtSchool;InfectionsAtOAHome;InfectionsAtOutdoor;InfectionsAtIndoor;StudentsCount;OccupiedWorkersCount;EssentialWorkersCount;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;857910;0;0;0;100;0;100;250;0;250;124;148;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;857910;0;0;0;0;0;0;0;0;0;350;190324;178027;79999;0;0;9999999999;0;0;258026;0;0;0;0;0;0;0;0;0
0;857910;0;0;0;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;855188;256219;175266;0;721676;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;624;10040123589;0;128883;1461;127336;0;0;0;0;0;1;0;0
0;857910;33;0;33;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;728260;254181;145900;0;725862;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;2176;10053934119;0;171978;362;85488;0;0;0;0;0;2;0;0
0;857910;78;0;78;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;735595;254496;167342;0;717570;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;4844;10058394351;0;186203;362;71284;0;0;0;0;0;3;0;0
0;857910;112;0;112;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;733506;253392;159289;0;723976;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;5124;10059642619;0;190071;362;67441;0;0;0;0;0;4;0;0
0;857910;121;0;121;0;0;98;0;0;249;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;737320;251988;172710;0;713537;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;6580;10059684875;0;189871;362;67658;0;0;0;0;0;5;0;0
0;857910;145;0;145;1;0;97;4;0;247;1;4;0;0;0;0;0;0;11;0;11;1;0;1;1;0;0;1;0;0;730061;252029;167408;0;712508;0;857910;0;0;0;0;5;0;0;0;0;0;190324;178027;79999;0;9202;10061197147;0;195100;362;62441;0;0;0;0;0;6;0;0
0;857910;143;0;143;5;0;96;7;0;241;7;5;0;0;0;0;0;0;30;0;30;3;0;3;3;0;0;4;0;0;733774;249724;175445;0;720311;0;857910;0;0;0;0;10;0;0;0;0;2;190324;178027;79999;0;13910;10060269879;0;191589;362;65969;0;0;0;0;0;7;0;0
0;857910;161;0;161;3;0;91;15;0;225;9;9;0;0;0;0;0;0;69;0;69;2;0;2;2;0;0;6;0;0;725272;250585;173834;0;708233;0;857910;0;0;0;0;14;0;0;0;3;1;190324;178027;79999;0;13602;10060461069;0;192667;362;64912;0;0;0;0;0;8;0;0
0;857910;141;0;141;13;0;82;20;0;209;22;11;0;0;0;0;0;0;127;0;127;3;0;3;3;0;0;9;0;0;730103;247870;179253;0;719289;0;857910;0;0;0;0;22;0;0;0;6;5;190324;178027;79999;0;16772;10059765339;0;190220;362;67369;0;0;0;0;0;9;0;0
