ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;InfectionsAtHome;InfectionsAtWork;InfectionsAtSchool;InfectionsAtOAHome;InfectionsAtOutdoor;InfectionsAtIndoor;StudentsCount;OccupiedWorkersCount;EssentialWorkersCount;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;857910;0;0;0;100;0;100;250;0;250;124;148;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;857910;0;0;0;0;0;0;0;0;0;350;190324;178027;79999;0;0;9999999999;0;0;258026;0;0;0;0;0;0;0;0;0
0;857910;3;0;3;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;642074;256505;174963;0;735140;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;624;10039653939;0;127376;1209;129129;0;0;0;0;0;1;0;0
0;857910;42;0;42;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;727843;254443;146053;0;726720;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;2104;10053577745;0;170817;138;86880;0;0;0;0;0;2;0;0
0;857910;84;0;84;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;736137;254782;167528;0;718215;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;5280;10058230347;0;185799;138;71910;0;0;0;0;0;3;0;0
0;857910;112;0;112;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;734309;253895;160206;0;724674;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;8106;10059516325;0;189849;138;67886;0;0;0;0;0;4;0;0
0;857910;126;0;126;3;0;101;1;0;250;2;2;0;0;0;0;0;0;3;0;3;3;0;3;1;2;0;3;0;0;738383;252557;172683;0;714633;0;857910;0;0;0;0;3;0;0;0;0;1;190324;178027;79999;0;7846;10059630277;0;190007;138;67751;0;0;0;0;0;5;0;0
0;857910;157;0;157;1;0;100;3;0;247;3;1;0;0;0;0;0;0;11;0;11;0;0;0;0;0;0;3;0;0;731041;252585;167726;0;713699;0;857910;0;0;0;0;4;0;0;0;0;0;190324;178027;79999;0;7548;10061227327;0;195414;138;62365;0;0;0;0;0;6;0;0
0;857910;155;0;155;6;0;100;9;0;243;10;5;0;0;0;0;0;0;30;0;30;4;0;4;3;1;0;7;0;0;735139;250215;175524;0;721717;0;857910;0;0;0;0;11;0;0;0;1;3;190324;178027;79999;0;9596;10060413315;0;192210;138;65582;0;0;0;0;0;7;0;0
0;857910;179;0;179;11;0;103;7;0;219;14;4;0;0;0;0;0;0;69;0;69;7;0;7;6;1;0;14;0;0;726255;251052;173860;0;709786;0;857910;0;0;0;0;8;0;0;0;2;8;190324;178027;79999;0;15568;10060551827;0;193105;138;64705;0;0;0;0;0;8;0;0
0;857910;200;0;200;12;0;93;13;0;196;14;11;0;0;0;0;0;0;127;0;127;6;0;6;5;1;0;20;0;0;731565;248422;179400;0;720962;0;857910;0;0;0;0;19;0;0;0;3;3;190324;178027;79999;0;15364;10059928195;0;190606;138;67210;0;0;0;0;0;9;0;0
0;857910;299;0;299;11;0;94;13;0;154;14;10;0;0;0;0;0;0;192;0;192;4;0;4;3;1;0;24;0;0;720492;249657;177719;0;707084;0;857910;0;0;0;0;19;0;0;0;3;2;190324;178027;79999;0;20890;10059483013;0;189695;138;68134;0;0;0;0;0;10;0;0
