ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;InfectionsAtHome;InfectionsAtWork;InfectionsAtSchool;InfectionsAtOAHome;InfectionsAtOutdoor;InfectionsAtIndoor;1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;884744;2296;0;2296;182;0;1722;187;0;1972;319;41;9;1256;0;1226;21;9;3129;0;3129;10;0;10;9;1;0;107;69;752;884503;210521;146136;0;529256;0;884848;1064;192;1256;0;311;1;0;0;29;28;0;0;0;0;36;0;0
0;884642;2259;0;2259;187;0;1714;198;0;1957;335;42;8;1358;0;1325;24;9;3191;0;3191;13;0;13;13;0;0;106;67;728;884405;209606;145426;0;526098;0;884744;1155;203;1358;0;326;1;1;0;31;26;0;0;0;0;37;0;0
0;884549;2306;0;2306;168;0;1695;201;0;1943;321;38;10;1451;0;1416;25;10;3137;0;3137;12;0;12;12;0;0;107;75;719;884282;208813;144407;0;521515;0;884642;1239;212;1451;0;306;1;0;0;30;32;0;0;0;0;38;0;0
0;884467;2460;0;2460;166;0;1686;198;0;1957;310;38;16;1533;0;1496;27;10;2973;0;2973;14;0;14;13;1;0;106;63;710;884213;207827;143486;0;518602;0;884549;1311;222;1533;0;299;0;1;0;34;30;0;0;0;0;39;0;0
0;884391;2585;0;2585;175;0;1697;201;0;1972;338;25;13;1609;0;1572;27;10;2807;0;2807;12;0;12;12;0;0;106;74;717;884121;207077;143001;0;514336;0;884467;1378;231;1609;0;329;0;0;0;19;28;0;0;0;0;40;0;0
0;884309;2692;0;2692;177;0;1702;217;0;1993;349;30;15;1691;0;1654;27;10;2633;0;2633;13;0;13;13;0;0;106;67;714;884014;206229;141991;0;511227;0;884391;1448;243;1691;0;342;1;0;0;22;29;0;0;0;0;41;0;0
0;884217;2778;0;2778;195;0;1705;223;0;2015;375;28;15;1783;0;1744;29;10;2492;0;2492;12;0;12;12;0;0;106;78;711;883991;205372;141200;0;506659;0;884309;1529;254;1783;0;363;0;0;0;31;24;0;0;0;0;42;0;0
0;884141;2860;0;2860;197;0;1740;226;0;2028;381;33;9;1859;0;1817;32;10;2410;0;2410;8;0;8;8;0;0;106;102;745;883887;204731;140701;0;503159;0;884217;1597;262;1859;0;389;0;0;0;14;20;0;0;0;0;43;0;0
0;884061;2941;0;2941;187;0;1760;200;0;2018;353;25;9;1939;0;1895;33;11;2365;0;2365;11;0;11;11;0;0;106;74;746;883801;203903;139800;0;499895;0;884141;1670;269;1939;0;355;0;0;0;16;16;0;0;0;0;44;0;0
0;883982;2896;0;2896;221;0;1807;236;0;2042;417;23;17;2018;0;1973;34;11;2339;0;2339;8;0;8;8;0;0;106;96;770;883748;203159;138923;0;496265;0;884061;1742;276;2018;0;426;0;0;0;14;17;0;0;0;0;45;0;0
0;883892;2830;0;2830;188;0;1814;257;0;2092;396;28;21;2108;0;2062;35;11;2359;0;2359;9;0;9;9;0;0;106;78;765;883618;202399;138285;0;492499;0;883982;1825;283;2108;0;418;0;0;0;16;11;0;0;0;0;46;0;0
0;883802;2756;0;2756;224;0;1857;250;0;2120;420;36;18;2198;0;2150;36;12;2362;0;2362;12;0;12;11;1;0;106;101;785;883578;201630;137519;0;488320;0;883892;1906;292;2198;0;438;1;0;0;15;20;0;0;0;0;47;0;0
0;883716;2651;0;2651;214;0;1888;220;0;2135;399;23;12;2284;0;2234;37;13;2409;0;2409;13;0;13;13;0;0;106;100;809;883451;201033;136941;0;486012;0;883802;1982;302;2284;0;395;1;0;0;17;21;0;0;0;0;48;0;0
0;883636;2571;0;2571;210;0;1919;260;0;2170;420;29;21;2364;0;2313;38;13;2441;0;2441;16;0;16;16;0;0;106;86;827;883365;200274;136129;0;482369;0;883716;2050;314;2364;0;434;0;2;0;18;16;0;0;0;0;49;0;0
0;883554;2523;0;2523;220;0;1967;255;0;2233;444;22;9;2446;0;2391;42;13;2420;0;2420;11;0;11;11;0;0;106;93;849;883323;199428;135444;0;479348;0;883636;2121;325;2446;0;437;0;0;0;19;19;0;0;0;0;50;0;0
0;883459;2502;0;2502;183;0;1951;234;0;2226;366;23;28;2541;0;2484;44;13;2461;0;2461;16;0;16;15;1;0;105;84;853;883219;198801;134822;0;475262;0;883554;2201;340;2541;0;388;0;1;0;16;12;0;0;0;0;51;0;0
0;883376;2469;0;2469;184;0;1956;240;0;2247;381;24;19;2624;0;2564;46;14;2494;0;2494;14;0;14;14;0;0;106;74;855;883073;198093;134199;0;472501;0;883459;2273;351;2624;0;392;0;0;0;16;16;0;0;0;0;52;0;0
0;883279;2474;0;2474;169;0;1939;223;0;2258;339;38;15;2721;0;2661;46;14;2482;0;2482;7;0;7;7;0;0;106;70;834;883045;197559;133374;0;469836;0;883376;2364;357;2721;0;363;1;0;0;13;15;0;0;0;0;53;0;0
0;883182;2446;0;2446;184;0;1919;240;0;2286;374;29;21;2818;0;2757;46;15;2486;0;2486;7;0;7;6;1;0;106;79;821;882949;196790;132787;0;467196;0;883279;2456;362;2818;0;392;0;0;0;14;18;0;0;0;0;54;0;0
0;883082;2461;0;2461;190;0;1905;190;0;2273;337;22;21;2918;0;2856;47;15;2495;0;2495;7;0;7;7;0;0;106;86;812;882884;196262;132317;0;465150;0;883182;2551;367;2918;0;351;0;1;0;9;19;0;0;0;0;55;0;0
0;883005;2461;0;2461;181;0;1903;217;0;2263;337;48;13;2995;0;2933;47;15;2537;0;2537;10;0;10;10;0;0;106;73;816;882786;195638;131839;0;461588;0;883082;2620;375;2995;0;364;0;1;0;18;15;0;0;0;0;56;0;0
0;882911;2487;0;2487;183;0;1882;219;0;2269;355;35;12;3089;0;3024;49;16;2529;0;2529;8;0;8;8;0;0;106;80;808;882717;195004;131030;0;458180;0;883005;2708;381;3089;0;369;0;0;0;21;12;0;0;0;0;57;0;0
0;882815;2461;0;2461;184;0;1849;226;0;2242;356;34;20;3185;0;3119;50;16;2587;0;2587;11;0;11;11;0;0;106;82;802;882589;194364;130535;0;454986;0;882911;2796;389;3185;0;374;1;0;0;19;16;0;0;0;0;58;0;0
0;882722;2470;0;2470;187;0;1851;231;0;2235;362;41;15;3278;0;3209;52;17;2607;0;2607;17;0;17;17;0;0;105;73;797;882502;194077;130062;0;452674;0;882815;2874;404;3278;0;383;0;0;0;18;17;0;0;0;0;59;0;0
0;882618;2546;0;2546;167;0;1814;201;0;2196;319;37;12;3382;0;3310;54;18;2609;0;2609;11;0;11;10;1;0;106;61;762;882403;193170;129121;0;449776;0;882722;2970;412;3382;0;345;0;0;0;15;8;0;0;0;0;60;0;0
0;882522;2564;0;2564;175;0;1800;217;0;2168;348;28;16;3478;0;3405;54;19;2650;0;2650;10;0;10;10;0;0;106;70;742;882294;192762;128686;0;446694;0;882618;3060;418;3478;0;354;0;1;0;19;18;0;0;0;0;61;0;0
