ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;InfectionsAtHome;InfectionsAtWork;InfectionsAtSchool;InfectionsAtOAHome;InfectionsAtOutdoor;InfectionsAtIndoor;1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;880588;2342;0;2342;149;0;1771;194;0;2177;300;28;15;5412;0;5309;79;24;2644;0;2644;9;0;9;8;1;0;106;59;747;880345;182334;118667;0;396735;0;880660;4800;612;5412;0;323;0;0;0;17;3;0;0;0;0;83;0;0
0;880488;2346;0;2346;164;0;1733;220;0;2176;334;31;19;5512;0;5407;80;25;2618;0;2618;4;0;4;4;0;0;105;70;722;880298;182053;118432;0;394363;0;880588;4895;617;5512;0;353;0;0;0;14;17;0;0;0;0;84;0;0
0;880400;2321;0;2321;185;0;1716;221;0;2174;354;37;15;5600;0;5495;80;25;2633;0;2633;14;0;14;14;0;0;106;67;711;880217;181617;118006;0;393540;0;880488;4973;627;5600;0;378;0;0;0;13;15;0;0;0;0;85;0;0
0;880299;2380;0;2380;147;0;1665;202;0;2122;296;36;17;5701;0;5594;81;26;2641;0;2641;9;0;9;8;1;0;106;60;678;880104;181249;117644;0;391731;0;880400;5066;635;5701;0;332;0;0;0;11;6;0;0;0;0;86;0;0
0;880224;2416;0;2416;152;0;1644;211;0;2130;309;40;14;5776;0;5669;81;26;2600;0;2600;9;0;9;9;0;0;106;53;662;879986;180925;117199;0;388789;0;880299;5135;641;5776;0;349;0;0;0;8;6;0;0;0;0;87;0;0
0;880138;2426;0;2426;177;0;1637;210;0;2113;346;20;21;5862;0;5754;82;26;2570;0;2570;11;0;11;11;0;0;106;74;660;879927;180650;116946;0;387741;0;880224;5211;651;5862;0;369;0;0;0;11;7;0;0;0;0;88;0;0
0;880058;2373;0;2373;185;0;1656;203;0;2092;346;25;17;5942;0;5830;83;29;2593;0;2593;9;0;9;9;0;0;106;83;671;879769;180228;116461;0;385537;0;880138;5283;659;5942;0;373;0;0;0;7;8;0;0;0;0;89;0;0
0;879972;2345;0;2345;157;0;1645;202;0;2069;317;28;14;6028;0;5914;85;29;2604;0;2604;15;0;15;15;0;0;104;52;653;879725;180065;116241;0;384171;0;880058;5353;675;6028;0;345;0;0;0;9;5;0;0;0;0;90;0;0
0;879885;2337;0;2337;188;0;1653;202;0;2028;339;37;14;6115;0;6000;85;30;2594;0;2594;15;0;15;15;0;0;105;69;644;879693;179550;115872;0;382443;0;879972;5431;684;6115;0;371;0;0;0;8;11;0;0;0;0;91;0;0
0;879806;2320;0;2320;176;0;1662;204;0;2013;319;44;17;6194;0;6078;86;30;2578;0;2578;13;0;13;13;0;0;106;75;648;879612;179266;115429;0;379689;0;879885;5502;692;6194;0;358;0;1;0;11;10;0;0;0;0;92;0;0
0;879734;2306;0;2306;169;0;1652;222;0;2026;334;39;18;6266;0;6148;87;31;2552;0;2552;13;0;13;13;0;0;105;64;650;879495;178861;115163;0;378145;0;879806;5564;702;6266;0;362;0;0;0;12;17;0;0;0;0;93;0;0
0;879667;2281;0;2281;183;0;1661;222;0;2048;352;28;25;6333;0;6210;90;33;2517;0;2517;7;0;7;7;0;0;106;74;659;879431;178512;114915;0;376982;0;879734;5629;704;6333;0;381;0;0;0;13;11;0;0;0;0;94;0;0
0;879599;2264;0;2264;192;0;1678;194;0;2004;341;28;17;6401;0;6278;90;33;2543;0;2543;12;0;12;12;0;0;105;65;667;879391;178197;114542;0;376015;0;879667;5686;715;6401;0;368;0;0;0;11;7;0;0;0;0;95;0;0
0;879526;2271;0;2271;162;0;1690;198;0;1972;314;28;18;6474;0;6348;93;33;2543;0;2543;11;0;11;11;0;0;106;60;660;879325;177838;114352;0;374010;0;879599;5753;721;6474;0;344;0;0;0;9;7;0;0;0;0;96;0;0
0;879455;2265;0;2265;157;0;1700;215;0;1990;316;33;23;6545;0;6417;95;33;2507;0;2507;8;0;8;8;0;0;106;67;662;879220;177591;114007;0;372333;0;879526;5818;727;6545;0;352;1;0;0;9;10;0;0;0;0;97;0;0
0;879384;2312;0;2312;171;0;1688;177;0;1961;292;41;15;6616;0;6485;97;34;2483;0;2483;8;0;8;8;0;0;106;67;665;879144;177215;113679;0;370983;0;879455;5882;734;6616;0;328;0;0;0;13;7;0;0;0;0;98;0;0
0;879301;2295;0;2295;164;0;1685;201;0;1946;319;23;23;6699;0;6566;99;34;2477;0;2477;9;0;9;9;0;0;106;57;647;879043;176906;113368;0;368772;0;879384;5957;742;6699;0;353;0;0;0;8;4;0;0;0;0;99;0;0
0;879215;2277;0;2277;160;0;1660;201;0;1961;313;27;21;6785;0;6650;100;35;2452;0;2452;15;0;15;15;0;0;106;48;623;879004;176741;113165;0;366968;0;879301;6029;756;6785;0;345;0;2;0;7;7;0;0;0;0;100;0;0
0;879136;2295;0;2295;167;0;1656;189;0;1958;299;32;25;6864;0;6728;101;35;2413;0;2413;14;0;14;14;0;0;106;60;617;878954;176297;112759;0;365678;0;879215;6095;769;6864;0;339;0;0;0;8;9;0;0;0;0;101;0;0
0;879053;2296;0;2296;167;0;1644;180;0;1913;303;33;11;6947;0;6810;101;36;2418;0;2418;14;0;14;14;0;0;105;73;617;878848;175992;112465;0;364380;0;879136;6168;779;6947;0;331;0;0;0;11;5;0;0;0;0;102;0;0
0;878982;2247;0;2247;186;0;1667;215;0;1925;351;37;13;7018;0;6881;101;36;2399;0;2399;8;0;8;8;0;0;106;65;617;878729;175715;112183;0;362942;0;879053;6233;785;7018;0;376;0;1;0;11;13;0;0;0;0;103;0;0
0;878922;2226;0;2226;148;0;1644;210;0;1950;304;29;25;7078;0;6940;101;37;2387;0;2387;9;0;9;9;0;0;106;52;617;878699;175422;111991;0;362170;0;878982;6285;793;7078;0;341;0;1;0;10;6;0;0;0;0;104;0;0
0;878834;2195;0;2195;147;0;1623;219;0;1966;308;32;26;7166;0;7025;102;39;2367;0;2367;11;0;11;11;0;0;106;55;594;878668;175217;111797;0;360201;0;878922;6363;803;7166;0;345;0;1;0;9;11;0;0;0;0;105;0;0
0;878766;2174;0;2174;158;0;1603;191;0;1959;300;34;15;7234;0;7092;102;40;2380;0;2380;8;0;8;8;0;0;106;45;578;878555;174857;111406;0;358521;0;878834;6424;810;7234;0;333;0;0;0;7;9;0;0;0;0;106;0;0
0;878685;2143;0;2143;181;0;1609;194;0;1943;325;28;22;7315;0;7172;103;40;2372;0;2372;15;0;15;15;0;0;106;64;572;878477;174616;111227;0;356647;0;878766;6494;821;7315;0;363;1;0;0;4;7;0;0;0;0;107;0;0
0;878608;2100;0;2100;167;0;1584;180;0;1923;297;32;18;7392;0;7249;103;40;2414;0;2414;11;0;11;11;0;0;106;60;564;878385;174345;110996;0;355052;0;878685;6562;830;7392;0;335;1;0;0;4;7;0;0;0;0;108;0;0
0;878528;2065;0;2065;172;0;1594;202;0;1922;323;32;19;7472;0;7326;105;41;2395;0;2395;16;0;16;15;1;0;107;66;564;878341;174006;110678;0;354053;0;878608;6628;844;7472;0;354;0;0;0;13;7;0;0;0;0;109;0;0
0;878469;2088;0;2088;162;0;1594;176;0;1918;286;36;16;7531;0;7384;106;41;2363;0;2363;7;0;7;6;1;0;107;71;581;878231;173826;110303;0;352919;0;878528;6682;849;7531;0;321;0;0;0;6;11;0;0;0;0;110;0;0
0;878410;2124;0;2124;152;0;1597;174;0;1895;269;33;24;7590;0;7441;108;41;2348;0;2348;9;0;9;9;0;0;106;63;593;878179;173416;110171;0;352065;0;878469;6733;857;7590;0;312;0;0;0;4;10;0;0;0;0;111;0;0
0;878336;2147;0;2147;139;0;1566;182;0;1883;273;30;18;7664;0;7515;108;41;2330;0;2330;7;0;7;7;0;0;106;55;579;878089;173304;109949;0;350085;0;878410;6802;862;7664;0;310;0;0;0;4;7;0;0;0;0;112;0;0
0;878275;2136;0;2136;145;0;1549;195;0;1881;294;28;18;7725;0;7574;109;42;2359;0;2359;8;0;8;8;0;0;106;57;581;878024;173041;109713;0;349318;0;878336;6857;868;7725;0;325;0;0;0;9;6;0;0;0;0;113;0;0
0;878209;2153;0;2153;149;0;1544;189;0;1860;291;30;17;7791;0;7639;110;42;2375;0;2375;15;0;15;15;0;0;106;49;578;877959;172774;109493;0;348250;0;878275;6909;882;7791;0;326;0;0;0;3;9;0;0;0;0;114;0;0
0;878131;2211;0;2211;133;0;1512;191;0;1840;274;31;19;7869;0;7715;112;42;2336;0;2336;6;0;6;6;0;0;105;51;557;877948;172288;109201;0;347463;0;878209;6981;888;7869;0;311;0;0;0;5;8;0;0;0;0;115;0;0
0;878072;2178;0;2178;158;0;1514;197;0;1834;304;28;23;7928;0;7773;113;42;2353;0;2353;15;0;15;14;1;0;105;49;561;877889;172265;108976;0;346457;0;878131;7026;902;7928;0;342;1;0;0;7;5;0;0;0;0;116;0;0
