ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;InfectionsAtHome;InfectionsAtWork;InfectionsAtSchool;InfectionsAtOAHome;InfectionsAtOutdoor;InfectionsAtIndoor;StudentsCount;OccupiedWorkersCount;EssentialWorkersCount;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;857910;0;0;0;100;0;100;250;0;250;124;148;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;857910;0;0;0;0;0;0;0;0;0;350;190324;178027;79999;0;0;9999999999;0;0;258026;0;0;0;0;0;0;0;0;0
0;857910;0;0;0;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;855209;256227;175043;0;721721;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;624;10040120405;0;128876;1458;127351;0;0;0;0;0;1;0;0
0;857910;42;0;42;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;728349;254150;146263;0;725893;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;2176;10053938507;0;171968;336;85525;0;0;0;0;0;2;0;0
0;857910;83;0;83;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;735621;254423;167451;0;717691;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;5008;10058357081;0;186211;336;71300;0;0;0;0;0;3;0;0
0;857910;119;0;119;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;733772;253405;159560;0;724204;0;857910;0;0;0;0;0;0;0;0;0;0;190324;178027;79999;0;5362;10059579857;0;190006;336;67525;0;0;0;0;0;4;0;0
0;857910;125;0;125;0;0;98;2;0;251;1;1;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;737456;252274;172371;0;713584;0;857910;0;0;0;0;2;0;0;0;0;0;190324;178027;79999;0;6766;10059523725;0;189600;336;67961;0;0;0;0;0;5;0;0
0;857910;149;0;149;4;0;100;5;0;250;4;5;0;0;0;0;0;0;11;0;11;1;0;1;1;0;0;1;0;0;729931;252123;167044;0;712644;0;857910;0;0;0;0;7;0;0;0;1;1;190324;178027;79999;0;9422;10061090249;0;195006;336;62578;0;0;0;0;0;6;0;0
0;857910;151;0;151;5;0;99;6;0;243;9;2;0;0;0;0;0;0;30;0;30;3;0;3;3;0;0;4;0;0;733798;249642;175400;0;720642;0;857910;0;0;0;0;6;0;0;0;2;3;190324;178027;79999;0;10320;10060162499;0;191525;336;66068;0;0;0;0;0;7;0;0
0;857910;202;0;202;11;0;102;18;0;230;22;7;0;0;0;0;0;0;69;0;69;4;0;4;4;0;0;8;0;0;725186;250464;173477;0;708520;0;857910;0;0;0;0;21;0;0;0;2;6;190324;178027;79999;0;13612;10060339359;0;192562;336;65045;0;0;0;0;0;8;0;0
0;857910;199;0;199;12;0;92;11;0;205;15;8;0;0;0;0;0;0;127;0;127;4;0;4;4;0;0;12;0;0;730006;247807;179223;0;719647;0;857910;0;0;0;0;16;0;0;0;3;4;190324;178027;79999;0;17280;10059670931;0;190045;336;67575;0;0;0;0;0;9;0;0
0;857910;257;0;257;8;0;90;19;0;169;18;9;0;0;0;0;0;0;192;0;192;4;0;4;3;1;0;16;0;0;719087;249210;177178;0;705331;0;857910;0;0;0;0;19;0;0;0;1;7;190324;178027;79999;0;14616;10059265347;0;188976;336;68650;0;0;0;0;0;10;0;0
0;857910;274;0;274;8;0;78;11;0;139;16;3;0;0;0;0;0;0;253;0;253;4;0;4;4;0;0;20;0;0;726657;246121;180736;0;716422;0;857910;0;0;0;0;14;0;0;0;2;3;190324;178027;79999;0;21132;10058991505;0;187962;336;69669;0;0;0;0;0;11;0;0
0;857910;284;0;284;17;0;76;23;0;130;31;9;0;0;0;0;0;0;304;0;304;5;0;5;5;0;0;25;0;0;715122;247917;180285;0;700536;0;857910;0;0;0;0;31;0;0;0;2;7;190324;178027;79999;0;23920;10058850681;0;187715;336;69922;0;0;0;0;0;12;0;0
0;857910;287;0;287;16;0;86;21;0;124;32;5;0;0;0;0;0;0;334;0;334;8;0;8;8;0;0;33;0;0;724197;245235;181760;0;714563;0;857910;0;0;0;0;21;0;0;0;4;12;190324;178027;79999;0;18742;10059171573;0;188537;336;69105;0;0;0;0;0;13;0;0
0;857909;315;0;315;20;0;100;24;0;138;36;8;0;1;0;1;0;0;341;0;341;11;0;11;11;0;0;43;0;0;714716;246909;181443;0;697953;0;857910;0;1;1;0;24;0;0;0;8;12;190324;178027;79999;0;29152;10059326083;0;189148;336;68499;0;0;0;0;0;14;0;0
0;857907;308;0;308;26;0;121;22;0;155;38;9;1;3;0;3;0;0;322;0;322;12;0;12;10;1;1;53;0;0;720609;244708;182313;0;711449;0;857909;0;3;3;0;36;0;0;0;6;6;190324;178027;79999;0;16834;10059958739;0;191081;336;66569;0;0;0;0;0;15;0;0
0;857903;304;0;304;17;0;132;23;0;171;26;13;1;7;0;7;0;0;298;0;298;5;0;5;5;0;0;54;0;0;713958;246122;181562;0;697682;0;857907;0;7;7;0;29;0;0;0;6;5;190324;178027;79999;0;26596;10059987971;0;191227;336;66426;0;0;0;0;0;16;0;0
0;857902;297;0;297;18;0;145;26;0;190;37;6;1;8;0;8;0;0;253;0;253;11;0;11;11;0;0;63;0;0;716951;243995;181950;0;708775;0;857903;0;8;8;0;26;0;0;0;8;10;190324;178027;79999;0;27834;10060897883;0;194085;336;63573;0;0;0;0;0;17;0;0
0;857899;280;0;280;22;0;159;29;0;208;41;9;1;11;0;11;0;0;199;0;199;6;0;6;6;0;0;66;0;0;710567;245404;181581;0;694153;0;857902;0;11;11;0;40;0;0;0;2;9;190324;178027;79999;0;26876;10060986561;0;194371;336;63294;0;0;0;0;0;18;0;0
0;857896;277;0;277;28;0;175;30;0;225;46;9;3;14;0;14;0;0;165;0;165;15;0;15;14;1;0;77;0;0;713138;243492;181343;0;705283;0;857899;0;14;14;0;36;0;0;0;9;13;190324;178027;79999;0;20610;10061586035;0;196396;336;61271;0;0;0;0;0;19;0;0
0;857894;258;0;258;34;0;199;20;0;221;46;4;4;16;0;16;0;0;150;0;150;14;0;14;13;0;1;88;0;0;708133;244647;180944;0;693672;0;857896;0;16;16;0;41;0;0;0;4;9;190324;178027;79999;0;13678;10061748517;0;196929;336;60739;0;0;0;0;0;20;0;0
0;857892;277;0;277;13;0;203;19;0;226;26;6;0;18;0;18;0;0;136;0;136;9;0;9;8;1;0;94;0;0;709079;243195;180437;0;701769;0;857894;0;18;18;0;22;0;0;0;3;7;190324;178027;79999;0;19708;10062377977;0;198902;336;58767;0;0;0;0;0;21;0;0
0;857886;270;0;270;19;0;212;28;0;235;39;6;2;24;0;24;0;0;146;0;146;9;0;9;9;0;0;95;0;0;705864;243966;180052;0;692745;0;857892;0;24;24;0;34;0;0;0;7;6;190324;178027;79999;0;19020;10062460869;0;199140;336;58529;0;0;0;0;0;22;0;0
0;857880;282;0;282;17;0;211;27;0;236;40;3;1;30;0;30;0;0;176;0;176;8;0;8;7;1;0;97;0;0;705655;242892;179190;0;698761;0;857886;0;30;30;0;34;0;0;0;3;7;190324;178027;79999;0;20292;10062988147;0;200821;336;56849;0;0;0;0;0;23;0;0
0;857872;326;0;326;13;0;200;20;0;233;27;4;2;38;0;38;0;0;206;0;206;5;0;5;5;0;0;93;0;0;703126;243438;179097;0;689750;0;857880;0;38;38;0;25;0;0;0;3;5;190324;178027;79999;0;29942;10062994561;0;200881;336;56791;0;0;0;0;0;24;0;0
0;857864;354;0;354;23;0;203;27;0;239;39;11;0;46;0;46;0;0;225;0;225;9;0;9;8;1;0;92;0;0;702646;242386;177959;0;695941;0;857872;0;46;46;0;41;0;0;0;4;5;190324;178027;79999;0;29438;10063346285;0;201831;336;55841;0;0;0;0;0;25;0;0
0;857858;383;0;383;20;0;205;29;0;239;39;10;0;52;0;52;0;0;247;0;247;8;0;8;8;0;0;92;0;0;701131;242749;177700;0;688191;0;857864;0;52;52;0;37;0;0;0;3;9;190324;178027;79999;0;33640;10063424385;0;202162;336;55510;0;0;0;0;0;26;0;0
0;857853;438;0;438;20;0;205;28;0;245;39;6;3;57;0;57;0;0;263;0;263;11;0;11;11;0;0;98;0;0;699684;241975;176529;0;692538;0;857858;0;57;57;0;38;0;0;0;5;5;190324;178027;79999;0;40296;10063688277;0;203052;336;54621;0;0;0;0;0;27;0;0
0;857842;499;0;499;25;0;208;28;0;250;45;7;1;68;0;68;0;0;263;0;263;10;0;10;10;0;0;97;0;0;699009;242023;176378;0;686848;0;857853;0;68;68;0;41;0;0;0;2;10;190324;178027;79999;0;40994;10063677723;0;203044;336;54631;0;0;0;0;0;28;0;0
0;857829;545;0;545;28;0;205;23;0;247;46;4;1;81;0;81;0;0;286;0;286;10;0;10;10;0;0;90;0;0;697483;241435;175068;0;690047;0;857842;0;81;81;0;41;0;0;0;5;5;190324;178027;79999;0;43278;10063792325;0;203378;336;54298;0;0;0;0;0;29;0;0
0;857821;589;0;589;30;0;210;35;0;247;57;4;4;89;0;89;0;0;318;0;318;15;0;15;15;0;0;94;0;0;696699;241273;175100;0;684235;0;857829;0;89;89;0;47;0;0;0;7;11;190324;178027;79999;0;32388;10063884255;0;203554;336;54123;0;0;0;0;0;30;0;0
0;857814;651;0;651;44;0;234;39;0;260;78;4;1;96;0;95;1;0;314;0;314;17;0;17;17;0;0;102;7;7;694810;240794;173626;0;687165;0;857821;0;96;96;0;63;0;0;0;6;14;190324;178027;79999;0;32694;10063971307;0;204082;336;53597;0;0;0;0;0;31;0;0
0;857810;692;0;692;32;0;249;60;0;296;78;7;7;100;0;99;1;0;317;0;317;5;0;5;5;0;0;101;15;22;694562;240687;173690;0;682803;0;857814;0;100;100;0;69;0;0;0;7;16;190324;178027;79999;0;23584;10063971859;0;203979;336;53701;0;0;0;0;0;32;0;0
0;857802;708;0;708;42;0;268;64;0;343;94;10;2;108;0;107;1;0;311;0;311;11;0;11;11;0;0;103;12;34;692590;240125;172478;0;684513;0;857810;0;108;108;0;84;0;0;0;8;14;190324;178027;79999;0;32972;10064060179;0;204339;336;53341;0;0;0;0;0;33;0;0
0;857795;716;0;716;51;0;304;57;0;371;95;13;0;115;0;114;1;0;312;0;312;9;0;9;8;1;0;103;21;55;692444;239962;172642;0;680617;0;857802;0;115;115;0;87;0;0;0;11;10;190324;178027;79999;0;32518;10064018595;0;204182;336;53498;0;0;0;0;0;34;0;0
