ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;InfectionsAtHome;InfectionsAtWork;InfectionsAtSchool;InfectionsAtOAHome;InfectionsAtOutdoor;InfectionsAtIndoor;StudentsCount;OccupiedWorkersCount;EssentialWorkersCount;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;886000;0;0;0;100;0;100;250;0;250;143;133;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;886000;0;0;0;0;0;0;0;0;0;350;196560;186769;79943;0;0;9999999999;0;0;266712;0;0;0;0;0;0;0;0;0
0;886000;50;0;50;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;510299;265686;182319;0;606946;0;886000;0;0;0;0;0;0;0;0;0;0;196560;186769;79943;0;624;10043828709;0;140825;668;124861;0;0;0;0;0;1;0;0
0;886000;133;0;133;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;739991;265114;169018;0;745808;0;886000;0;0;0;0;0;0;0;0;0;0;196560;186769;79943;0;2210;10061693841;0;197276;80;69124;0;0;0;0;0;2;0;0
0;886000;201;0;201;0;0;100;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;749716;264884;181087;0;737519;0;886000;0;0;0;0;0;0;0;0;0;0;196560;186769;79943;0;4888;10068440775;0;218791;80;47627;0;0;0;0;0;3;0;0
0;886000;227;0;227;1;0;101;0;0;250;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;757283;264482;176525;0;750085;0;886000;0;0;0;0;1;0;0;0;0;0;196560;186769;79943;0;5220;10070511735;0;225361;80;41080;0;0;0;0;0;4;0;0
0;886000;236;0;236;7;0;107;4;0;251;6;4;1;0;0;0;0;0;4;0;4;3;0;3;2;1;0;3;0;0;761782;263683;182475;0;729344;0;886000;0;0;0;0;7;0;1;0;0;3;196560;186769;79943;0;6848;10071384981;0;227793;80;38683;0;0;0;0;0;5;0;0
0;886000;250;0;250;12;0;116;13;0;263;8;12;5;0;0;0;0;0;8;0;8;7;0;7;5;0;2;10;0;0;757713;263519;177516;0;743665;0;886000;0;0;0;0;13;2;2;0;2;6;196560;186769;79943;0;10924;10072169215;0;230548;80;35946;0;0;0;0;0;6;0;0
0;886000;242;0;242;8;0;120;22;0;271;7;23;0;0;0;0;0;0;26;0;26;3;0;3;2;1;0;13;0;0;762250;262826;183472;0;739351;0;886000;0;0;0;0;25;0;0;0;1;4;196560;186769;79943;0;9664;10071880697;0;229247;80;37275;0;0;0;0;0;7;0;0
0;886000;275;0;275;13;0;124;28;0;283;8;32;1;0;0;0;0;0;51;0;51;3;0;3;1;2;0;16;0;0;755084;262635;180787;0;737994;0;886000;0;0;0;0;39;0;0;0;0;2;196560;186769;79943;0;10314;10071618729;0;228663;80;37873;0;0;0;0;0;8;0;0
0;886000;272;0;272;11;0;113;39;0;278;5;45;0;0;0;0;0;0;117;0;117;2;0;2;1;1;0;18;0;0;759089;261824;185168;0;743915;0;886000;0;0;0;0;48;0;0;0;1;1;196560;186769;79943;0;12440;10070636033;0;225189;80;41361;0;0;0;0;0;9;0;0
0;886000;313;0;313;13;0;108;25;0;248;7;31;0;0;0;0;0;0;190;0;190;2;0;2;1;1;0;20;0;0;748802;261644;182554;0;736261;0;886000;0;0;0;0;34;0;0;0;1;3;196560;186769;79943;0;13730;10069766131;0;222813;80;43747;0;0;0;0;0;10;0;0
0;886000;309;0;309;16;0;104;34;0;229;11;39;0;0;0;0;0;0;263;0;263;4;0;4;1;3;0;24;0;0;754555;260912;186225;0;739527;0;886000;0;0;0;0;45;0;0;0;2;3;196560;186769;79943;0;15040;10068880893;0;219771;80;46800;0;0;0;0;0;11;0;0
0;886000;397;0;397;13;0;103;26;0;218;17;22;0;0;0;0;0;0;314;0;314;3;0;3;3;0;0;27;0;0;743877;260780;184109;0;731504;0;886000;0;0;0;0;32;0;0;0;4;3;196560;186769;79943;0;19060;10068185065;0;217665;80;48914;0;0;0;0;0;12;0;0
0;886000;402;0;402;11;0;105;27;0;223;24;14;0;0;0;0;0;0;342;0;342;5;0;5;5;0;0;32;0;0;752802;260004;186920;0;739289;0;886000;0;0;0;0;31;0;0;0;3;4;196560;186769;79943;0;26644;10067457483;0;215245;80;51341;0;0;0;0;0;13;0;0
0;886000;392;0;392;33;0;134;22;0;233;42;13;0;0;0;0;0;0;351;0;351;16;0;16;16;0;0;48;0;0;742435;259884;185463;0;728097;0;886000;0;0;0;0;39;0;0;0;6;10;196560;186769;79943;0;29240;10066975753;0;213709;80;52885;0;0;0;0;0;14;0;0
0;885996;381;0;381;29;0;152;29;0;250;48;10;0;4;0;4;0;0;357;0;357;17;0;17;16;1;0;60;0;0;750640;259223;187271;0;736761;0;886000;0;4;4;0;44;0;0;0;3;11;196560;186769;79943;0;21140;10066719429;0;212841;80;53754;0;0;0;0;0;15;0;0
0;885995;417;0;417;27;0;172;35;0;270;55;6;1;5;0;5;0;0;340;0;340;12;0;12;12;0;0;69;0;0;743173;259326;185929;0;728590;0;885996;0;5;5;0;35;0;0;0;9;18;196560;186769;79943;0;19904;10066451077;0;212195;80;54406;0;0;0;0;0;16;0;0
