Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;177728;80086;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;38;41;57;110;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;257814;0;0;
1;0;0;190324;368930;177728;80086;298656;379;663;1816;0;1914;1;1;1;4;0;936;0;1;0;0;69;140;44;131;281;107;179;242;1665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;560352;246231;162562;0;685102;91330;0;624;10040973399;0;131643;11239;114588;0;
2;0;0;190324;368930;177728;80086;298656;126;159;1398;0;1454;0;6;0;176;0;47;0;0;0;0;28;22;27;16;39;46;82;98;1325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;568621;202679;134236;0;642419;61483;0;2236;10065085065;0;202521;10320;44671;0;
3;0;0;190324;368930;177728;80086;298656;117;119;730;0;596;0;0;0;304;0;66;0;0;0;0;48;35;68;33;42;52;36;42;610;0;0;0;0;0;0;0;1;9;2;6;7;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;563192;203691;143907;0;583464;22;0;3632;10067436141;0;215876;10320;31326;0;
4;0;0;190324;368930;177728;80086;298656;48;114;899;0;887;0;0;0;56;0;114;0;0;0;4;5;5;6;6;18;50;37;91;843;0;0;0;0;0;0;2;1;53;14;11;36;0;0;0;1;0;31;0;0;0;0;0;0;0;0;0;0;0;0;583239;203509;140728;0;585888;0;0;4780;10069165569;0;221399;10320;25820;0;
5;0;0;190324;368930;177728;80086;298656;145;170;2722;0;2921;0;7;0;86;0;20;0;1;0;2;31;45;356;1;10;11;113;115;2355;0;0;0;0;0;0;5;9;145;47;84;129;0;0;0;1;0;62;0;0;0;0;0;0;0;0;0;1;0;1;571596;202329;145516;0;573005;0;0;10840;10068772259;0;218720;10320;28535;0;
6;0;0;190324;368930;177728;80086;298656;239;332;2245;0;2302;0;2;0;296;0;32;0;3;0;181;23;32;128;33;74;86;183;226;2031;0;0;0;0;0;0;5;24;312;94;145;222;1;5;142;0;0;4;0;0;0;0;0;0;0;0;2;0;4;1;583106;202903;142147;0;582248;0;0;12402;10068588443;0;219413;10320;27869;0;
7;0;0;190324;368930;177728;80086;298656;265;342;3305;0;3367;0;2;0;393;0;24;0;6;0;120;31;58;69;50;98;227;184;186;3009;0;0;0;0;0;0;12;33;502;96;181;344;3;5;219;0;0;0;0;0;0;0;0;0;0;7;3;1;2;4;573622;200705;145826;0;573588;0;0;10850;10068002665;0;216228;10320;31090;0;
8;0;0;190324;368930;177728;80086;298656;230;309;1858;0;1545;1;4;0;370;0;9;0;12;0;456;36;35;35;38;102;149;156;172;1674;0;0;0;0;0;0;13;30;578;121;190;417;5;5;269;0;0;0;0;0;0;0;0;0;2;2;4;10;7;14;576371;201658;143291;0;578026;0;0;11006;10067689121;0;216437;10320;30881;0;
9;0;0;190324;368930;177728;80086;298656;189;234;2243;0;2319;0;2;0;229;0;15;0;25;0;76;17;22;20;30;50;55;142;162;2168;0;0;0;0;0;0;10;32;753;134;144;423;2;3;358;0;0;0;0;0;0;0;0;0;4;3;10;10;26;14;571109;199912;146607;0;569895;0;0;13916;10067198059;0;213937;10320;33404;0;
