Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
13;0;0;190324;368930;177759;80204;298640;17;19;328;0;277;0;0;0;2;0;5;0;18;0;62;1;0;0;0;5;1;16;14;327;0;0;0;0;0;0;8;12;265;47;44;212;4;1;138;0;0;7;0;0;3;0;0;6;1;4;17;11;6;15;569609;199444;146977;0;566836;0;0;19696;10063727027;0;202678;10208;44917;0;
14;0;0;190324;368929;177759;80203;298620;38;43;1471;0;1458;0;1;0;1;0;2;0;20;0;70;2;1;0;0;0;3;36;42;1468;0;0;0;0;0;0;5;8;246;23;26;253;0;1;113;0;0;17;0;0;10;0;1;10;2;3;37;11;9;38;569978;200553;144731;0;568883;0;0;21046;10063228803;0;201287;10208;46309;0;
15;0;0;190323;368929;177759;80203;298595;86;117;1907;0;2060;0;1;0;0;0;3;0;11;0;35;2;1;14;0;0;1;84;116;1892;0;0;0;0;0;0;3;8;233;35;29;253;0;1;108;0;1;14;1;0;15;0;0;10;1;3;69;21;27;54;569337;199509;147021;0;566373;0;0;31718;10063113989;0;200679;10208;46918;0;
16;0;0;190323;368928;177759;80203;298549;127;111;1796;0;1987;0;1;0;1;0;4;0;27;0;14;12;10;11;0;1;0;115;100;1785;0;0;0;0;0;0;4;7;226;17;25;258;1;1;91;0;1;22;0;1;28;0;0;18;1;6;66;18;35;84;569227;200592;145340;0;569021;0;0;26508;10063314841;0;201297;10208;46301;0;
17;0;0;190322;368928;177759;80203;298473;43;44;479;0;532;0;4;0;1;0;12;0;9;0;8;9;4;10;0;4;15;34;36;454;0;0;0;0;0;0;5;16;329;23;22;246;3;4;130;0;0;16;1;0;65;0;0;11;1;7;90;26;34;97;569159;199450;147125;0;567412;0;0;25104;10063619503;0;201978;10208;45620;0;
18;0;0;190322;368926;177759;80202;298385;49;89;667;0;769;0;2;0;3;0;11;0;17;0;3;3;2;11;1;6;14;45;81;642;0;0;0;0;0;0;2;14;467;20;25;234;0;2;183;0;0;11;0;2;80;0;0;8;0;7;110;24;33;140;568259;200498;145532;0;567574;0;0;27548;10063929081;0;203311;10208;44287;0;
19;0;0;190321;368921;177756;80201;298287;49;53;606;0;649;0;4;0;3;0;11;0;21;0;20;4;0;1;0;2;4;45;51;601;0;0;0;0;0;0;2;13;669;26;27;208;0;3;331;0;0;5;1;5;96;0;0;2;2;6;154;24;33;174;568639;199399;147158;0;567611;0;0;27128;10064372459;0;204160;10208;43438;0;
20;0;0;190319;368920;177756;80201;298175;64;76;974;0;1066;1;1;0;0;0;10;0;23;0;13;2;1;1;4;8;13;58;67;960;0;0;0;0;0;0;7;23;963;48;39;234;2;3;480;0;0;3;2;1;111;0;0;1;4;6;160;28;35;155;567829;200539;145557;0;566943;0;0;28416;10064544687;0;205189;10208;42409;0;
21;0;0;190317;368917;177755;80200;298037;63;74;846;0;815;1;5;0;1;0;24;0;12;0;125;6;0;5;1;11;9;56;63;832;0;0;0;0;0;0;9;28;1041;57;44;238;1;7;559;0;0;8;2;2;132;0;1;6;4;13;136;45;34;189;567683;199830;147124;0;566287;0;0;32986;10064566939;0;205281;10208;42317;0;
22;0;0;190315;368917;177755;80200;297882;76;108;1062;0;1126;0;3;0;0;0;11;0;36;0;70;3;0;1;0;8;23;73;100;1038;0;0;0;0;0;0;22;29;945;55;54;261;4;7;533;0;0;5;2;0;150;0;0;5;1;6;129;26;33;169;567404;200482;145804;0;566626;0;0;32668;10065071455;0;206377;10208;41221;0;
