Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
17;0;0;190324;368929;178162;80053;298646;39;75;60;0;64;0;0;0;110;0;0;0;0;0;0;5;20;47;26;73;40;0;2;16;0;2;10;0;0;2;0;0;1;1;13;17;7;59;30;29705;10215;6432;0;30403;5948;0;13130;10075607871;0;241894;13703;2421;0;
18;0;0;190324;368929;178162;80053;298639;25;84;79;0;68;0;0;0;120;0;0;0;0;0;0;3;28;31;38;82;35;0;2;4;2;2;12;0;0;0;0;0;7;2;23;35;14;58;46;24027;8440;5160;0;24355;4809;0;13014;10075749931;0;242354;13703;1961;0;
19;0;0;190324;368929;178162;80053;298632;38;102;68;0;86;0;0;0;122;0;0;0;0;0;0;3;33;28;39;53;31;0;1;1;2;2;14;0;0;4;0;0;3;3;31;33;14;102;54;19765;6948;4154;0;20278;3971;0;13332;10075873873;0;242753;13703;1562;0;
20;0;0;190324;368928;178162;80053;298619;40;86;61;0;67;0;0;0;120;0;0;0;0;0;0;5;35;31;29;65;32;0;0;1;2;9;12;0;1;9;0;0;4;5;33;45;16;90;54;16131;5757;3311;0;16358;3263;0;18646;10075959179;0;243035;13703;1280;0;
21;0;0;190324;368925;178161;80053;298607;33;89;62;0;72;0;0;0;112;0;0;0;0;0;0;4;17;39;26;75;33;0;3;19;0;0;5;0;3;12;0;0;0;1;29;40;26;102;35;13255;4730;2661;0;13581;2595;0;13352;10076036073;0;243253;13703;1062;0;
22;0;0;190324;368920;178159;80053;298587;37;77;67;0;67;0;0;0;114;0;0;0;0;0;0;4;28;34;30;53;31;0;3;11;0;1;7;0;5;19;0;0;1;2;26;36;29;94;57;10835;3939;2100;0;11009;2171;0;13130;10076107885;0;243474;13703;841;0;
23;0;0;190324;368915;178158;80052;298569;19;77;52;0;62;0;0;0;86;0;0;0;0;0;0;3;29;43;34;77;30;1;2;15;0;0;7;0;5;17;0;0;1;6;28;44;31;70;51;8954;3286;1653;0;9138;1739;0;13130;10076133315;0;243598;13700;720;0;
24;0;0;190324;368915;178158;80052;298555;30;84;54;0;62;0;0;0;106;0;0;0;0;0;0;9;24;38;33;68;40;1;5;16;1;2;4;0;0;14;0;0;0;4;22;36;26;84;60;7293;2721;1298;0;7425;1447;0;13252;10076181297;0;243742;13696;580;0;
25;0;0;190324;368915;178158;80052;298543;23;67;30;0;53;0;0;0;67;0;0;0;0;0;0;5;21;44;34;61;36;1;5;10;1;0;11;0;0;10;0;0;2;6;24;35;28;104;46;6015;2255;1034;0;6173;1197;0;12800;10076213975;0;243853;13692;473;0;
26;0;0;190323;368911;178156;80050;298528;20;56;51;0;50;0;0;0;77;0;0;0;0;0;0;3;29;29;39;50;28;1;3;8;0;2;7;1;4;14;0;0;1;9;26;29;33;83;33;4967;1882;830;0;5044;961;0;13130;10076240733;0;243931;13691;397;0;
