Days;Hours;Minutes;Students;StudentsInfected;Workers;WorkersInfected;OccupiedWorkers;OccupiedWorkersInfected;EssentialJobWorkers;EssentialJobWorkersInfected;Retired;RetiredInfected;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;MinutesAtWorkWorkerSusceptible;MinutesAtSchoolWorkerSusceptible;MinutesAtHomeWorkerSusceptible;MinutesAtFriendHomeWorkerSusceptible;MinutesAtGymWorkerSusceptible;MinutesAtPubWorkerSusceptible;MinutesAtWorkStudentSusceptible;MinutesAtSchoolStudentSusceptible;MinutesAtHomeStudentSusceptible;MinutesAtFriendHomeStudentSusceptible;MinutesAtGymStudentSusceptible;MinutesAtPubStudentSusceptible;MinutesAtWorkRetiredSusceptible;MinutesAtSchoolRetiredSusceptible;MinutesAtHomeRetiredSusceptible;MinutesAtFriendHomeRetiredSusceptible;MinutesAtGymRetiredSusceptible;MinutesAtPubRetiredSusceptible;MinutesAtWorkWorkerInfected;MinutesAtSchoolWorkerInfected;MinutesAtHomeWorkerInfected;MinutesAtFriendHomeWorkerInfected;MinutesAtGymWorkerInfected;MinutesAtPubWorkerInfected;MinutesAtWorkStudentInfected;MinutesAtSchoolStudentInfected;MinutesAtHomeStudentInfected;MinutesAtFriendHomeStudentInfected;MinutesAtGymStudentInfected;MinutesAtPubStudentInfected;MinutesAtWorkRetiredInfected;MinutesAtSchoolRetiredInfected;MinutesAtHomeRetiredInfected;MinutesAtFriendHomeRetiredInfected;MinutesAtGymRetiredInfected;MinutesAtPubRetiredInfected;
16;0;0;196560;3;381024;11;184201;7;82604;2;308416;6;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6.701462E+07;0;1.758526E+08;0;9768636;4.735965E+07;0;5.030041E+07;1.258816E+08;0;1.08441E+07;3.623324E+07;0;0;5.211121E+08;0;1.810717E+07;7.581821E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;0;0;196560;4;381024;10;184201;7;82604;1;308416;5;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6.656722E+07;0;1.338671E+08;0;1.872197E+07;4.450056E+07;0;5.043497E+07;1.259469E+08;0;9211272;3.988625E+07;0;0;4.576231E+08;0;2.82178E+07;7.452747E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;0;0;196560;4;381024;8;184201;5;82604;1;308416;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6.702968E+07;0;1.759804E+08;0;1.0124E+07;4.778532E+07;0;5.019198E+07;1.278622E+08;0;1.069227E+07;3.658293E+07;0;0;5.269082E+08;0;1.740342E+07;7.381061E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;0;0;196560;4;381024;6;184201;4;82604;1;308416;7;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;6.628454E+07;0;1.367908E+08;0;1.739411E+07;4.595672E+07;0;5.02917E+07;1.257652E+08;0;9130188;3.936958E+07;0;0;4.67149E+08;0;2.714283E+07;7.500211E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;0;0;196560;4;381024;4;184201;4;82604;0;308416;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;1;6.671966E+07;0;1.788644E+08;0;1.052668E+07;4.709573E+07;0;5.011534E+07;1.286271E+08;0;1.063206E+07;3.672426E+07;0;0;5.192945E+08;0;1.75357E+07;7.302109E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;0;0;196560;4;381024;4;184201;4;82604;0;308416;9;1;0;2;0;0;0;0;0;3;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.626025E+07;0;1.416415E+08;0;1.664348E+07;4.663123E+07;0;5.017421E+07;1.258079E+08;0;9253748;3.947519E+07;0;0;4.802029E+08;0;2.794877E+07;7.383832E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;0;0;196560;5;381024;5;184201;4;82604;1;308416;10;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.668998E+07;0;1.71751E+08;0;1.12534E+07;4.620622E+07;0;5.000958E+07;1.266536E+08;0;1.0526E+07;3.678413E+07;0;0;5.09665E+08;0;1.842983E+07;7.434274E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;0;0;196560;4;381024;5;184201;4;82604;1;308416;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;6.631003E+07;0;1.4042E+08;0;1.733676E+07;4.576322E+07;0;5.005506E+07;1.26608E+08;0;9501442;3.919483E+07;0;0;4.8242E+08;0;2.729132E+07;7.208036E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;0;0;196560;4;381024;4;184201;3;82604;1;308416;10;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6.657006E+07;0;1.69486E+08;0;1.139439E+07;4.674986E+07;0;4.993003E+07;1.276413E+08;0;1.042133E+07;3.682297E+07;0;0;5.224679E+08;0;1.838698E+07;7.615998E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;0;0;196560;4;381024;4;184201;3;82604;1;308416;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6.608701E+07;0;1.423289E+08;0;1.619609E+07;4.737392E+07;0;4.999171E+07;1.261205E+08;0;9347208;3.921968E+07;0;0;4.76642E+08;0;2.634672E+07;7.139502E+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
