Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178653;79821;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;3;13;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258474;0;0;
1;0;0;190324;368930;178653;79821;298656;48;69;749;0;854;0;0;0;0;0;12;0;0;0;0;0;0;0;4;10;1;44;59;748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;561648;246699;162408;0;685158;91474;0;624;10041129283;0;132142;11452;114557;0;
2;0;0;190324;368930;178653;79821;298656;0;20;259;0;279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;15;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;569097;203023;134234;0;642752;61746;0;2282;10065195693;0;203273;10447;44467;0;
3;0;0;190324;368930;178653;79821;298656;3;11;38;0;42;0;0;0;10;0;0;0;0;0;0;0;0;0;1;6;3;2;5;35;0;0;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;563070;203757;143796;0;583786;23;0;3342;10067683477;0;216528;10447;31223;0;
4;0;0;190324;368930;178653;79821;298656;4;5;45;0;48;0;0;0;6;0;0;0;0;0;0;0;0;0;2;3;2;2;2;43;0;0;0;0;0;0;0;0;16;2;2;3;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;583395;203691;140811;0;585911;0;0;7506;10069376963;0;222098;10447;25667;0;
5;0;0;190324;368930;178653;79821;298656;2;2;41;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;41;0;0;0;0;0;0;1;4;82;4;5;33;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;571665;202453;145606;0;573144;0;0;6784;10069021243;0;219416;10447;28382;0;
6;0;0;190324;368930;178653;79821;298656;4;7;16;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;7;15;0;0;0;0;0;0;2;4;130;6;8;42;0;1;26;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;583308;203012;142276;0;582666;0;0;10044;10068845269;0;220278;10447;27545;0;
7;0;0;190324;368930;178653;79821;298656;3;0;9;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;9;0;0;0;0;0;0;1;7;157;8;17;53;0;0;79;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;573735;200930;145978;0;573597;0;0;12870;10068138247;0;216864;10447;30986;0;
8;0;0;190324;368930;178653;79821;298656;4;10;14;0;21;0;0;0;7;0;0;0;0;0;0;0;0;0;0;7;0;4;3;14;0;0;0;0;0;0;0;7;163;3;15;62;0;1;89;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;576468;201829;143232;0;578291;0;0;11106;10067901139;0;217043;10447;30808;0;
9;0;0;190324;368930;178653;79821;298656;2;5;6;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;1;6;0;0;0;0;0;0;3;9;120;11;11;49;1;2;74;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;571188;200061;146763;0;569885;0;0;11344;10067444443;0;214677;10447;33188;0;
10;0;0;190324;368930;178653;79821;298652;2;6;6;0;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;2;3;5;0;0;0;0;0;0;3;2;82;7;6;30;1;0;39;1;0;3;0;0;0;0;0;4;0;2;3;0;4;2;573039;201165;144154;0;572699;0;0;14222;10066964311;0;213424;10447;34442;0;
11;0;0;190324;368930;178653;79821;298650;0;1;3;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;1;1;52;6;8;15;0;0;30;0;0;1;0;0;0;0;0;2;0;2;2;2;4;1;570120;199623;147000;0;567799;0;0;13990;10066154599;0;210513;10447;37353;0;
12;0;0;190324;368930;178653;79821;298641;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;21;6;6;12;0;0;3;0;0;6;0;0;3;0;0;6;0;1;9;1;1;13;571156;200890;144667;0;569866;0;0;15806;10064852509;0;206871;10447;40995;0;
13;0;0;190324;368930;178653;79821;298628;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;12;2;4;3;0;0;0;0;0;7;0;0;5;0;0;8;0;0;14;1;1;11;568964;199378;147080;0;566322;0;0;20976;10063826973;0;203140;10447;44726;0;
14;0;0;190324;368930;178653;79821;298600;0;0;7;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;1;8;2;5;5;0;0;0;0;0;5;0;0;18;0;0;10;0;2;35;3;2;32;569494;200516;144786;0;568325;0;0;18592;10063361203;0;201696;10447;46171;0;
15;0;0;190324;368930;178653;79821;298564;0;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;9;1;6;4;0;0;0;0;0;7;0;0;18;0;0;18;1;3;41;5;6;31;568956;199371;147095;0;566133;0;0;28684;10063283323;0;201215;10447;46652;0;
16;0;0;190324;368929;178652;79821;298515;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;9;2;1;1;0;0;0;0;0;6;0;1;37;0;0;12;2;4;62;5;7;30;568961;200414;145412;0;568796;0;0;22430;10063503601;0;201916;10447;45952;0;
17;0;0;190324;368929;178652;79821;298450;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;2;0;0;51;0;0;14;1;5;62;5;18;42;568858;199291;147201;0;567080;0;0;26450;10063827901;0;202645;10447;45223;0;
18;0;0;190323;368928;178652;79821;298381;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;2;0;1;1;66;0;0;3;1;1;56;6;15;41;568083;200394;145549;0;567385;0;0;26376;10064192353;0;204209;10447;43659;0;
