Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
17;0;0;190324;368930;178027;79999;298651;12;6;36;0;42;0;0;0;12;0;0;0;0;0;0;0;1;51;4;6;8;0;0;3;0;0;19;0;0;0;0;0;2;0;0;2;1;7;11;589482;200493;147658;0;589669;0;0;26822;10060680285;0;193919;9596;54385;0;
18;0;0;190324;368930;178027;79999;298649;10;7;95;0;105;0;0;0;7;0;0;0;0;0;0;0;4;65;5;8;7;0;1;40;0;0;2;0;0;0;0;0;2;0;0;1;4;11;14;575743;202126;147328;0;583959;0;0;25238;10061240875;0;195558;9596;52746;0;
19;0;0;190324;368930;178027;79999;298647;8;14;36;0;46;0;0;0;11;0;1;0;0;0;0;0;3;77;3;6;11;0;0;32;0;0;2;0;0;0;0;0;2;0;1;7;2;10;17;588774;200357;147418;0;589330;0;0;32408;10061230253;0;195553;9596;52752;0;
20;0;0;190324;368929;178027;79999;298643;9;11;92;0;92;0;0;0;19;0;1;0;0;0;0;0;2;53;2;5;17;0;0;18;0;0;6;0;0;0;0;1;4;0;1;10;5;12;15;577597;202354;147250;0;584519;0;0;30386;10061511619;0;196484;9596;51821;0;
21;0;0;190324;368929;178027;79999;298641;5;7;49;0;49;0;0;0;11;0;1;0;0;0;0;0;3;55;5;11;7;0;0;17;0;0;9;0;0;0;0;0;2;0;0;20;5;17;15;587536;200676;147090;0;588347;0;0;29906;10061521269;0;196484;9596;51822;0;
22;0;0;190324;368929;178027;79999;298636;6;12;68;0;73;0;0;0;13;0;0;0;0;0;0;0;1;37;3;5;18;0;0;15;0;0;3;0;0;1;0;0;4;0;3;19;5;12;13;577807;201696;146997;0;583294;0;0;31550;10061688941;0;197068;9596;51239;0;
23;0;0;190324;368929;178027;79999;298627;3;9;69;0;71;0;0;0;9;0;1;0;0;0;0;1;1;47;10;2;15;0;0;7;0;0;12;0;0;0;0;0;9;0;0;24;5;8;16;586842;200787;146837;0;587844;0;0;36884;10061803993;0;197409;9596;50898;0;
24;0;0;190324;368929;178027;79999;298611;7;10;66;0;70;0;0;0;13;0;0;0;0;0;0;0;2;51;9;10;7;0;0;2;0;0;18;0;0;2;0;0;14;0;3;26;5;17;8;578618;201937;146661;0;582653;0;0;35376;10061890643;0;197476;9595;50832;0;
25;0;0;190324;368929;178027;79999;298590;6;5;61;0;62;0;0;0;10;0;0;0;0;0;0;0;3;55;9;5;11;0;0;11;0;0;16;0;0;7;0;0;14;0;1;33;4;17;18;584824;200649;146273;0;587814;0;0;38726;10061986647;0;197927;9595;50381;0;
26;0;0;190324;368929;178027;79999;298571;6;11;49;0;60;0;0;0;5;0;1;0;0;0;0;0;4;44;11;10;10;0;0;9;0;0;12;0;0;9;0;0;10;0;2;27;4;14;19;580708;201994;146552;0;582769;0;0;38340;10061971639;0;197771;9595;50537;0;
27;0;0;190324;368929;178027;79999;298550;4;4;55;0;57;0;0;0;5;0;1;0;0;0;0;0;0;44;6;3;23;0;0;13;0;0;12;0;0;15;0;0;6;0;1;27;8;8;9;583302;200946;145965;0;586795;0;0;48612;10062105291;0;198245;9595;50063;0;
28;0;0;190324;368929;178027;79999;298530;6;5;53;0;55;0;0;0;9;0;0;0;0;0;0;0;1;51;4;5;17;0;0;13;0;0;10;0;0;15;0;0;5;0;4;29;8;7;11;581821;201392;146149;0;583581;0;0;43844;10062299847;0;198711;9595;49597;0;
29;0;0;190324;368928;178027;79999;298500;4;10;45;0;50;0;0;0;9;0;0;0;0;0;0;0;2;31;3;12;22;0;1;12;0;0;7;0;1;25;0;0;5;0;3;37;4;5;12;582076;200722;145541;0;585981;0;0;43232;10062559503;0;199620;9595;48688;0;
30;0;0;190324;368928;178027;79999;298480;6;11;46;0;53;0;0;0;9;0;1;0;0;0;0;1;3;49;5;8;19;0;0;22;0;0;6;0;0;12;0;0;8;0;2;40;5;3;16;582331;201604;146054;0;583700;0;0;45270;10062708817;0;200087;9595;48221;0;
31;0;0;190324;368928;178027;79999;298458;4;4;73;0;76;0;0;0;5;0;0;0;0;0;0;0;0;33;5;7;25;0;0;11;0;0;8;0;0;19;0;0;3;0;2;28;6;6;10;580882;200494;145331;0;584870;0;0;44604;10062949773;0;200782;9595;47526;0;
32;0;0;190324;368928;178027;79999;298435;5;10;44;0;52;0;0;0;7;0;0;0;0;0;0;0;1;40;9;10;33;0;0;11;0;0;9;0;0;14;0;0;9;1;1;29;7;6;7;582590;201654;145808;0;584136;1;0;48902;10062898929;0;200652;9595;47656;0;
33;0;0;190324;368928;178027;79999;298410;5;10;64;0;69;0;0;0;10;0;0;0;0;0;0;0;1;34;5;6;18;0;0;1;0;1;13;0;0;9;0;0;16;0;1;23;5;2;17;580237;200470;145316;0;584156;0;0;51434;10063084193;0;201140;9595;47168;0;
34;0;0;190324;368928;178027;79999;298392;5;16;34;0;43;0;0;0;12;0;0;0;0;0;0;0;0;29;5;4;26;0;0;0;0;0;16;0;0;8;0;0;10;0;2;24;10;9;14;582753;201187;145968;0;584187;0;0;58256;10063184509;0;201533;9595;46775;0;
35;0;0;190324;368928;178027;79999;298371;3;11;49;0;50;0;0;0;13;0;0;0;0;0;0;0;1;34;1;7;15;0;0;7;0;0;10;0;0;12;0;0;9;0;3;30;7;9;14;578311;200763;145054;0;583335;0;0;51322;10063334879;0;201979;9595;46329;0;
36;0;0;190324;368928;178027;79999;298355;6;16;41;0;45;0;0;0;18;0;0;0;0;0;0;2;2;41;7;9;21;0;0;3;1;0;11;0;0;6;0;0;10;0;2;26;10;9;17;582779;201292;145738;0;584470;0;0;100710;10063447977;0;202341;9595;45967;0;
37;0;0;190324;368928;178027;79999;298332;8;18;53;0;54;0;0;0;25;0;0;0;0;0;0;0;1;19;4;7;14;0;0;0;0;1;6;0;0;14;0;0;9;0;0;25;4;8;17;577327;200375;145123;0;582550;0;0;56576;10063632405;0;202801;9595;45507;0;
38;0;0;190324;368928;178027;79999;298318;6;14;79;0;69;0;0;0;30;0;0;0;0;0;0;3;1;42;6;9;26;0;0;0;1;0;10;0;0;8;0;0;6;0;3;18;6;7;16;581726;201172;145436;0;584340;0;0;60680;10063595227;0;202662;9595;45646;0;
39;0;0;190324;368927;178027;79999;298291;6;9;51;0;50;0;0;0;16;0;0;0;0;0;0;0;0;24;2;7;25;0;0;0;0;0;2;0;1;23;0;0;4;1;1;20;5;3;17;578214;200540;145135;0;582412;1;0;56206;10063701503;0;203027;9595;45281;0;
40;0;0;190324;368927;178027;79999;298263;8;25;65;0;75;0;0;0;23;0;0;0;0;0;0;0;3;33;7;10;24;0;0;0;0;0;10;0;0;13;0;0;15;0;2;15;6;7;24;581552;200973;145486;0;583889;0;0;61694;10063762505;0;203234;9595;45074;0;
41;0;0;190324;368927;178027;79999;298242;9;7;57;0;63;0;0;0;10;0;0;0;0;0;0;0;5;35;5;6;9;0;0;0;0;1;9;0;0;12;0;0;9;0;1;23;6;6;27;577415;200550;145048;0;582186;0;0;64702;10063736159;0;203109;9595;45199;0;
42;0;0;190324;368927;178027;79999;298224;4;12;40;0;44;0;0;0;12;0;0;0;0;0;0;0;2;28;1;17;22;0;0;0;0;1;10;0;0;10;0;0;8;0;2;26;3;11;25;580337;200763;145436;0;583219;0;0;61068;10063684239;0;202909;9595;45399;0;
43;0;0;190324;368927;178027;79999;298215;8;13;51;0;61;0;0;0;11;0;0;0;0;0;0;0;1;34;3;11;23;0;0;0;0;0;10;0;0;3;0;0;6;1;1;14;2;11;21;577123;200308;145031;0;581535;0;0;63308;10063747967;0;203145;9595;45163;0;
44;0;0;190324;368927;178027;79999;298203;5;8;41;0;47;0;0;0;7;0;0;0;0;0;0;0;2;34;10;10;17;0;0;0;0;0;7;0;0;3;0;0;9;0;0;28;6;3;20;579676;200963;145305;0;582544;0;0;65948;10063620577;0;202725;9595;45584;0;
45;0;0;190324;368927;178027;79999;298193;6;2;46;0;43;0;0;0;11;0;0;0;0;0;0;0;3;48;7;12;11;0;0;0;0;0;11;0;0;2;0;0;8;1;0;25;5;8;25;577987;200294;145089;0;581515;0;0;65724;10063792343;0;203145;9595;45164;0;
46;0;0;190324;368927;178027;79999;298187;12;7;56;0;60;0;0;0;15;0;0;0;0;0;0;0;1;33;8;11;13;0;0;0;0;1;8;0;0;1;0;0;5;2;1;14;7;6;17;579814;200530;145161;0;582702;0;0;67126;10063586177;0;202480;9595;45829;0;
