Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178064;79720;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;3;13;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;257784;0;0;
1;0;0;190324;368930;178064;79720;298656;171;226;1563;0;1931;0;0;0;0;0;29;0;0;0;0;4;12;8;26;44;19;141;170;1536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;561181;246128;162376;0;684740;91246;0;624;10040898595;0;131396;11336;114732;0;
2;0;0;190324;368930;178064;79720;298656;2;54;556;0;593;0;0;0;10;0;9;0;0;0;0;0;0;0;1;3;5;1;51;551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;568694;202759;134120;0;642564;61506;0;2234;10065011791;0;202408;10350;44754;0;
3;0;0;190324;368930;178064;79720;298656;18;1;165;0;156;0;0;0;0;0;28;0;0;0;0;2;0;2;1;0;2;15;1;161;0;0;0;0;0;0;0;1;11;2;1;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;563260;203616;143989;0;583627;33;0;5016;10067406183;0;215706;10350;31469;0;
4;0;0;190324;368930;178064;79720;298656;16;15;154;0;166;0;0;0;0;0;19;0;0;0;0;0;0;0;2;3;9;14;12;145;0;0;0;0;0;0;0;1;42;6;5;16;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;583041;203448;140773;0;585900;0;0;5130;10069101749;0;221174;10350;26016;0;
5;0;0;190324;368930;178064;79720;298656;22;4;127;0;99;0;0;0;0;0;54;0;0;0;0;8;2;20;1;0;15;13;2;92;0;0;0;0;0;0;4;7;122;17;17;63;0;0;0;1;1;76;0;0;0;0;0;0;0;0;0;0;0;0;571680;202256;145433;0;573184;0;0;10354;10068774075;0;218500;10350;28718;0;
6;0;0;190324;368930;178064;79720;298656;26;33;87;0;67;0;0;0;0;0;79;0;0;0;0;4;3;6;9;11;22;13;19;59;0;0;0;0;0;0;9;20;270;32;37;94;3;4;147;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;583227;202762;142067;0;582407;0;0;5992;10068591223;0;219405;10350;27837;0;
7;0;0;190324;368930;178064;79720;298656;44;16;75;0;35;0;0;0;0;0;99;0;0;0;1;4;1;1;14;9;30;26;6;44;0;0;0;0;0;0;6;15;334;38;43;153;3;4;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;573528;200747;145952;0;573408;0;0;9856;10067904257;0;216032;10350;31241;0;
8;0;0;190324;368930;178064;79720;298656;24;95;120;0;59;0;0;0;0;0;178;0;0;0;2;0;5;1;1;29;32;23;61;87;0;0;0;0;0;0;6;19;358;20;44;143;3;0;208;0;0;0;0;0;0;0;0;0;0;1;1;0;3;1;576279;201566;143115;0;578066;0;0;10030;10067667379;0;216340;10350;30933;0;
9;0;0;190324;368930;178064;79720;298656;60;17;47;0;15;0;2;0;0;0;107;0;0;0;0;3;0;1;0;2;5;57;15;41;0;0;0;0;0;0;9;14;262;24;23;123;0;4;123;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;570902;199770;146632;0;569576;0;0;11476;10067212217;0;213856;10350;33433;0;
