Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178144;80231;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;3;13;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258375;0;0;
1;0;0;190324;368930;178144;80231;298656;86;152;1024;0;1171;0;0;0;0;0;91;0;0;0;0;0;0;0;16;62;20;70;90;1004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;560503;246653;162465;0;683947;91262;0;624;10040942695;0;131535;11386;115118;0;
2;0;0;190324;368930;178144;80231;298656;5;11;155;0;168;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;5;4;11;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;568935;202866;134135;0;642952;61857;0;2200;10065236099;0;202844;10336;44879;0;
3;0;0;190324;368930;178144;80231;298656;3;6;16;0;5;0;0;0;20;0;0;0;0;0;0;0;0;0;3;4;11;0;2;5;0;0;0;0;0;0;0;1;3;0;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;563296;203816;143641;0;583551;30;0;4946;10067593341;0;216335;10336;31398;0;
4;0;0;190324;368930;178144;80231;298656;3;1;3;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;3;1;3;0;0;0;0;0;0;0;0;0;0;0;17;1;4;16;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;583255;203632;140551;0;585721;0;0;5054;10069282273;0;221791;10336;25951;0;
5;0;0;190324;368930;178144;80231;298656;1;7;16;0;23;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;6;16;0;0;0;0;0;0;5;2;76;10;14;39;0;0;0;2;1;38;0;0;0;0;0;0;0;0;0;0;0;0;571455;202363;145416;0;573093;0;0;8700;10068948851;0;219183;10336;28597;0;
6;0;0;190324;368930;178144;80231;298656;6;11;58;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;10;58;0;0;0;0;0;0;2;12;161;14;30;62;0;0;16;0;0;50;0;0;0;0;0;0;0;0;0;0;1;0;583093;202901;142077;0;582358;0;0;6422;10068756251;0;220091;10336;27716;0;
7;0;0;190324;368930;178144;80231;298656;0;8;6;0;11;0;0;0;2;0;0;0;1;0;0;0;0;0;0;7;0;0;1;6;0;0;0;0;0;0;1;11;183;20;21;90;1;1;97;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;573463;200746;145784;0;573361;0;0;10264;10068157777;0;216811;10336;31031;0;
8;0;0;190324;368930;178144;80231;298656;6;24;11;0;22;0;0;0;18;0;0;0;1;0;0;0;0;0;0;16;1;6;8;10;0;0;0;0;0;0;3;10;188;14;24;76;0;1;95;0;0;0;0;0;0;0;0;0;0;0;1;1;2;4;576277;201642;143073;0;577981;0;0;8692;10067864829;0;217110;10336;30732;0;
9;0;0;190324;368930;178144;80231;298656;2;11;16;0;28;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0;2;4;16;0;0;0;0;0;0;4;1;89;10;18;50;1;1;51;0;0;0;0;0;0;0;0;0;0;1;3;1;1;1;570942;199916;146516;0;569590;0;0;15418;10067460511;0;214887;10336;32978;0;
10;0;0;190324;368930;178144;80231;298653;3;12;87;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;11;87;0;0;0;0;0;0;0;5;58;12;13;46;0;2;36;0;0;2;0;0;0;0;0;3;0;1;2;0;2;3;572739;201028;143854;0;572471;0;0;12704;10066999079;0;213691;10336;34176;0;
