Days;Hours;Minutes;Students;StudentsInfected;Workers;WorkersInfected;OccupiedWorkers;OccupiedWorkersInfected;EssentialJobWorkers;EssentialJobWorkersInfected;Retired;RetiredInfected;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;MinutesAtWorkWorkerSusceptible;MinutesAtSchoolWorkerSusceptible;MinutesAtHomeWorkerSusceptible;MinutesAtFriendHomeWorkerSusceptible;MinutesAtGymWorkerSusceptible;MinutesAtPubWorkerSusceptible;MinutesAtWorkStudentSusceptible;MinutesAtSchoolStudentSusceptible;MinutesAtHomeStudentSusceptible;MinutesAtFriendHomeStudentSusceptible;MinutesAtGymStudentSusceptible;MinutesAtPubStudentSusceptible;MinutesAtWorkRetiredSusceptible;MinutesAtSchoolRetiredSusceptible;MinutesAtHomeRetiredSusceptible;MinutesAtFriendHomeRetiredSusceptible;MinutesAtGymRetiredSusceptible;MinutesAtPubRetiredSusceptible;MinutesAtWorkWorkerInfected;MinutesAtSchoolWorkerInfected;MinutesAtHomeWorkerInfected;MinutesAtFriendHomeWorkerInfected;MinutesAtGymWorkerInfected;MinutesAtPubWorkerInfected;MinutesAtWorkStudentInfected;MinutesAtSchoolStudentInfected;MinutesAtHomeStudentInfected;MinutesAtFriendHomeStudentInfected;MinutesAtGymStudentInfected;MinutesAtPubStudentInfected;MinutesAtWorkRetiredInfected;MinutesAtSchoolRetiredInfected;MinutesAtHomeRetiredInfected;MinutesAtFriendHomeRetiredInfected;MinutesAtGymRetiredInfected;MinutesAtPubRetiredInfected;
0;0;0;196560;7;381024;14;184408;5;82222;4;308416;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;3;6;8;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;0;0;196560;7;381024;14;184408;5;82222;4;308416;14;137;189;1228;0;1484;0;0;0;0;0;70;0;0;0;0;9;26;8;26;51;26;102;112;1194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.24425E+07;0;4.654666E+08;0;0;7.795733E+07;0;0;3.785785E+08;0;0;7.014246E+07;0;0;5.879971E+08;0;0;1.131604E+08;312;0;6656;0;0;1572;0;0;17094;0;0;916;0;0;19356;0;0;4824;
2;0;0;196560;7;381024;14;184408;5;82222;4;308416;15;18;56;98;0;87;0;0;0;67;0;18;0;0;0;0;0;1;3;3;24;9;15;31;86;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.875545E+07;0;1.721606E+08;0;8855178;5.402977E+07;0;6.016701E+07;1.424684E+08;0;1.359453E+07;3.775201E+07;0;0;6.217932E+08;0;3.080568E+07;6.982471E+07;1248;0;10574;0;0;348;0;2262;7944;0;354;930;0;0;31236;0;900;2436;
3;0;0;196560;8;381024;14;184408;5;82222;4;308416;20;4;2;60;0;55;0;0;0;1;0;10;0;0;0;0;0;0;3;2;1;1;2;1;56;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7.019018E+07;0;1.270796E+08;0;1.766133E+07;4.069224E+07;0;5.337912E+07;1.333492E+08;0;7393860;3.777498E+07;0;0;6.096223E+08;0;1.515989E+07;6.625933E+07;312;0;28946;0;118;174;0;2270;15166;0;354;1402;0;0;47008;0;472;4026;
4;0;0;196560;19;381024;20;184408;7;82222;4;308416;55;2;5;22;0;28;0;0;0;0;0;0;0;0;0;1;1;3;1;0;0;0;1;2;21;0;0;0;0;0;0;0;0;27;11;6;8;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;6.748634E+07;0;1.704444E+08;0;7358372;5.129506E+07;0;5.295276E+07;1.247021E+08;0;1.491533E+07;3.542594E+07;0;0;4.740329E+08;0;3.95795E+07;8.37876E+07;936;0;39450;0;0;688;0;5488;18890;0;2206;4056;0;0;106230;0;4112;9950;
5;0;0;196560;34;381024;48;184408;18;82222;10;308416;204;23;8;49;0;13;0;0;0;0;0;67;0;0;0;0;1;1;7;2;1;6;20;6;36;0;0;0;0;0;0;0;8;107;15;20;42;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;6.477476E+07;0;1.189649E+08;0;2.390699E+07;4.24562E+07;0;5.233252E+07;1.30699E+08;0;7386250;3.94225E+07;0;0;5.350678E+08;0;1.654169E+07;6.980629E+07;5772;0;42992;0;2308;4094;0;9686;34992;0;1456;7540;0;0;390862;0;13210;31854;
6;0;0;196560;60;381024;92;184408;35;82222;24;308416;463;14;34;86;0;43;0;0;0;0;0;88;0;0;0;3;1;0;7;7;30;46;6;4;33;0;0;0;0;0;0;2;10;172;24;34;87;2;2;66;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;6.626545E+07;0;1.867549E+08;0;7310826;5.374828E+07;0;5.158788E+07;1.27071E+08;0;1.297755E+07;3.529081E+07;0;0;5.01336E+08;0;3.301135E+07;8.598326E+07;13126;0;78008;0;1436;15700;0;18450;53872;0;4952;13114;0;0;827484;0;40626;82840;
7;0;0;196560;102;381024;146;184408;55;82222;42;308416;765;15;17;26;0;23;0;1;0;0;0;34;0;0;0;0;5;3;3;4;9;16;6;5;7;0;0;0;0;0;0;1;10;202;41;46;103;1;1;99;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;6.466054E+07;0;1.201584E+08;0;2.085928E+07;4.207131E+07;0;5.177556E+07;1.281959E+08;0;7693662;3.904993E+07;0;0;5.087946E+08;0;1.650742E+07;6.939755E+07;21204;0;114542;0;6786;14538;0;30196;100752;0;4766;25280;0;0;1494342;0;45046;103906;
8;0;0;196560;132;381024;193;184408;78;82222;49;308416;1053;19;60;311;0;280;1;1;0;0;0;106;0;0;0;2;11;8;27;6;29;50;2;23;234;0;0;0;0;0;0;1;15;200;31;32;89;1;0;84;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;6.600363E+07;0;1.923141E+08;0;8153688;5.320774E+07;0;5.107624E+07;1.258657E+08;0;1.222383E+07;3.555967E+07;0;0;5.385932E+08;0;3.047175E+07;8.455386E+07;29066;0;184288;0;4602;30998;0;39598;109262;0;9762;32658;0;0;2639850;0;81708;172452;
9;0;0;196560;152;381024;230;184408;100;82222;58;308416;1252;34;24;68;0;85;0;0;0;8;0;28;1;2;0;2;2;0;1;13;16;18;19;8;49;0;0;0;0;0;0;1;2;138;20;37;62;0;0;66;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;6.469598E+07;0;1.246937E+08;0;2.009028E+07;4.350814E+07;0;5.134014E+07;1.274023E+08;0;8132624;3.9798E+07;0;0;5.104035E+08;0;1.899619E+07;6.678023E+07;35376;0;189366;0;9286;26880;0;44444;135236;0;6850;39906;0;0;3701944;0;58806;149034;
