Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
17;0;0;190324;368930;178162;80053;298656;37;54;269;0;264;0;0;0;94;0;2;0;0;0;0;3;18;568;34;77;81;0;0;0;0;0;0;0;0;0;0;0;0;2;22;100;18;63;43;588822;201651;148486;0;588813;0;0;33848;10060701187;0;193713;9992;54359;0;
18;0;0;190324;368930;178162;80053;298656;33;71;469;0;471;0;0;0;99;0;3;0;0;0;0;3;17;507;24;56;76;0;0;0;0;0;0;0;0;0;0;0;0;0;21;147;22;69;55;575083;203416;148199;0;583282;0;0;47570;10061145275;0;194971;9992;53101;0;
19;0;0;190324;368930;178162;80053;298656;30;81;269;0;253;0;0;0;122;0;5;0;0;0;0;1;17;420;31;48;60;0;0;0;0;0;0;0;0;0;0;0;0;1;25;203;33;104;83;587558;201578;148225;0;587799;0;0;43206;10060972687;0;194318;9992;53754;0;
20;0;0;190324;368930;178162;80053;298656;34;77;417;0;408;0;0;0;114;0;6;0;0;0;0;0;6;397;30;50;58;0;0;0;0;0;0;0;0;0;0;0;0;1;20;259;44;127;93;576610;203717;148116;0;582947;0;0;29418;10061285449;0;195403;9992;52670;0;
21;0;0;190324;368930;178162;80053;298656;39;81;270;0;264;0;0;0;125;0;1;0;0;0;0;1;6;351;21;45;65;0;0;0;0;0;0;0;0;0;0;0;0;2;26;371;42;133;119;585994;201987;148256;0;586667;0;0;33166;10061241921;0;195230;9992;52843;0;
22;0;0;190324;368930;178162;80053;298656;33;66;366;0;360;0;0;0;105;0;0;0;0;0;0;1;4;318;19;56;54;0;0;0;0;0;0;0;0;0;0;0;0;0;24;462;60;141;115;576432;203108;148062;0;581749;1;0;31960;10061334329;0;195482;9991;52592;0;
23;0;0;190324;368930;178162;80053;298656;30;61;266;0;242;0;0;0;111;0;4;0;0;0;0;1;7;343;23;46;79;0;0;0;0;0;0;0;0;0;0;0;0;0;28;549;47;127;134;584974;202154;147860;0;585764;1;0;61244;10061647151;0;196367;9990;51708;0;
24;0;0;190324;368930;178162;80053;298656;25;64;306;0;315;0;0;0;79;0;1;0;0;0;0;2;6;308;38;70;80;0;0;0;0;0;0;0;0;0;0;0;0;4;22;569;52;110;130;577107;203518;147786;0;580734;1;0;35488;10061596265;0;196056;9989;52020;0;
25;0;0;190324;368930;178162;80053;298656;14;67;252;0;268;0;0;0;64;0;1;0;0;0;0;3;10;302;28;66;80;0;0;0;0;0;0;0;0;0;0;0;0;1;21;620;37;113;120;582867;202190;147474;0;585515;2;0;35698;10061634733;0;196308;9987;51770;0;
26;0;0;190324;368930;178162;80053;298656;442;236;2437;0;3066;1;0;0;48;0;0;0;0;0;0;1;10;273;27;66;86;0;0;0;0;0;0;0;0;0;0;0;0;3;16;602;34;91;128;435301;72457;6003;0;112893;119001;0;36834;10072736237;0;232035;9987;16044;0;
