Days;Hours;Minutes;Students;StudentsInfected;Workers;WorkersInfected;OccupiedWorkers;OccupiedWorkersInfected;EssentialJobWorkers;EssentialJobWorkersInfected;Retired;RetiredInfected;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;MinutesAtWorkWorkerSusceptible;MinutesAtSchoolWorkerSusceptible;MinutesAtHomeWorkerSusceptible;MinutesAtFriendHomeWorkerSusceptible;MinutesAtGymWorkerSusceptible;MinutesAtPubWorkerSusceptible;MinutesAtWorkStudentSusceptible;MinutesAtSchoolStudentSusceptible;MinutesAtHomeStudentSusceptible;MinutesAtFriendHomeStudentSusceptible;MinutesAtGymStudentSusceptible;MinutesAtPubStudentSusceptible;MinutesAtWorkRetiredSusceptible;MinutesAtSchoolRetiredSusceptible;MinutesAtHomeRetiredSusceptible;MinutesAtFriendHomeRetiredSusceptible;MinutesAtGymRetiredSusceptible;MinutesAtPubRetiredSusceptible;MinutesAtWorkWorkerInfected;MinutesAtSchoolWorkerInfected;MinutesAtHomeWorkerInfected;MinutesAtFriendHomeWorkerInfected;MinutesAtGymWorkerInfected;MinutesAtPubWorkerInfected;MinutesAtWorkStudentInfected;MinutesAtSchoolStudentInfected;MinutesAtHomeStudentInfected;MinutesAtFriendHomeStudentInfected;MinutesAtGymStudentInfected;MinutesAtPubStudentInfected;MinutesAtWorkRetiredInfected;MinutesAtSchoolRetiredInfected;MinutesAtHomeRetiredInfected;MinutesAtFriendHomeRetiredInfected;MinutesAtGymRetiredInfected;MinutesAtPubRetiredInfected;
0;0;0;196560;7;381024;14;184180;7;82219;4;308416;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;3;6;8;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;0;0;196560;7;381024;14;184180;7;82219;4;308416;14;35;45;339;0;408;0;0;0;0;0;11;0;0;0;0;5;4;5;2;13;13;28;28;321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.270117E+07;0;4.650252E+08;0;0;7.769157E+07;0;0;3.78534E+08;0;0;7.017535E+07;0;0;5.890968E+08;0;0;1.130853E+08;1234;0;17604;0;0;1728;0;0;16612;0;0;540;0;0;25820;0;0;5964;
2;0;0;196560;7;381024;14;184180;7;82219;4;308416;14;12;33;39;0;26;0;0;0;51;0;7;0;0;0;0;0;5;2;3;15;8;9;13;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.859416E+07;0;1.718877E+08;0;8882730;5.414962E+07;0;6.018791E+07;1.429037E+08;0;1.355541E+07;3.777841E+07;0;0;6.213014E+08;0;3.090089E+07;6.968179E+07;3120;0;9804;0;562;2182;0;2578;8668;0;446;944;0;0;30348;0;2246;1828;
3;0;0;196560;7;381024;14;184180;7;82219;4;308416;15;4;30;281;0;305;0;0;0;10;0;0;0;0;0;0;0;0;0;0;1;1;4;29;280;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.017922E+07;0;1.27196E+08;0;1.76717E+07;4.07583E+07;0;5.345462E+07;1.331372E+08;0;7479040;3.770522E+07;0;0;6.086506E+08;0;1.520343E+07;6.62359E+07;2808;0;9000;0;472;2022;0;1624;7274;0;354;1280;0;0;27226;0;0;2920;
4;0;0;196560;7;381024;16;184180;9;82219;4;308416;24;0;1;64;0;64;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;5;0;1;58;0;0;0;0;0;0;0;1;5;0;1;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6.750554E+07;0;1.699459E+08;0;7512656;5.15069E+07;0;5.302876E+07;1.248448E+08;0;1.490483E+07;3.551952E+07;0;0;4.748646E+08;0;3.96548E+07;8.37603E+07;2808;0;11404;0;424;2098;0;2586;16668;0;462;1094;0;0;36178;0;3724;9010;
5;0;0;196560;10;381024;22;184180;11;82219;4;308416;60;15;12;456;0;468;0;0;0;0;0;15;0;0;0;0;0;0;1;0;3;148;15;9;307;0;0;0;0;0;0;0;3;18;3;3;18;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;6.483656E+07;0;1.189403E+08;0;2.38003E+07;4.252107E+07;0;5.231937E+07;1.307222E+08;0;7432988;3.938956E+07;0;0;5.348201E+08;0;1.662105E+07;6.974927E+07;3744;0;11696;0;1284;2158;0;2562;13854;0;354;1770;0;0;110406;0;1796;12506;
6;0;0;196560;16;381024;39;184180;20;82219;6;308416;142;25;20;140;0;164;0;0;0;0;0;21;0;0;0;0;0;0;0;8;7;49;17;13;91;0;0;0;0;0;0;0;1;54;6;17;28;0;0;0;0;0;30;0;0;0;0;0;0;0;1;0;0;0;0;6.63544E+07;0;1.867757E+08;0;7422624;5.368759E+07;0;5.164135E+07;1.274294E+08;0;1.298547E+07;3.539064E+07;0;0;5.024534E+08;0;3.312307E+07;8.594466E+07;5928;0;36662;0;542;4482;0;4546;19576;0;1322;2348;0;0;245460;0;13782;30696;
7;0;0;196560;30;381024;48;184180;25;82219;7;308416;247;14;5;217;0;215;0;0;0;0;0;21;0;0;0;0;0;0;1;2;1;15;12;4;201;0;0;0;0;0;0;0;2;67;15;8;38;0;0;0;0;0;37;0;0;0;0;0;0;0;1;0;1;0;0;6.476613E+07;0;1.200511E+08;0;2.081578E+07;4.227682E+07;0;5.184095E+07;1.284194E+08;0;7731184;3.90423E+07;0;0;5.100106E+08;0;1.659541E+07;6.94693E+07;7176;0;15808;0;2476;4258;0;8772;35712;0;826;4716;0;0;415074;0;5970;44960;
8;0;0;196560;40;381024;68;184180;38;82219;8;308416;380;13;24;90;0;93;0;0;0;0;0;34;0;0;0;0;0;1;0;0;2;6;13;21;84;0;0;0;0;0;0;2;7;93;8;15;41;0;1;27;2;1;24;0;0;0;0;0;0;0;0;0;0;2;1;6.603167E+07;0;1.926545E+08;0;8248466;5.32166E+07;0;5.11166E+07;1.260541E+08;0;1.223001E+07;3.569934E+07;0;0;5.403811E+08;0;3.048566E+07;8.460945E+07;9038;0;33162;0;526;6486;0;10720;48486;0;3448;5868;0;0;713842;0;26972;63038;
9;0;0;196560;51;381024;94;184180;45;82219;13;308416;572;9;10;69;0;79;0;0;0;0;0;9;0;0;0;0;1;2;0;0;2;2;8;6;67;0;0;0;0;0;0;0;9;136;12;19;58;0;2;62;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;6.476554E+07;0;1.247436E+08;0;2.007649E+07;4.359346E+07;0;5.137618E+07;1.276287E+08;0;8168356;3.977431E+07;0;0;5.117749E+08;0;1.908055E+07;6.679321E+07;10220;0;36026;0;3878;6360;0;13414;55592;0;1062;8266;0;0;1050326;0;21546;98782;
