Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178027;79999;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;38;41;57;110;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258026;0;0;
1;0;1;190324;368930;178027;79999;298656;1;1;9;0;8;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;535620;247196;159827;0;680540;85886;0;640;10035497154;0;111109;10548;136087;0;
2;0;1;190324;368930;178027;79999;298656;0;14;34;0;46;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;572823;203025;104605;0;645692;66671;0;2245;10050522624;0;157335;8844;91591;0;
3;0;1;190324;368930;178027;79999;298656;2;19;25;0;35;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;586029;201775;125092;0;582060;171;0;5345;10053782714;0;167346;8844;81612;0;
4;0;1;190324;368930;178027;79999;298656;5;12;25;0;25;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;588745;199227;126122;0;589890;13;0;5560;10054674434;0;170232;8844;78762;0;
5;0;1;190324;368930;178027;79999;298656;6;20;18;0;9;0;0;0;35;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;593555;197902;139046;0;585698;0;0;10665;10054178629;0;168371;8844;80648;0;
6;0;1;190324;368930;178027;79999;298656;8;27;27;0;14;0;0;0;48;0;0;0;0;0;0;0;1;3;0;3;5;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;4;1;588395;197340;141311;0;586687;0;0;12000;10055939064;0;174409;8844;74613;0;
7;0;1;190324;368930;178027;79999;298656;14;15;32;0;26;0;0;0;35;0;0;0;0;0;0;0;1;4;3;3;8;0;0;0;0;0;1;0;0;0;0;0;0;1;1;4;2;8;3;592574;194467;145530;0;590390;0;0;10880;10056828404;0;176908;8844;72126;0;
8;0;1;190324;368930;178027;79999;298656;6;14;159;0;148;0;0;0;29;0;2;0;0;0;0;1;1;4;3;6;12;0;0;0;1;0;4;0;0;0;0;0;0;1;4;3;10;13;8;582488;198243;146973;0;584935;0;0;19195;10057943889;0;180600;8844;68446;0;
9;0;1;190324;368930;178027;79999;298656;10;11;26;0;21;0;0;0;25;0;0;0;0;0;1;0;0;9;2;12;16;0;0;0;0;0;3;0;0;0;0;0;0;5;10;7;11;10;15;591134;194734;148362;0;590958;0;0;14920;10059391889;0;184846;8844;64202;0;
10;0;1;190324;368930;178027;79999;298656;3;7;61;0;57;0;0;0;13;0;1;0;0;0;0;0;0;9;3;15;19;0;0;0;0;0;4;0;0;0;0;0;0;1;5;4;11;29;15;576332;199072;148371;0;582684;0;0;17780;10060618254;0;188782;8844;60271;0;
11;0;1;190324;368930;178027;79999;298655;8;12;42;0;44;0;0;0;18;0;0;0;0;0;0;0;2;14;4;15;16;0;0;0;0;1;5;0;0;0;0;0;1;8;6;6;9;13;19;587711;196478;148287;0;588283;0;0;19235;10062117849;0;193482;8844;55571;0;
12;0;1;190324;368930;178027;79999;298655;0;11;92;0;92;0;0;0;9;0;2;0;0;0;0;0;3;22;6;13;17;0;0;0;0;0;7;0;0;0;0;0;0;3;6;10;5;18;11;576486;199965;148438;0;579620;0;0;19995;10062561069;0;194923;8844;54135;0;
13;0;1;190324;368930;178027;79999;298655;5;7;56;0;63;0;0;0;5;0;0;0;0;0;0;0;1;39;9;18;9;0;0;0;0;0;10;0;0;0;0;0;0;1;2;3;7;11;10;587300;197598;147619;0;586904;0;0;19960;10063815519;0;198861;8844;50199;0;
14;0;1;190324;368930;178027;79999;298655;13;12;108;0;121;0;0;0;12;0;0;0;0;0;0;0;2;55;3;12;14;0;0;0;0;0;21;0;0;0;0;0;0;0;1;3;1;4;4;577086;200083;147960;0;579126;0;0;23115;10064249009;0;199975;8844;49086;0;
15;0;1;190324;368930;178027;79999;298655;1;1;39;0;34;0;0;0;7;0;0;0;0;0;0;0;1;44;11;16;21;0;0;0;0;0;20;0;0;0;0;0;0;1;1;0;2;3;5;585946;197972;146389;0;586002;0;0;22620;10065261204;0;203199;8844;45863;0;
16;0;1;190324;368930;178027;79999;298654;3;6;45;0;49;0;0;0;3;0;2;0;0;0;0;0;1;47;10;9;13;0;0;0;0;1;25;0;0;0;0;0;1;0;2;3;0;2;6;578182;200414;146369;0;580894;0;0;23870;10065376459;0;203501;8844;45562;0;
17;0;1;190324;368930;178027;79999;298652;6;7;46;0;46;0;0;0;12;0;1;0;0;0;0;0;1;58;4;8;6;0;0;25;0;0;3;0;0;0;0;0;2;0;0;2;1;6;10;586479;198763;144632;0;586698;0;0;26815;10065936699;0;205502;8844;43563;0;
18;0;1;190324;368930;178027;79999;298648;4;9;93;0;98;0;0;0;7;0;1;0;0;0;0;0;4;65;4;4;4;0;1;32;0;0;4;0;0;0;0;0;4;0;0;3;4;11;15;579543;200535;144984;0;581198;0;0;27310;10065688254;0;204545;8844;44520;0;
19;0;1;190324;368930;178027;79999;298647;11;9;56;0;64;0;0;0;12;0;0;0;0;0;0;0;2;63;5;8;9;0;0;27;0;0;3;0;0;0;0;0;1;0;0;9;2;10;15;584144;199117;142400;0;585830;0;0;28065;10066059179;0;205595;8844;43470;0;
20;0;1;190324;368929;178027;79999;298643;11;9;45;0;45;0;0;0;17;0;3;0;0;0;0;0;2;57;8;5;13;0;0;14;0;0;7;0;0;0;0;1;4;1;2;15;5;13;14;582418;200756;142985;0;582420;0;0;33545;10065609124;0;204196;8844;44869;0;
21;0;1;190324;368929;178027;79999;298641;7;6;57;0;56;0;0;0;13;0;0;0;0;0;1;0;2;48;6;13;15;0;0;10;0;0;7;0;0;0;0;0;2;0;0;17;5;18;13;582506;199419;140947;0;584677;0;0;33695;10065858064;0;204981;8844;44084;0;
22;0;1;190324;368929;178027;79999;298637;6;11;28;0;31;0;0;0;13;0;1;0;0;0;0;0;3;45;3;3;14;0;0;15;0;0;7;0;0;0;0;0;4;0;2;17;5;12;12;581437;200277;142272;0;580713;0;0;33235;10065557194;0;204106;8844;44959;0;
23;0;1;190324;368929;178027;79999;298624;2;14;65;0;71;0;0;0;10;0;0;0;0;0;0;0;2;48;3;2;15;0;0;11;0;0;13;0;0;0;0;0;13;0;1;26;6;8;13;580541;198994;140887;0;583367;0;0;38745;10065729454;0;204529;8844;44536;0;
24;0;1;190324;368929;178027;79999;298603;8;12;72;0;79;0;0;0;12;0;1;0;0;0;0;0;2;35;5;11;8;0;0;0;0;0;16;0;0;3;0;0;18;0;3;32;6;16;10;583051;199445;142339;0;581360;0;0;41385;10065674824;0;204226;8844;44839;0;
25;0;1;190324;368929;178027;79999;298588;9;5;78;0;81;0;0;0;10;0;1;0;0;0;0;0;1;52;9;3;15;0;0;0;0;0;21;0;0;5;0;0;10;0;1;36;6;17;16;581882;198893;141657;0;583014;0;0;44650;10065790369;0;204677;8844;44388;0;
26;0;1;190324;368929;178027;79999;298570;4;9;44;0;53;0;0;0;4;0;0;0;0;0;0;0;0;42;12;9;18;0;0;9;0;0;12;0;0;11;0;0;7;0;2;24;4;12;15;583138;199242;143254;0;581706;0;0;46985;10065701659;0;204431;8844;44634;0;
27;0;1;190324;368929;178027;79999;298540;3;8;62;0;67;0;0;0;6;0;0;0;0;0;0;0;0;32;10;3;14;0;0;10;0;0;10;0;0;24;0;0;6;0;0;35;8;9;9;579804;198748;142589;0;580918;0;0;40370;10065776594;0;204666;8844;44399;0;
28;0;1;190324;368928;178027;79999;298518;7;7;75;0;78;0;0;0;9;0;2;0;0;0;0;0;2;28;6;6;16;0;0;10;0;0;6;0;1;20;0;0;2;0;3;31;8;6;10;582800;198994;143534;0;581611;0;0;51235;10065743589;0;204467;8844;44598;0;
29;0;1;190324;368928;178027;79999;298489;1;8;47;0;47;0;0;0;9;0;0;0;0;0;0;0;1;29;2;10;18;0;0;8;0;0;11;0;0;21;0;0;8;0;3;27;6;5;12;578506;198551;142858;0;579754;0;0;41005;10065929024;0;205144;8844;43922;0;
30;0;1;190324;368928;178027;79999;298467;6;6;52;0;55;0;0;0;9;0;0;0;0;0;0;1;4;45;7;11;23;0;0;20;1;0;8;0;0;14;0;0;8;0;1;39;6;4;10;582188;199375;143604;0;581482;0;0;44170;10065918349;0;204867;8844;44199;0;
31;0;1;190324;368928;178027;79999;298446;2;9;46;0;52;0;0;0;5;0;0;0;0;0;0;1;2;41;4;12;24;0;1;18;1;0;7;0;0;14;0;0;7;0;2;31;7;7;11;579605;198835;142859;0;579771;0;0;46225;10065849644;0;204838;8844;44228;0;
32;0;1;190324;368928;178027;79999;298435;2;11;44;0;50;0;0;0;7;0;0;0;0;0;0;0;2;42;10;6;31;0;0;19;0;0;4;0;0;8;0;0;3;0;5;21;3;5;12;581701;198995;143302;0;581356;1;0;50470;10065848554;0;204727;8843;44340;0;
33;0;1;190324;368928;178027;79999;298421;3;6;50;0;48;0;0;0;10;0;1;0;0;0;0;1;2;28;3;6;27;0;0;10;0;1;6;0;0;8;0;0;6;0;1;23;9;5;20;580256;198683;142830;0;579752;0;0;53825;10065906689;0;204939;8843;44128;0;
34;0;1;190324;368928;178027;79999;298400;4;11;42;0;45;0;0;0;12;0;0;0;0;0;0;0;0;43;3;5;25;0;0;7;0;0;16;0;0;6;0;0;15;0;0;20;8;8;10;580357;199164;142916;0;580632;0;0;56310;10065669369;0;204167;8843;44900;0;
35;0;1;190324;368928;178027;79999;298376;7;13;42;0;50;0;0;0;12;0;0;0;0;0;0;1;0;47;0;5;13;0;0;11;0;0;15;0;0;10;0;0;14;0;1;27;6;7;18;579250;198857;142801;0;579142;0;0;49725;10065652394;0;204079;8843;44989;0;
36;0;1;190324;368928;178027;79999;298356;8;16;52;0;56;0;0;0;19;0;1;0;0;0;0;0;2;41;7;9;18;0;0;1;0;0;16;0;0;6;0;0;14;0;1;22;8;9;16;579050;198911;142422;0;579902;0;0;60790;10065319984;0;203156;8843;45912;0;
37;0;1;190324;368928;178027;79999;298342;7;15;47;0;48;0;0;0;20;0;1;0;0;0;0;1;1;27;2;6;13;0;0;0;1;1;8;0;0;5;0;0;9;0;3;16;5;6;20;580539;198376;142234;0;580664;0;0;103905;10065374189;0;203206;8843;45862;0;
38;0;1;190324;368928;178027;79999;298322;7;17;56;0;49;0;0;0;31;0;0;0;0;0;0;1;2;34;2;10;16;0;0;0;0;0;10;0;0;10;0;0;10;0;1;20;8;8;15;579734;198576;142013;0;579840;0;0;63680;10065251374;0;202727;8843;46341;0;
39;0;1;190324;368928;178027;79999;298293;6;11;53;0;52;0;0;0;17;0;1;0;0;0;0;0;1;33;1;5;13;0;0;3;0;1;7;0;0;23;0;0;6;1;3;17;10;4;18;580578;198548;142205;0;580965;0;0;57285;10065211404;0;202623;8843;46445;0;
40;0;1;190324;368928;178027;79999;298277;8;25;82;0;91;0;0;0;23;0;1;0;0;0;0;0;2;33;6;11;15;0;0;0;0;0;10;0;0;6;0;0;10;0;2;17;3;8;20;578616;198487;141978;0;578174;0;0;61595;10065122044;0;202373;8843;46695;0;
41;0;1;190324;368927;178027;79999;298263;9;5;51;0;55;0;0;0;9;0;1;0;0;0;0;0;5;29;8;5;9;0;0;0;0;2;7;0;1;10;0;0;4;0;1;17;4;11;29;579023;198271;141976;0;579890;0;0;62715;10065206984;0;202624;8843;46444;0;
42;0;1;190324;368927;178027;79999;298233;2;8;41;0;41;0;0;0;10;0;0;0;0;0;0;0;1;31;3;13;20;0;0;0;0;0;6;0;0;17;0;0;13;1;1;22;1;9;31;577601;198105;141909;0;577961;0;0;64115;10065129174;0;202284;8843;46784;0;
43;0;1;190324;368927;178027;79999;298218;5;10;28;0;33;0;0;0;10;0;0;0;0;0;0;0;1;27;4;14;17;0;0;0;0;0;5;0;0;8;0;0;7;0;2;18;3;8;15;579046;198187;142186;0;579632;1;0;70715;10065190329;0;202402;8843;46666;0;
44;0;1;190324;368927;178027;79999;298200;6;10;43;0;53;0;0;0;6;0;0;0;0;0;0;0;2;26;7;15;17;0;0;0;0;0;6;0;0;12;0;0;6;1;0;24;5;4;21;578068;198194;141847;0;578372;0;0;64415;10065177089;0;202394;8843;46674;0;
45;0;1;190324;368927;178027;79999;298181;9;2;63;0;63;0;0;0;11;0;0;0;0;0;0;1;1;43;8;13;14;0;0;0;1;0;7;0;0;11;0;0;8;0;0;24;5;5;18;579513;197853;142253;0;579694;0;0;65235;10065265719;0;202717;8843;46351;0;
46;0;1;190324;368927;178027;79999;298173;7;5;43;0;39;0;0;0;16;0;0;0;0;0;0;0;0;43;10;11;19;0;0;0;0;0;13;0;0;3;0;0;5;1;1;18;6;4;14;578452;198005;142413;0;578085;0;0;67120;10065267304;0;202739;8843;46329;0;
47;0;1;190324;368927;178027;79999;298162;6;13;47;0;55;0;0;0;11;0;0;0;0;0;0;0;2;36;6;6;16;0;0;0;0;0;4;0;0;3;0;0;8;1;2;30;3;11;16;577688;197699;142642;0;578684;0;0;80170;10065449954;0;203177;8843;45891;0;
48;0;1;190324;368927;178027;79999;298150;8;11;43;0;44;0;0;0;17;0;1;0;0;0;0;0;4;35;4;8;20;0;0;0;0;0;7;0;0;2;0;0;10;0;1;23;2;11;16;577351;197952;142568;0;577262;0;0;82375;10065431759;0;203182;8843;45886;0;
49;0;1;190324;368927;178027;79999;298144;7;14;35;0;41;0;0;0;15;0;0;0;0;0;0;0;0;28;7;12;22;0;0;0;0;0;5;0;0;0;0;0;6;1;1;31;5;8;17;576567;197901;142509;0;577577;0;0;71920;10065505919;0;203311;8843;45757;0;
50;0;1;190324;368927;178027;79999;298143;4;15;47;0;50;0;0;0;15;0;1;0;0;0;0;1;3;29;9;10;13;0;0;0;1;0;2;0;0;0;0;0;1;0;2;28;5;5;15;578077;198047;142423;0;577999;0;0;73750;10065481129;0;203345;8843;45723;0;
51;0;1;190324;368926;178027;79998;298140;9;10;42;0;54;0;0;0;7;0;0;0;0;0;0;0;0;26;3;7;20;0;0;0;0;0;7;0;0;0;0;1;3;0;1;23;1;11;16;577475;197956;142239;0;577995;0;0;74715;10065640874;0;203743;8843;45326;0;
52;0;1;190324;368926;178027;79998;298137;5;7;53;0;59;0;0;0;6;0;0;0;0;0;0;0;2;27;8;4;21;0;0;0;0;0;3;0;0;0;0;0;3;0;1;31;9;10;9;578296;198045;142331;0;577934;1;0;76235;10065592754;0;203633;8843;45436;0;
53;0;1;190324;368926;178027;79998;298134;7;11;47;0;55;0;0;0;10;0;0;0;0;0;0;0;2;26;10;7;21;0;0;0;0;0;1;0;0;0;0;0;3;0;3;25;5;17;15;576890;197771;141930;0;577171;0;0;77315;10065701859;0;203921;8843;45148;0;
54;0;1;190324;368926;178027;79998;298128;4;14;46;0;54;0;0;0;10;0;0;0;0;0;0;0;5;29;1;5;20;0;0;0;0;0;2;0;0;0;0;0;6;0;3;22;9;9;17;577042;197905;141970;0;576979;0;0;81485;10065720329;0;203954;8843;45115;0;
55;0;1;190324;368926;178027;79998;298124;10;8;56;0;61;0;0;0;13;0;0;0;0;0;0;0;2;17;5;12;19;0;0;0;0;0;1;0;0;0;0;0;4;0;1;39;2;10;14;575821;197768;141834;0;576767;0;0;83340;10065749719;0;204110;8843;44959;0;
56;0;1;190324;368926;178027;79998;298120;3;3;49;0;51;0;0;0;4;0;0;0;0;0;0;0;2;17;11;16;24;0;0;0;0;0;4;0;0;0;0;0;4;0;2;26;6;11;26;577358;197732;141856;0;577272;0;0;84250;10065700854;0;203889;8843;45180;0;
