Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178162;80053;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207;440;353;554;1098;848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258215;0;0;
1;0;0;190324;368930;178162;80053;298656;8;5;52;0;64;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;703410;243049;156946;0;786162;99208;0;624;10037421271;0;120184;14807;122865;0;
2;0;0;190324;368930;178162;80053;298656;6;150;147;0;274;0;0;0;27;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;608192;196738;109560;0;598709;101753;0;2104;10056101377;0;179008;13705;65230;0;
3;0;0;190324;368930;178162;80053;298656;13;223;110;0;255;0;0;0;90;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505758;161900;105788;0;506034;99124;0;3478;10062844809;0;200830;13705;43417;0;
4;0;0;190324;368930;178162;80053;298656;31;155;125;0;189;0;0;0;122;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;409332;131954;83065;0;407611;83285;0;7708;10066038657;0;211049;13705;33213;0;
5;0;0;190324;368930;178162;80053;298656;37;124;80;0;111;0;0;0;130;0;0;0;0;0;0;0;1;4;1;6;7;0;0;0;0;0;2;0;0;0;0;0;0;0;1;3;6;6;4;340873;109015;74466;0;337452;65436;0;8032;10068010243;0;217321;13705;26956;0;
6;0;0;190324;368930;178162;80053;298656;32;104;177;0;160;0;0;0;153;0;0;0;0;0;0;3;3;15;0;21;17;0;0;0;1;1;8;0;0;0;0;0;0;8;3;4;8;21;15;269126;88799;58485;0;268992;55473;0;8342;10070171343;0;224388;13705;19898;0;
7;0;0;190324;368930;178162;80053;298656;31;111;74;0;59;0;0;0;157;0;0;0;0;0;0;1;19;29;4;48;27;0;0;0;0;3;15;0;0;0;0;0;0;14;26;18;24;45;50;226117;73109;50481;0;227758;43718;0;11848;10070987533;0;226937;13705;17350;0;
8;0;0;190324;368930;178162;80053;298656;35;113;126;0;117;0;0;0;156;0;1;0;0;0;0;1;32;38;7;71;40;0;0;0;0;6;16;0;0;0;0;0;0;24;32;30;51;114;75;179461;60325;40606;0;180260;36550;0;15292;10072076395;0;230475;13705;13820;0;
9;0;0;190324;368930;178162;80053;298656;39;112;84;0;87;0;0;0;148;0;0;0;0;0;0;3;26;47;14;95;58;0;0;0;1;5;24;0;0;0;0;0;0;37;93;55;116;162;144;150424;49410;34297;0;152160;29398;0;12830;10072721715;0;232439;13705;11863;0;
