Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178027;79999;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;38;41;57;110;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258026;0;0;
1;0;0;190324;368930;178027;79999;298656;0;0;7;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;557380;246934;161991;0;687853;89008;0;624;10038883955;0;124912;10781;122022;0;
2;0;0;190324;368930;178027;79999;298656;0;15;34;0;47;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;570734;205244;121089;0;643327;64006;0;2168;10056640783;0;181135;9611;67019;0;
3;0;0;190324;368930;178027;79999;298656;2;19;28;0;38;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;582004;204669;137679;0;585220;90;0;3622;10061551223;0;196727;9611;51440;0;
4;0;0;190324;368930;178027;79999;298656;5;13;28;0;29;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;584892;204167;130977;0;593033;6;0;5048;10062951695;0;201390;9611;46811;0;
5;0;0;190324;368930;178027;79999;298656;5;22;19;0;10;0;0;0;36;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;1;0;0;591504;203481;142508;0;582578;0;0;10392;10063291903;0;202296;9611;45924;0;
6;0;0;190324;368930;178027;79999;298656;9;23;26;0;12;0;0;0;46;0;0;0;0;0;0;0;1;3;0;3;6;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;4;1;586687;204141;137003;0;591612;0;0;11530;10064246011;0;205751;9611;42483;0;
7;0;0;190324;368930;178027;79999;298656;13;17;45;0;37;0;0;0;38;0;0;0;0;0;0;0;2;2;3;3;9;0;0;0;0;0;1;0;0;0;0;0;0;1;1;4;2;8;3;593871;202255;144451;0;588968;0;0;13104;10062728263;0;200420;9611;47838;0;
8;0;0;190324;368930;178027;79999;298656;5;13;119;0;104;0;0;0;28;0;5;0;0;0;0;0;1;5;3;6;11;0;0;0;0;0;4;0;0;0;0;0;0;1;4;3;10;13;8;584698;203693;141723;0;589801;0;0;16158;10062792051;0;201091;9611;47174;0;
9;0;0;190324;368930;178027;79999;298656;9;11;26;0;22;0;0;0;24;0;0;0;0;0;0;0;0;8;2;12;18;0;0;0;0;0;3;0;0;0;0;0;0;5;10;7;11;10;15;592498;201639;146316;0;591181;0;0;21590;10061836199;0;197623;9611;50656;0;
