Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178226;79851;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;3;13;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258077;0;0;
1;0;0;190324;368930;178226;79851;298656;117;213;592;0;504;1;0;0;0;0;416;0;1;0;0;0;0;0;85;178;104;32;35;488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;560286;246475;162300;0;684581;91228;0;624;10040804897;0;131093;11297;115382;0;
2;0;0;190324;368930;178226;79851;298656;23;23;365;0;346;0;0;0;17;0;48;0;0;0;0;0;0;0;4;7;36;19;16;329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;568955;202763;133788;0;642890;61695;0;2254;10065006439;0;202212;10236;45343;0;
3;0;0;190324;368930;178226;79851;298656;8;8;40;0;44;0;0;0;11;0;0;0;0;0;1;0;0;0;2;3;4;6;5;36;0;0;0;0;0;0;0;0;4;3;2;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;563009;203541;143712;0;582988;37;0;5028;10067397909;0;215688;10236;31878;0;
4;0;0;190324;368930;178226;79851;298656;12;48;272;0;283;0;0;0;0;0;43;0;0;0;6;0;0;0;1;0;1;11;48;271;0;0;0;0;0;0;0;0;13;3;8;19;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;582808;203290;140486;0;585394;1;0;7482;10069177537;0;221493;10236;26089;0;
5;0;0;190324;368930;178226;79851;298656;21;26;153;0;182;0;0;0;0;0;18;0;0;0;0;0;0;0;1;1;4;20;25;149;0;0;0;0;0;0;0;0;47;16;22;48;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;1;571289;202017;145298;0;572561;0;0;6326;10068916851;0;218993;10236;28615;0;
6;0;0;190324;368930;178226;79851;298656;28;41;244;0;267;1;0;0;0;0;45;0;0;0;0;0;1;0;3;8;9;25;32;235;0;0;0;0;0;0;0;5;79;30;51;96;0;0;0;0;1;30;0;0;0;0;0;0;0;0;0;0;0;1;582579;202510;141736;0;581674;1;0;7496;10068739517;0;219986;10236;27649;0;
7;0;0;190324;368930;178226;79851;298656;21;45;708;0;759;0;0;0;0;0;14;0;0;0;1;5;1;3;0;17;7;16;27;698;0;0;0;0;0;0;1;3;92;21;61;126;0;0;0;0;1;28;0;0;0;0;0;0;0;0;0;1;0;0;572871;200454;145499;0;572916;0;0;15242;10068126897;0;216798;10236;30870;0;
8;0;0;190324;368930;178226;79851;298656;32;40;234;0;261;2;0;0;10;0;11;0;1;0;21;1;1;2;2;11;8;29;28;224;0;0;0;0;0;0;1;3;134;34;47;114;0;0;28;0;0;22;0;0;0;0;0;0;0;2;1;1;2;1;575484;201208;142784;0;577118;0;0;15226;10067891449;0;217081;10236;30588;0;
9;0;0;190324;368930;178226;79851;298656;24;33;496;0;540;1;0;0;0;0;8;0;2;0;2;0;1;3;1;6;6;23;26;487;0;0;0;0;0;0;2;5;132;21;32;83;0;2;57;0;0;0;0;0;0;0;0;0;0;1;0;1;1;3;570156;199490;146167;0;568854;0;0;20354;10067439043;0;214765;10236;32932;0;
