Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
38;0;0;190276;368869;178413;79860;292522;2;5;27;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;1;1;22;0;0;0;0;0;0;1;5;26;7;8;23;0;0;12;1;0;6;0;0;218;0;0;4;5;12;217;20;26;169;553786;198387;144477;0;553997;0;0;55714;10064022409;0;203125;10407;44637;0;
39;0;0;190276;368865;178411;79859;292323;1;2;42;0;45;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;25;1;1;13;0;0;0;0;0;0;2;2;14;3;5;18;1;1;2;1;0;6;0;4;192;0;0;7;3;6;189;16;27;145;555325;198034;145013;0;554570;0;0;54448;10064049989;0;203210;10407;44552;0;
40;0;0;190276;368865;178411;79859;292165;2;2;16;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;16;0;0;0;0;0;0;0;3;11;7;6;7;0;1;1;0;0;7;0;0;150;0;0;8;3;10;150;24;25;115;553454;198255;144459;0;553582;0;0;59590;10064033809;0;203433;10407;44329;0;
41;0;0;190275;368865;178411;79859;292014;1;1;10;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;9;0;0;0;0;0;0;0;4;15;1;3;12;0;0;3;0;0;6;1;0;145;0;0;6;3;5;135;17;17;116;554882;197903;144972;0;554084;0;0;98222;10064242935;0;203519;10407;44243;0;
42;0;0;190275;368863;178410;79858;291931;4;3;18;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;3;16;0;0;0;0;0;0;1;0;19;6;1;7;1;0;6;0;0;7;0;2;80;0;0;3;2;3;95;12;18;101;553030;198119;144415;0;553325;0;0;97630;10064181273;0;203460;10407;44302;0;
43;0;0;190275;368863;178410;79858;291849;0;1;11;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;1;14;1;1;19;0;0;2;0;0;8;0;0;65;0;0;17;3;3;64;18;16;71;554869;197716;144835;0;554229;0;0;104928;10064231257;0;203400;10407;44362;0;
44;0;0;190275;368862;178409;79858;291785;1;2;38;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;1;1;23;0;0;0;0;0;0;0;0;14;1;3;16;0;0;0;0;0;9;0;1;56;0;0;8;1;2;32;20;14;76;552912;197953;144229;0;553351;0;0;88602;10064210917;0;203639;10407;44123;0;
45;0;0;190274;368862;178409;79858;291738;1;1;18;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;1;11;0;0;0;0;0;0;0;1;11;1;1;16;0;0;0;0;0;6;0;0;32;1;0;15;0;5;32;13;10;50;554487;197814;144724;0;553864;0;0;63262;10064175143;0;203632;10407;44130;0;
46;0;0;190273;368862;178409;79858;291705;1;4;12;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;1;2;7;0;0;0;0;0;0;0;1;8;2;1;9;0;0;0;0;0;5;1;0;23;0;0;10;3;5;20;5;7;65;553041;198082;144424;0;552997;0;0;64386;10064231135;0;203655;10407;44107;0;
47;0;0;190273;368862;178409;79858;291691;1;0;4;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;2;9;0;0;8;0;0;0;0;1;7;0;0;6;0;0;8;0;4;13;9;11;47;554055;197778;144597;0;553393;0;0;67314;10064227135;0;203513;10407;44249;0;
48;0;0;190273;368862;178409;79858;291676;3;3;11;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;5;1;0;6;0;0;0;0;0;0;0;1;7;1;1;11;0;0;0;0;0;7;0;0;8;0;0;7;0;1;14;10;11;35;553028;197796;144270;0;552377;0;0;67506;10064170317;0;203408;10407;44354;0;
49;0;0;190272;368862;178409;79858;291661;2;1;6;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;5;0;0;0;0;0;0;2;2;9;1;1;12;0;0;0;0;0;6;1;0;4;0;0;11;0;1;10;2;5;21;553458;197672;144540;0;553199;0;0;68842;10064112423;0;203147;10407;44615;0;
50;0;0;190272;368860;178409;79856;291657;0;1;10;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;9;0;0;0;0;0;0;1;1;5;1;2;15;0;0;0;0;1;3;0;2;3;0;0;1;0;1;6;3;6;17;553083;197739;144273;0;552199;0;0;70104;10064158481;0;203129;10407;44633;0;
51;0;0;190272;368860;178409;79856;291646;1;3;4;0;8;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;6;0;2;14;0;0;0;0;0;3;0;0;6;0;0;5;0;5;8;6;1;12;552915;197627;144472;0;553161;0;0;75846;10064084695;0;203094;10407;44668;0;
52;0;0;190272;368860;178409;79856;291635;0;1;5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;3;0;1;6;0;0;0;0;0;1;0;0;4;0;0;7;0;0;10;1;2;7;553214;197526;144199;0;552387;0;0;73040;10064153499;0;203054;10407;44708;0;
53;0;0;190271;368860;178409;79856;291629;0;2;8;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;4;3;0;6;0;0;0;0;0;2;1;0;1;0;0;5;0;1;6;2;2;14;552285;197544;144382;0;552416;0;0;74414;10063982271;0;202675;10407;45087;0;
