Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;ExposedByStudent;ExposedByWorker;ExposedByRetired;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
21;0;0;190310;368911;178434;79866;296602;55;47;743;0;827;1;1;0;4;0;1;0;4;0;7;0;98;747;5;17;542;36;37;153;1;4;261;0;1;3;3;3;455;0;0;4;7;20;440;71;77;271;563169;199603;147024;0;561950;0;0;32638;10064539967;0;205551;10416;42198;0;
22;0;0;190308;368910;178434;79866;296139;47;69;825;0;921;0;0;0;10;0;1;1;6;0;2;13;144;784;12;17;680;38;38;184;2;3;332;0;0;9;2;1;457;0;0;6;6;22;424;66;79;272;562967;200373;145701;0;562013;1;0;45502;10064969241;0;206575;10416;41174;0;
23;0;0;190306;368908;178433;79866;295686;37;52;726;0;797;1;0;0;3;0;5;0;1;0;8;11;101;703;8;24;642;47;61;169;4;7;305;0;1;14;2;2;442;0;0;11;9;31;417;66;83;239;562556;199786;146901;0;561517;0;0;33836;10064864953;0;206527;10416;41222;0;
24;0;0;190301;368904;178433;79865;295285;46;73;789;0;870;2;1;0;23;0;4;1;4;0;3;26;81;801;13;23;684;39;33;198;4;2;339;1;0;11;5;4;389;0;0;12;6;24;314;70;77;223;561157;200312;145595;0;561466;1;0;36044;10064972277;0;206381;10415;41369;0;
25;0;0;190299;368900;178429;79865;295006;52;66;517;0;592;2;1;0;30;0;1;0;4;0;5;23;37;575;10;28;746;39;42;201;3;7;353;0;0;16;2;4;268;0;0;11;7;30;236;62;56;205;561671;199743;146846;0;561269;1;0;34998;10064535353;0;205335;10415;42415;0;
26;0;0;190299;368897;178428;79865;294775;49;64;618;0;697;1;1;0;25;0;3;0;3;0;1;12;34;685;14;23;725;51;41;181;8;6;339;0;0;16;0;3;218;0;0;13;3;18;167;49;49;182;559297;200374;145627;0;559679;0;0;56948;10064496839;0;205313;10415;42438;0;
27;0;0;190296;368896;178427;79865;294588;45;63;611;0;650;0;0;0;47;0;2;0;5;0;15;28;58;633;9;26;666;50;47;197;3;1;321;0;1;14;3;1;176;0;0;11;7;11;154;44;47;165;560464;199871;146874;0;560032;2;0;39924;10064471755;0;204963;10415;42788;0;
28;0;0;190295;368889;178421;79865;294410;55;90;805;0;872;1;1;0;68;0;1;0;0;0;7;32;97;821;4;22;641;41;50;173;0;7;267;0;0;7;1;7;171;0;0;7;4;17;177;46;38;186;557776;200225;145749;0;559016;0;0;40138;10064467635;0;204892;10415;42859;0;
29;0;0;190290;368885;178417;79865;294212;75;97;707;0;785;1;0;0;79;0;1;0;2;0;11;33;59;787;14;25;592;34;51;207;3;0;238;0;0;9;5;4;192;0;0;6;2;16;204;30;37;184;559809;199869;146688;0;559121;0;0;44208;10064342661;0;204495;10414;43257;0;
30;0;0;190289;368881;178417;79862;293971;71;113;940;0;1038;1;0;0;73;0;3;1;4;0;4;35;62;1027;9;15;574;41;47;205;2;2;208;1;0;3;1;4;237;0;0;4;10;15;211;23;40;176;557385;200261;145734;0;557883;1;0;41188;10064278693;0;203940;10414;43812;0;
31;0;0;190288;368875;178412;79861;293712;82;114;847;0;940;2;1;0;90;0;1;0;0;0;9;47;62;934;6;17;464;47;56;213;0;1;143;0;0;5;1;6;256;0;0;3;7;14;277;46;42;160;559551;199995;146506;0;558909;0;0;44036;10064038085;0;203558;10414;44194;0;
32;0;0;190287;368870;178411;79859;293417;101;125;1223;0;1364;1;1;0;76;0;3;0;0;0;4;33;74;1342;5;23;436;42;51;242;0;2;95;0;0;9;1;5;286;0;0;9;6;23;316;47;41;200;557572;200256;145636;0;557404;0;0;45600;10064030719;0;203597;10414;44155;0;
33;0;0;190282;368867;178409;79859;293087;99;118;792;0;942;7;1;0;49;0;0;0;2;0;8;28;55;926;5;20;424;57;48;225;0;0;56;1;0;12;5;3;321;0;0;9;1;19;300;37;52;168;558924;199856;146635;0;558250;0;0;46946;10064282155;0;204031;10414;43721;0;
34;0;0;190279;368866;178409;79858;292729;81;113;820;0;963;2;0;0;36;0;1;0;2;0;10;25;71;918;7;17;431;54;53;235;0;0;42;0;0;14;3;1;347;0;0;11;7;22;396;58;45;178;557703;200408;145817;0;556924;0;0;48390;10064266825;0;204318;10414;43434;0;
35;0;0;190274;368861;178407;79857;292450;98;98;754;0;901;1;1;0;33;0;0;0;2;0;12;15;61;874;6;19;470;60;67;263;0;0;56;0;1;10;5;5;272;0;0;7;7;19;331;38;33;208;558792;199985;146391;0;557565;0;0;79274;10064235335;0;203904;10414;43848;0;
36;0;0;190269;368855;178405;79856;292106;93;75;1042;0;1162;1;1;0;32;0;3;0;2;0;9;21;54;1135;4;11;487;55;82;260;0;0;43;0;0;9;5;6;338;0;0;6;7;18;371;32;44;182;557343;200238;145694;0;557367;0;0;50098;10064068437;0;203547;10414;44205;0;
37;0;0;190266;368850;178402;79856;291799;74;101;636;0;763;5;1;0;25;0;6;0;0;0;11;11;72;728;7;31;607;63;85;287;1;2;67;0;0;8;3;5;302;0;0;5;7;15;366;50;53;200;558891;199831;146412;0;558108;0;0;54430;10064027015;0;202970;10414;44782;0;
38;0;0;190264;368849;178402;79856;291545;50;87;564;0;675;1;1;0;12;0;4;0;1;0;7;8;50;643;8;25;563;85;76;290;0;1;75;1;0;11;1;1;245;1;0;9;10;25;371;38;51;215;556974;200272;145768;0;557170;0;0;56186;10063874605;0;202678;10414;45074;0;
39;0;0;190262;368845;178401;79854;291322;43;85;594;0;690;1;1;0;6;0;3;0;1;0;20;10;42;670;9;40;570;74;77;277;1;1;107;0;0;10;2;4;217;0;0;6;7;20;350;35;47;189;558506;200000;146333;0;557762;0;0;54590;10063933621;0;202754;10414;44998;0;
40;0;0;190261;368845;178401;79854;291138;51;66;524;0;625;1;0;0;6;0;0;0;1;0;8;8;34;599;11;33;599;91;64;296;1;3;158;0;0;13;1;0;173;0;0;11;10;19;330;47;46;204;556572;200188;145840;0;556589;0;0;57540;10063964631;0;203112;10413;44641;0;
41;0;0;190260;368845;178401;79854;290982;52;75;535;0;638;0;1;0;7;0;1;0;1;0;14;9;47;606;7;40;601;73;72;285;0;1;189;0;0;8;1;0;150;0;0;6;7;18;350;59;55;230;557917;199923;146377;0;557110;1;0;60698;10064142363;0;203155;10413;44598;0;
42;0;0;190260;368843;178399;79854;290883;48;83;616;0;728;2;1;0;5;0;0;0;1;0;10;5;64;678;6;24;568;75;71;286;1;0;219;0;0;7;0;2;92;0;0;7;7;22;348;35;62;249;555997;200223;145856;0;556180;0;0;99166;10064028745;0;203029;10413;44724;0;
43;0;0;190260;368842;178399;79854;290776;69;78;600;0;713;1;0;0;19;0;2;0;3;0;9;11;65;671;7;30;539;72;64;252;0;3;193;0;0;12;0;1;97;0;0;10;3;10;351;60;57;239;557659;199842;146263;0;557044;0;0;104700;10064138001;0;203086;10413;44667;0;
44;0;0;190260;368840;178397;79854;290700;59;88;783;0;889;4;0;0;23;0;1;0;2;0;11;16;89;825;13;31;424;49;46;248;1;4;135;0;1;12;0;1;68;0;1;8;2;15;364;60;60;264;555644;200102;145743;0;556079;0;0;89420;10064047055;0;203230;10413;44523;0;
45;0;0;190259;368839;178396;79854;290625;50;70;690;0;784;0;1;0;12;0;1;0;3;0;9;8;93;709;11;31;400;56;79;242;0;0;99;0;1;14;0;1;67;1;0;8;7;23;372;63;66;231;557127;199908;146210;0;556589;0;0;91682;10064066551;0;203292;10413;44461;0;
46;0;0;190257;368839;178396;79854;290548;65;68;951;0;1048;0;0;0;20;0;1;0;7;0;8;11;91;982;5;20;401;36;60;238;2;2;78;0;0;10;2;0;70;0;0;7;4;23;433;61;62;248;555728;200293;145910;0;555675;0;0;67358;10064062857;0;203134;10413;44619;0;
47;0;0;190257;368839;178396;79854;290465;75;93;991;0;1123;2;1;0;16;0;2;0;2;0;13;10;61;1088;9;26;380;41;46;217;3;1;43;0;0;7;0;0;80;0;0;3;7;22;435;71;78;275;556671;200055;146174;0;556183;0;0;66136;10064029403;0;202949;10413;44804;0;
48;0;0;190257;368838;178396;79854;290376;69;101;750;0;890;1;0;0;16;0;1;0;3;0;9;28;71;821;9;22;376;52;44;235;1;0;19;0;0;12;0;1;83;0;0;6;8;28;455;80;87;247;555849;200041;145869;0;555165;0;0;97196;10063966541;0;202709;10413;45044;0;
49;0;0;190257;368838;178396;79854;290238;68;101;739;0;878;0;0;0;21;0;2;0;2;0;5;23;90;795;9;27;414;51;63;242;0;3;9;0;1;8;0;0;131;0;0;7;5;27;455;71;70;248;556203;199939;146231;0;556112;0;0;68660;10063874639;0;202403;10413;45350;0;
50;0;0;190256;368836;178396;79852;290092;74;97;744;0;866;2;1;0;28;0;1;0;4;0;13;22;64;829;15;25;407;51;62;268;0;1;6;2;1;7;1;2;139;0;0;7;8;34;471;72;63;275;556034;200136;145878;0;555009;0;0;70158;10063883179;0;202275;10413;45478;0;
51;0;0;190256;368835;178396;79852;289915;61;78;782;0;867;2;0;0;40;0;1;0;5;0;6;26;88;807;7;23;480;58;53;268;1;0;29;1;0;9;0;1;169;0;0;8;8;42;400;66;72;306;555804;200032;146188;0;556115;0;0;71844;10063844927;0;202388;10413;45365;0;
52;0;0;190255;368832;178393;79852;289724;70;81;768;0;872;0;0;0;35;0;1;0;2;0;9;18;58;843;4;24;519;47;57;263;0;0;46;0;0;8;1;3;185;0;0;6;12;27;382;66;63;282;556194;199985;145970;0;555420;0;0;73816;10063886465;0;202208;10413;45545;0;
53;0;0;190254;368830;178392;79852;289567;74;86;747;0;852;1;0;0;45;0;0;0;3;0;6;16;74;817;7;29;558;47;60;280;0;2;52;0;1;9;1;2;150;0;0;7;7;14;337;64;48;268;555390;199893;146047;0;555300;0;0;74406;10063806759;0;202141;10413;45612;0;
54;0;0;190254;368827;178390;79851;289442;67;118;717;0;837;0;0;0;49;0;3;0;1;0;12;28;50;824;11;34;557;61;60;247;1;1;69;0;1;10;0;3;116;0;0;9;10;30;361;61;65;252;555869;199905;145979;0;554851;0;0;78520;10063952799;0;202489;10413;45264;0;
55;0;0;190252;368824;178389;79849;289329;77;97;811;0;919;0;1;0;53;0;2;0;4;0;6;33;67;885;17;25;551;72;67;237;0;0;77;0;0;15;2;3;99;0;0;14;7;26;311;47;62;250;555203;199912;146135;0;554993;0;0;79828;10063942777;0;202245;10413;45508;0;
