Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;177852;80132;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;3;13;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;257984;0;0;
1;0;0;190324;368930;177852;80132;298656;42;59;300;0;344;0;0;0;0;0;57;0;0;0;0;0;0;0;19;38;6;23;21;294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;560040;246498;162343;0;685209;91269;0;624;10040885945;0;131360;11157;115138;0;
2;0;0;190324;368930;177852;80132;298656;14;13;306;0;319;0;0;0;9;0;5;0;0;0;0;0;0;0;1;4;11;13;9;295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;569031;203032;134070;0;642728;61399;0;2250;10065017079;0;202477;10204;44998;0;
3;0;0;190324;368930;177852;80132;298656;9;5;55;0;45;0;0;0;11;0;13;0;0;0;0;0;0;0;3;3;17;6;2;38;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;563290;203861;143636;0;583622;23;0;4826;10067454055;0;215864;10204;31621;0;
4;0;0;190324;368930;177852;80132;298656;10;15;240;0;263;0;0;0;2;0;0;0;0;0;0;0;0;0;0;5;6;10;10;234;0;0;0;0;0;0;0;0;8;0;1;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;583152;203686;140570;0;585757;0;0;7214;10069174443;0;221397;10204;26103;0;
5;0;0;190324;368930;177852;80132;298656;9;13;97;0;107;0;0;0;4;0;8;0;0;0;0;0;2;0;0;3;3;9;8;94;0;0;0;0;0;0;2;1;34;3;3;15;0;0;0;1;0;20;0;0;0;0;0;0;0;0;0;0;0;0;571416;202412;145305;0;572881;0;0;10548;10068776203;0;218713;10204;28825;0;
6;0;0;190324;368930;177852;80132;298656;10;20;150;0;180;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;10;18;146;0;0;0;0;0;0;0;4;70;13;10;15;0;0;0;0;1;28;0;0;0;0;0;0;0;0;1;0;0;0;582843;202912;141952;0;582022;0;0;10562;10068633197;0;219519;10204;28045;0;
7;0;0;190324;368930;177852;80132;298656;4;13;189;0;202;0;0;0;1;0;3;0;0;0;0;0;2;7;0;5;16;4;6;166;0;0;0;0;0;0;1;5;122;4;14;40;0;0;0;1;0;47;0;0;0;0;0;0;0;1;1;0;2;0;573285;200697;145556;0;573076;0;0;10040;10068029359;0;216381;10204;31213;0;
8;0;0;190324;368930;177852;80132;298656;11;36;378;0;414;0;0;0;10;0;0;0;0;0;1;0;0;0;2;5;19;9;31;359;0;0;0;0;0;0;2;8;137;17;17;42;0;1;52;1;0;2;0;0;0;0;0;0;0;1;0;0;1;1;575887;201549;142895;0;577473;0;0;11696;10067773067;0;216665;10204;30929;0;
9;0;0;190324;368930;177852;80132;298656;9;17;153;0;178;0;0;0;1;0;0;0;0;0;0;1;0;0;1;10;5;7;7;148;0;0;0;0;0;0;0;0;107;16;8;57;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;570662;199776;146306;0;569345;0;0;12272;10067318063;0;214216;10204;33398;0;
