Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
84;0;0;189684;367370;177169;79815;270406;239;535;316;0;898;54;31;0;0;0;8;2;19;0;78;40;45;23;56;164;59;143;326;234;0;0;0;0;0;0;65;237;335;351;540;184;15;41;153;2;0;16;30;57;330;0;0;11;61;267;316;370;733;312;537844;194332;142529;0;536894;0;0;238958;10065577137;0;205357;10190;42291;0;
85;0;0;189668;367308;177138;79801;270082;256;512;316;0;934;38;29;0;0;0;18;1;14;0;50;43;39;23;58;146;65;155;327;228;0;0;0;0;0;0;69;222;365;275;513;164;14;37;187;0;1;7;16;62;318;0;0;6;65;266;284;426;731;264;537256;194359;142258;0;537039;0;0;147444;10065591557;0;205349;10190;42299;0;
86;0;0;189647;367249;177109;79789;269755;255;519;318;0;939;39;26;0;0;0;10;1;6;0;71;40;33;20;60;128;66;155;358;232;0;0;0;0;0;0;49;212;312;262;503;131;16;41;145;2;4;7;21;58;318;0;1;9;60;292;295;404;742;296;537129;194280;142505;0;536446;0;0;152300;10065555201;0;205210;10190;42438;0;
87;0;0;189631;367197;177078;79783;269460;248;472;324;0;920;27;24;0;0;0;6;0;21;0;46;41;31;22;67;177;71;140;264;231;0;0;0;0;0;0;50;210;297;289;450;109;11;38;162;1;1;5;16;52;290;0;0;5;51;270;297;411;721;240;537005;194096;142259;0;536428;0;0;155644;10065649441;0;205238;10190;42410;0;
88;0;0;189610;367139;177056;79769;269158;227;400;272;0;770;39;18;0;0;0;8;1;11;0;52;33;24;22;58;157;69;136;219;181;0;0;0;0;0;0;49;205;286;239;384;119;14;33;150;0;3;2;21;58;298;0;0;4;59;259;272;433;651;290;536867;194142;142339;0;535913;0;0;131178;10065566997;0;205123;10190;42525;0;
89;0;0;189590;367082;177030;79754;268864;184;448;240;0;765;41;13;0;0;0;3;1;14;0;35;25;28;13;52;159;62;107;261;165;0;0;0;0;0;0;50;143;258;228;446;107;12;25;124;1;0;10;20;57;285;0;0;9;54;241;302;423;638;271;536609;193930;142090;0;535956;0;0;144796;10065676075;0;205098;10190;42550;0;
90;0;0;189564;367033;176999;79745;268611;193;356;243;0;666;34;20;0;0;0;5;0;7;0;60;32;19;14;66;125;55;95;212;174;0;0;0;0;0;0;44;168;240;210;377;100;13;27;110;0;2;13;26;48;246;0;1;7;65;236;281;377;665;249;536513;193944;142314;0;535654;0;0;128826;10065659073;0;205017;10190;42631;0;
91;0;0;189553;366985;176980;79727;268360;203;333;183;0;642;20;22;0;0;0;3;0;5;0;27;24;17;10;53;117;46;126;199;127;0;0;0;0;0;0;43;184;208;214;386;114;11;25;100;1;2;4;11;47;248;0;1;3;59;209;244;368;609;234;536144;193896;142119;0;535512;0;0;133560;10065509145;0;204775;10190;42873;0;
92;0;0;189535;366937;176959;79717;268142;163;314;176;0;560;34;16;0;0;0;5;1;10;0;27;30;37;13;46;100;45;87;177;118;0;0;0;0;0;0;27;135;214;226;337;104;8;26;103;2;2;7;18;48;211;0;0;7;57;229;205;363;619;237;536053;193785;142199;0;535430;0;0;132290;10065449293;0;204524;10190;43124;0;
93;0;0;189515;366891;176937;79711;267937;157;272;176;0;501;33;20;0;0;0;9;0;14;0;28;29;26;15;54;115;40;74;131;121;0;0;0;0;0;0;28;144;208;206;300;91;10;23;94;1;1;12;20;42;202;0;4;3;51;209;192;356;552;178;535604;193820;142057;0;535364;0;0;136296;10065356259;0;204167;10190;43482;0;
94;0;0;189505;366843;176912;79700;267757;137;268;130;0;468;26;12;0;0;0;2;0;11;0;16;17;8;9;43;105;42;77;155;79;0;0;0;0;0;0;36;141;195;193;308;89;13;20;101;0;1;12;10;47;172;0;1;8;55;211;167;310;530;167;535783;193767;142175;0;535013;0;0;135026;10065316373;0;203977;10190;43672;0;
95;0;0;189488;366799;176890;79691;267571;138;249;126;0;433;19;19;0;0;0;2;0;9;0;31;27;7;10;36;91;24;75;151;92;0;0;0;0;0;0;24;148;164;179;294;87;3;27;75;0;3;4;17;44;181;0;0;5;43;198;174;285;509;161;535249;193620;141964;0;534858;0;0;148700;10065260857;0;203712;10190;43937;0;
96;0;0;189474;366762;176870;79685;267403;142;226;105;0;412;24;15;0;0;0;0;0;3;0;19;29;20;11;49;76;31;64;130;63;0;0;0;0;0;0;36;135;169;162;260;74;7;24;71;1;5;9;14;36;160;0;1;8;30;149;160;270;473;143;535613;193613;142028;0;534707;0;0;137960;10065252681;0;203696;10190;43953;0;
97;0;0;189459;366736;176853;79680;267258;110;243;127;0;420;17;14;0;0;0;4;0;2;0;23;25;25;15;28;74;24;57;144;88;0;0;0;0;0;0;35;94;131;161;232;75;7;17;63;1;1;4;15;26;144;0;0;1;46;175;151;263;456;140;534707;193567;141972;0;534502;0;0;146658;10065257229;0;203655;10190;43994;0;
98;0;0;189444;366695;176828;79675;267107;108;212;123;0;392;18;14;0;0;0;0;0;3;0;16;22;22;6;29;67;29;57;123;88;0;0;0;0;0;0;19;114;114;151;239;75;3;12;53;1;4;9;15;40;144;0;1;7;34;150;145;205;428;123;535304;193551;142058;0;534261;0;0;146982;10065349573;0;203939;10190;43710;0;
99;0;0;189435;366667;176808;79673;266981;103;180;111;0;318;15;12;0;0;0;3;0;5;0;41;17;14;13;30;70;32;56;96;66;0;0;0;0;0;0;30;87;113;142;204;54;6;11;52;2;1;6;9;28;119;0;0;7;37;139;135;241;401;99;534245;193461;141818;0;534292;0;0;183582;10065320417;0;203767;10190;43882;0;
100;0;0;189425;366638;176793;79669;266864;96;168;90;0;311;21;9;0;0;0;2;0;0;0;11;14;10;9;31;71;27;51;87;54;0;0;0;0;0;0;33;71;99;113;180;50;6;9;48;1;0;4;10;29;112;0;0;5;32;122;110;195;352;104;534682;193391;141864;0;534255;0;0;179942;10065287701;0;203998;10190;43651;0;
101;0;0;189415;366615;176782;79667;266740;74;148;79;0;253;18;15;0;0;0;1;0;3;0;11;18;13;5;16;69;24;40;66;50;0;0;0;0;0;0;24;88;99;125;183;52;6;7;49;1;8;7;10;22;115;0;1;9;20;141;109;227;348;127;533974;193335;141726;0;533668;0;0;165446;10065399145;0;204211;10190;43438;0;
102;0;0;189411;366590;176768;79666;266630;90;127;57;0;243;7;8;0;0;0;2;0;4;0;10;20;17;9;32;52;16;38;58;32;0;0;0;0;0;0;21;77;77;103;157;34;4;6;29;2;4;5;4;25;101;0;0;9;20;134;96;214;351;92;534334;193245;141796;0;533885;0;0;166908;10065490941;0;204382;10190;43267;0;
103;0;0;189399;366560;176753;79658;266547;62;117;71;0;203;18;14;0;0;0;1;0;4;0;10;17;10;6;18;57;25;27;50;40;0;0;0;0;0;0;14;71;79;88;170;47;5;11;39;0;2;9;12;28;78;0;2;5;24;123;107;205;305;87;533761;193157;141827;0;533175;0;0;293758;10065448507;0;204203;10190;43446;0;
