Days;Hours;Minutes;Students;StudentsInfected;Workers;WorkersInfected;OccupiedWorkers;OccupiedWorkersInfected;EssentialJobWorkers;EssentialJobWorkersInfected;Retired;RetiredInfected;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;MinutesAtWorkWorkerSusceptible;MinutesAtSchoolWorkerSusceptible;MinutesAtHomeWorkerSusceptible;MinutesAtFriendHomeWorkerSusceptible;MinutesAtGymWorkerSusceptible;MinutesAtPubWorkerSusceptible;MinutesAtWorkStudentSusceptible;MinutesAtSchoolStudentSusceptible;MinutesAtHomeStudentSusceptible;MinutesAtFriendHomeStudentSusceptible;MinutesAtGymStudentSusceptible;MinutesAtPubStudentSusceptible;MinutesAtWorkRetiredSusceptible;MinutesAtSchoolRetiredSusceptible;MinutesAtHomeRetiredSusceptible;MinutesAtFriendHomeRetiredSusceptible;MinutesAtGymRetiredSusceptible;MinutesAtPubRetiredSusceptible;MinutesAtWorkWorkerInfected;MinutesAtSchoolWorkerInfected;MinutesAtHomeWorkerInfected;MinutesAtFriendHomeWorkerInfected;MinutesAtGymWorkerInfected;MinutesAtPubWorkerInfected;MinutesAtWorkStudentInfected;MinutesAtSchoolStudentInfected;MinutesAtHomeStudentInfected;MinutesAtFriendHomeStudentInfected;MinutesAtGymStudentInfected;MinutesAtPubStudentInfected;MinutesAtWorkRetiredInfected;MinutesAtSchoolRetiredInfected;MinutesAtHomeRetiredInfected;MinutesAtFriendHomeRetiredInfected;MinutesAtGymRetiredInfected;MinutesAtPubRetiredInfected;
0;0;0;196560;7;381024;14;183703;6;82424;4;308416;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;3;6;8;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;0;0;196560;7;381024;14;183703;6;82424;4;308416;14;274;469;1112;0;1247;0;0;0;3;0;605;0;0;0;0;9;30;11;111;209;118;154;230;983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.262965E+07;0;4.650739E+08;0;0;7.758402E+07;0;0;3.788594E+08;0;0;7.001408E+07;0;0;5.885948E+08;0;0;1.13234E+08;624;0;10274;0;0;3614;0;0;14950;0;0;752;0;0;16500;0;0;6054;
2;0;0;196560;7;381024;15;183703;6;82424;5;308416;14;32;57;315;0;345;4;6;0;49;0;0;0;0;0;0;6;3;1;4;13;8;22;41;306;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.866418E+07;0;1.718088E+08;0;8852696;5.403005E+07;0;6.021985E+07;1.42649E+08;0;1.352176E+07;3.780578E+07;0;0;6.214659E+08;0;3.090421E+07;6.978513E+07;2496;0;14250;0;0;994;0;1956;9798;0;326;1142;0;0;33528;0;564;1566;
3;0;0;196560;11;381024;17;183703;6;82424;5;308416;23;36;10;135;0;123;0;2;0;14;0;40;0;0;0;2;4;0;2;21;5;95;11;5;38;0;0;0;0;0;0;0;0;3;4;2;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7.017751E+07;0;1.26882E+08;0;1.765649E+07;4.061835E+07;0;5.340891E+07;1.329729E+08;0;7475862;3.775998E+07;0;0;6.106677E+08;0;1.505904E+07;6.627827E+07;1782;0;12694;0;652;350;0;1948;9060;0;648;1046;0;0;39780;0;988;3664;
4;0;0;196560;21;381024;38;183703;15;82424;9;308416;74;48;46;103;0;66;0;2;0;84;0;45;0;0;0;0;7;6;12;17;18;39;24;22;52;0;0;0;0;0;0;0;3;34;10;18;17;0;0;0;0;1;23;0;0;0;0;0;0;0;0;0;0;0;0;6.74295E+07;0;1.701207E+08;0;7423526;5.131925E+07;0;5.304323E+07;1.250062E+08;0;1.486066E+07;3.542455E+07;0;0;4.750203E+08;0;3.972904E+07;8.379246E+07;2496;0;29660;0;0;1584;0;3912;15044;0;596;2162;0;0;130850;0;4316;15268;
5;0;0;196560;55;381024;101;183703;42;82424;23;308416;236;86;105;197;0;135;1;9;0;165;0;71;0;0;0;7;19;24;35;30;51;41;37;30;121;0;0;0;0;0;0;1;8;99;33;55;63;0;0;0;0;2;60;0;0;0;0;0;0;0;0;0;0;0;0;6.468956E+07;0;1.188796E+08;0;2.384236E+07;4.251586E+07;0;5.226626E+07;1.305109E+08;0;7465430;3.940116E+07;0;0;5.355637E+08;0;1.649134E+07;6.984427E+07;6476;0;38702;0;2618;3766;0;7802;24916;0;1416;4296;0;0;356310;0;9950;37156;
6;0;0;196560;113;381024;207;183703;92;82424;46;308416;499;133;211;349;0;173;1;12;0;351;0;136;1;8;0;11;36;24;66;47;82;66;50;105;217;0;0;0;0;0;0;4;13;153;54;93;110;2;2;59;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;6.62781E+07;0;1.8621E+08;0;7402544;5.364709E+07;0;5.152621E+07;1.272327E+08;0;1.291834E+07;3.540666E+07;0;0;5.018444E+08;0;3.309356E+07;8.598894E+07;13202;0;93592;0;1520;6962;0;15788;56400;0;2924;7358;0;0;753148;0;32724;72574;
7;0;0;196560;194;381024;321;183703;140;82424;70;308416;832;204;261;1912;0;1982;9;34;0;205;0;132;0;14;0;1;52;21;41;69;139;545;83;101;1326;0;0;0;0;0;0;2;16;186;81;100;147;0;4;90;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;6.46533E+07;0;1.199857E+08;0;2.079694E+07;4.21035E+07;0;5.17411E+07;1.279883E+08;0;7753742;3.906002E+07;0;0;5.088754E+08;0;1.650865E+07;6.947962E+07;19636;0;83866;0;5574;12338;0;26388;83370;0;4336;16712;0;0;1431188;0;30570;115764;
8;0;0;196560;248;381024;429;183703;197;82424;87;308416;1140;358;599;3099;0;2950;6;36;0;141;0;865;1;1;0;56;52;27;37;117;179;1120;189;393;1942;0;0;0;0;0;0;1;21;167;53;90;144;0;3;85;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;6.594759E+07;0;1.920905E+08;0;8243878;5.307044E+07;0;5.101843E+07;1.259412E+08;0;1.216546E+07;3.566743E+07;0;0;5.390249E+08;0;3.057967E+07;8.438706E+07;28140;0;159416;0;3758;20020;0;33932;112368;0;7088;20192;0;0;2385762;0;61390;191630;
9;0;0;196560;323;381024;525;183703;249;82424;106;308416;1423;403;310;1334;0;1008;6;44;0;41;0;936;0;8;0;4;55;13;8;46;78;106;302;219;1220;0;0;0;0;0;0;1;4;138;75;96;147;0;1;81;0;0;0;0;0;0;0;0;0;0;1;2;1;3;0;6.46349E+07;0;1.245408E+08;0;2.008027E+07;4.353647E+07;0;5.126487E+07;1.272274E+08;0;8185554;3.973858E+07;0;0;5.112365E+08;0;1.892263E+07;6.697302E+07;31722;0;184026;0;8792;23026;0;45608;148358;0;7632;32606;0;0;3558040;0;66548;209508;
