Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178027;79999;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;38;41;57;110;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258026;0;0;
1;0;0;190324;368930;178027;79999;298656;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;702468;243067;156767;0;786094;99320;0;624;10037133855;0;119263;14668;123804;0;
2;0;0;190324;368930;178027;79999;298656;0;18;31;0;44;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;608042;196333;108307;0;598299;102152;0;2104;10055567099;0;177459;13514;66828;0;
3;0;0;190324;368930;178027;79999;298656;2;17;17;0;26;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505383;161604;105690;0;505575;98987;0;5334;10062415479;0;199408;13514;44886;0;
4;0;0;190324;368930;178027;79999;298656;2;16;19;0;27;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;408851;131905;82850;0;407145;83159;0;5284;10065685419;0;209809;13514;34496;0;
5;0;0;190324;368930;178027;79999;298656;5;14;8;0;13;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;340735;109093;74158;0;337327;65113;0;10576;10067674383;0;216174;13514;28139;0;
6;0;0;190324;368930;178027;79999;298656;3;9;16;0;16;0;0;0;12;0;0;0;0;0;0;0;0;0;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;1;268592;88641;58585;0;268691;55559;0;11720;10069948763;0;223599;13514;20717;0;
7;0;0;190324;368930;178027;79999;298656;3;18;16;0;8;0;0;0;29;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;2;8;3;225729;73082;50632;0;227092;43544;0;11738;10070861787;0;226445;13514;17881;0;
8;0;0;190324;368930;178027;79999;298656;4;12;18;0;15;0;0;0;19;0;0;0;0;0;0;0;0;0;2;10;12;0;0;0;0;0;0;0;0;0;0;0;0;1;4;3;10;13;8;179375;60316;40768;0;179994;36394;0;10338;10072025017;0;230257;13514;14074;0;
9;0;0;190324;368930;178027;79999;298656;6;6;7;0;3;0;0;0;16;0;0;0;0;0;0;0;0;0;0;7;18;0;0;0;0;0;0;0;0;0;0;0;0;5;10;7;11;10;15;149956;49269;34184;0;151937;29157;0;11548;10072642625;0;232228;13514;12106;0;
10;0;0;190324;368930;178027;79999;298656;2;8;7;0;8;0;0;0;9;0;0;0;0;0;0;0;0;0;1;20;16;0;0;0;0;0;0;0;0;0;0;0;0;1;5;4;11;29;15;119537;40897;27304;0;120903;24065;0;15522;10073288521;0;234342;13514;9993;0;
11;0;0;190324;368930;178027;79999;298656;1;10;6;0;3;0;0;0;14;0;0;0;0;0;0;0;0;0;4;13;23;0;0;0;0;0;0;0;0;0;0;0;0;8;6;6;9;13;19;99959;33275;22545;0;101245;19396;0;13194;10073848365;0;236031;13514;8305;0;
12;0;0;190324;368930;178027;79999;298656;2;6;4;0;3;0;0;0;9;0;0;0;0;0;0;0;0;0;4;17;15;0;0;0;0;0;0;0;0;0;0;0;0;3;6;10;5;18;10;79509;27630;18033;0;80554;15870;0;24948;10074278331;0;237472;13514;6864;0;
13;0;0;190324;368930;178027;79999;298656;1;9;3;0;6;0;0;0;7;0;0;0;0;0;0;0;0;0;3;13;14;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;7;12;10;66718;22429;14715;0;67613;12846;0;24958;10074667837;0;238717;13514;5619;0;
14;0;0;190324;368930;178027;79999;298656;2;9;2;0;2;0;0;0;11;0;0;0;0;0;0;0;0;0;2;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;3;5;53545;18695;11762;0;54012;10752;0;24752;10074955341;0;239688;13514;4648;0;
15;0;0;190324;368930;178027;79999;298656;3;9;8;0;1;0;0;0;19;0;0;0;0;0;0;0;0;0;8;14;11;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;3;2;44301;15248;9502;0;45175;8682;0;24858;10075261649;0;240628;13514;3709;0;
16;0;0;190324;368930;178027;79999;298656;2;8;6;0;3;0;0;0;13;0;0;0;0;0;0;0;0;0;1;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;10;35959;12632;7673;0;36423;7121;0;23512;10075465655;0;241303;13514;3034;0;
