Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;177852;80132;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;3;13;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;257984;0;0;
1;0;0;190324;368930;177852;80132;298656;106;130;1158;0;1337;0;0;0;0;0;57;0;0;0;0;0;0;0;20;40;9;86;90;1149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;560382;246514;162410;0;685260;91341;0;614;10040982045;0;131671;11141;114843;0;
2;0;0;190324;368930;177852;80132;298656;4;23;133;0;146;0;0;0;9;0;5;0;0;0;0;0;0;0;1;8;10;3;15;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;569058;203066;134200;0;642773;61349;0;2238;10065077505;0;202655;10208;44816;0;
3;0;0;190324;368930;177852;80132;298656;5;6;48;0;28;0;0;0;12;0;18;0;1;0;0;0;0;0;4;4;21;1;2;27;0;0;0;0;0;0;0;0;8;0;2;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;563448;204009;143859;0;583886;22;0;4976;10067517409;0;216057;10208;31424;0;
4;0;0;190324;368930;177852;80132;298656;4;7;115;0;122;0;0;0;4;0;0;0;0;0;0;0;0;0;1;1;2;3;6;113;0;0;0;0;0;0;0;3;18;3;3;19;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;583493;203864;140690;0;586177;0;0;5052;10069211037;0;221519;10208;25977;0;
5;0;0;190324;368930;177852;80132;298656;1;5;48;0;48;0;0;0;4;0;2;0;0;0;0;0;0;0;0;3;3;1;2;45;0;0;0;0;0;0;2;6;103;9;8;41;0;0;0;1;3;63;0;0;0;0;0;0;0;0;0;0;0;0;571846;202636;145503;0;573427;0;0;10484;10068830561;0;218890;10208;28643;0;
6;0;0;190324;368930;177852;80132;298656;11;48;610;0;665;0;0;0;0;0;2;2;0;0;0;0;0;0;10;45;539;1;3;71;0;0;0;0;0;0;4;10;169;24;21;74;0;2;64;1;1;25;0;0;0;0;0;0;0;0;1;0;0;0;583451;203232;142201;0;582668;0;0;11384;10068641987;0;219539;10208;28020;0;
7;0;0;190324;368930;177852;80132;298656;73;35;773;0;868;0;0;0;10;0;3;0;0;0;0;0;0;0;41;14;169;32;21;604;0;0;0;0;0;0;3;11;220;16;20;107;1;0;123;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;574035;201026;145817;0;573834;0;0;9922;10068038269;0;216403;10208;31185;0;
8;0;0;190324;368930;177852;80132;298656;46;66;771;0;865;0;1;0;16;0;0;0;0;0;1;1;0;0;3;7;4;42;59;767;0;0;0;0;0;0;3;14;200;22;22;88;1;2;104;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;576841;201999;143262;0;578446;0;0;9934;10067766169;0;216636;10208;30952;0;
9;0;0;190324;368930;177852;80132;298656;21;33;292;0;340;0;0;0;6;0;0;0;0;0;0;0;0;0;2;10;3;19;23;289;0;0;0;0;0;0;2;2;116;16;18;106;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;571727;200215;146661;0;570429;0;0;12598;10067266489;0;214091;10208;33519;0;
