Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
0;0;0;190324;368930;178027;79999;298656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;38;41;57;110;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999999999;0;0;258026;0;0;
1;0;0;190324;368930;178027;79999;298656;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;703367;243050;156704;0;786638;99280;0;624;10037067015;0;119047;14693;124003;0;
2;0;0;190324;368930;178027;79999;298656;0;18;36;0;50;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;608082;196396;108231;0;598482;102052;0;2274;10055531199;0;177326;13539;66942;0;
3;0;0;190324;368930;178027;79999;298656;1;16;14;0;24;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505623;161731;105806;0;505783;98740;0;3602;10062386345;0;199297;13539;44979;0;
4;0;0;190324;368930;178027;79999;298656;3;12;16;0;23;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;409308;131933;82915;0;407729;83209;0;5312;10065698351;0;209853;13539;34435;0;
5;0;0;190324;368930;178027;79999;298656;4;11;10;0;11;0;0;0;14;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;340830;109211;74082;0;337597;65152;0;10826;10067703199;0;216197;13539;28100;0;
6;0;0;190324;368930;178027;79999;298656;3;11;19;0;20;0;0;0;13;0;0;0;0;0;0;0;1;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;1;268742;88915;58616;0;269106;55456;0;11752;10069910917;0;223462;13539;20839;0;
7;0;0;190324;368930;178027;79999;298656;4;19;12;0;13;0;0;0;22;0;0;0;0;0;0;0;0;3;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;2;8;3;225987;73318;50693;0;227451;43792;0;13222;10070857783;0;226424;13539;17883;0;
8;0;0;190324;368930;178027;79999;298656;6;17;19;0;27;0;0;0;15;0;0;0;0;0;0;0;3;6;0;6;8;0;0;0;0;0;3;0;0;0;0;0;0;1;4;3;10;13;8;179514;60414;40708;0;180169;36162;0;9736;10071983355;0;230080;13539;14232;0;
9;0;0;190324;368930;178027;79999;298656;7;10;9;0;9;0;0;0;17;0;0;0;0;0;0;0;3;12;0;6;9;0;0;0;0;0;8;0;0;0;0;0;0;5;10;7;11;10;15;150183;49199;34301;0;152018;29546;0;11994;10072675167;0;232224;13539;12090;0;
