Days;Hours;Minutes;Students;StudentsInfected;Workers;WorkersInfected;OccupiedWorkers;OccupiedWorkersInfected;EssentialJobWorkers;EssentialJobWorkersInfected;Retired;RetiredInfected;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;MinutesAtWorkWorkerSusceptible;MinutesAtSchoolWorkerSusceptible;MinutesAtHomeWorkerSusceptible;MinutesAtFriendHomeWorkerSusceptible;MinutesAtGymWorkerSusceptible;MinutesAtPubWorkerSusceptible;MinutesAtWorkStudentSusceptible;MinutesAtSchoolStudentSusceptible;MinutesAtHomeStudentSusceptible;MinutesAtFriendHomeStudentSusceptible;MinutesAtGymStudentSusceptible;MinutesAtPubStudentSusceptible;MinutesAtWorkRetiredSusceptible;MinutesAtSchoolRetiredSusceptible;MinutesAtHomeRetiredSusceptible;MinutesAtFriendHomeRetiredSusceptible;MinutesAtGymRetiredSusceptible;MinutesAtPubRetiredSusceptible;MinutesAtWorkWorkerInfected;MinutesAtSchoolWorkerInfected;MinutesAtHomeWorkerInfected;MinutesAtFriendHomeWorkerInfected;MinutesAtGymWorkerInfected;MinutesAtPubWorkerInfected;MinutesAtWorkStudentInfected;MinutesAtSchoolStudentInfected;MinutesAtHomeStudentInfected;MinutesAtFriendHomeStudentInfected;MinutesAtGymStudentInfected;MinutesAtPubStudentInfected;MinutesAtWorkRetiredInfected;MinutesAtSchoolRetiredInfected;MinutesAtHomeRetiredInfected;MinutesAtFriendHomeRetiredInfected;MinutesAtGymRetiredInfected;MinutesAtPubRetiredInfected;
0;0;0;196560;7;381024;14;184180;7;82219;4;308416;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;3;6;8;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;0;0;196560;7;381024;14;184180;7;82219;4;308416;14;36;46;340;0;411;0;0;0;0;0;11;0;0;0;0;5;4;5;3;14;14;28;28;321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.269744E+07;0;4.650195E+08;0;0;7.769514E+07;0;0;3.785376E+08;0;0;7.01742E+07;0;0;5.89099E+08;0;0;1.130844E+08;922;0;14270;0;0;924;0;0;16612;0;0;540;0;0;21734;0;0;5348;
2;0;0;196560;7;381024;14;184180;7;82219;4;308416;14;12;38;41;0;33;0;0;0;51;0;7;0;0;0;0;0;5;2;3;20;10;9;13;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.858594E+07;0;1.718768E+08;0;8875418;5.414647E+07;0;6.018976E+07;1.429175E+08;0;1.355515E+07;3.777132E+07;0;0;6.212698E+08;0;3.091037E+07;6.966778E+07;1858;0;15622;0;446;1420;0;2578;9408;0;446;950;0;0;29922;0;960;1476;
3;0;0;196560;7;381024;14;184180;7;82219;4;308416;15;4;30;281;0;305;0;0;0;10;0;0;0;0;0;0;0;0;0;0;1;2;4;29;279;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.018145E+07;0;1.271634E+08;0;1.767555E+07;4.074743E+07;0;5.345655E+07;1.331436E+08;0;7478618;3.769996E+07;0;0;6.086321E+08;0;1.519261E+07;6.624795E+07;1872;0;25548;0;236;1166;0;1624;7340;0;354;1214;0;0;31426;0;0;2484;
4;0;0;196560;7;381024;16;184180;9;82219;4;308416;24;6;6;257;0;268;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;35;5;6;221;0;0;0;0;0;0;0;1;5;0;1;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6.750585E+07;0;1.699431E+08;0;7506926;5.151895E+07;0;5.302304E+07;1.248617E+08;0;1.490854E+07;3.551586E+07;0;0;4.748295E+08;0;3.965799E+07;8.375367E+07;1848;0;25014;0;542;1324;0;2586;16690;0;462;1096;0;0;54984;0;2506;8278;
5;0;0;196560;10;381024;22;184180;11;82219;4;308416;61;21;8;350;0;364;0;0;0;0;0;15;0;0;0;0;0;0;1;17;5;332;4;3;17;0;0;0;0;0;0;0;3;19;3;3;18;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;6.48209E+07;0;1.189313E+08;0;2.380259E+07;4.251804E+07;0;5.231201E+07;1.306959E+08;0;7429274;3.938495E+07;0;0;5.348314E+08;0;1.661286E+07;6.973923E+07;2466;0;30536;0;694;1538;0;2562;13876;0;354;1746;0;0;115752;0;1814;11638;
6;0;0;196560;16;381024;39;184180;20;82219;6;308416;143;17;18;71;0;85;0;0;0;0;0;21;0;0;0;0;0;0;0;14;6;38;3;12;33;0;0;0;0;0;0;0;1;54;6;17;28;0;0;0;0;0;30;0;0;0;0;0;0;0;1;0;0;0;0;6.635265E+07;0;1.867928E+08;0;7426152;5.365774E+07;0;5.164394E+07;1.274461E+08;0;1.298352E+07;3.539741E+07;0;0;5.024028E+08;0;3.312722E+07;8.593554E+07;4668;0;66302;0;542;2866;0;4872;19578;0;1322;2348;0;0;289696;0;11856;27976;
7;0;0;196560;33;381024;51;184180;26;82219;7;308416;258;13;5;210;0;207;0;0;0;0;0;21;0;0;0;0;0;0;0;4;1;12;9;4;198;0;0;0;0;0;0;0;3;75;18;10;40;0;0;0;0;0;41;0;0;0;0;0;0;0;1;0;1;0;0;6.476947E+07;0;1.201056E+08;0;2.081127E+07;4.228294E+07;0;5.183438E+07;1.284397E+08;0;7730822;3.904546E+07;0;0;5.09988E+08;0;1.658682E+07;6.947901E+07;5928;0;69650;0;2120;3084;0;9750;37974;0;944;5244;0;0;461616;0;7768;40442;
8;0;0;196560;42;381024;74;184180;39;82219;8;308416;411;10;26;87;0;89;0;0;0;0;0;34;0;0;0;0;0;1;0;1;11;6;9;14;81;0;0;0;0;0;0;2;9;106;7;16;48;1;1;35;1;1;20;0;0;0;0;0;0;0;0;0;0;2;1;6.604217E+07;0;1.926526E+08;0;8244266;5.318448E+07;0;5.10939E+07;1.260804E+08;0;1.222741E+07;3.568881E+07;0;0;5.401937E+08;0;3.047933E+07;8.457678E+07;6816;0;79274;0;236;5022;0;11304;50104;0;3566;6218;0;0;854534;0;19810;58934;
9;0;0;196560;52;381024;102;184180;48;82219;13;308416;625;9;6;70;0;76;0;0;0;0;0;9;0;0;0;0;1;2;0;0;1;2;8;3;68;0;0;0;0;0;0;0;9;155;11;21;61;0;3;71;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;6.47721E+07;0;1.247164E+08;0;2.007701E+07;4.359295E+07;0;5.139298E+07;1.276377E+08;0;8162030;3.97694E+07;0;0;5.115528E+08;0;1.907631E+07;6.679167E+07;7916;0;90986;0;3438;4672;0;13742;57704;0;1062;8438;0;0;1332158;0;26410;88360;
