Days;Hours;Minutes;Students;StudentsInfected;Workers;WorkersInfected;OccupiedWorkers;OccupiedWorkersInfected;EssentialJobWorkers;EssentialJobWorkersInfected;Retired;RetiredInfected;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;MinutesAtWorkWorkerSusceptible;MinutesAtSchoolWorkerSusceptible;MinutesAtHomeWorkerSusceptible;MinutesAtFriendHomeWorkerSusceptible;MinutesAtGymWorkerSusceptible;MinutesAtPubWorkerSusceptible;MinutesAtWorkStudentSusceptible;MinutesAtSchoolStudentSusceptible;MinutesAtHomeStudentSusceptible;MinutesAtFriendHomeStudentSusceptible;MinutesAtGymStudentSusceptible;MinutesAtPubStudentSusceptible;MinutesAtWorkRetiredSusceptible;MinutesAtSchoolRetiredSusceptible;MinutesAtHomeRetiredSusceptible;MinutesAtFriendHomeRetiredSusceptible;MinutesAtGymRetiredSusceptible;MinutesAtPubRetiredSusceptible;MinutesAtWorkWorkerInfected;MinutesAtSchoolWorkerInfected;MinutesAtHomeWorkerInfected;MinutesAtFriendHomeWorkerInfected;MinutesAtGymWorkerInfected;MinutesAtPubWorkerInfected;MinutesAtWorkStudentInfected;MinutesAtSchoolStudentInfected;MinutesAtHomeStudentInfected;MinutesAtFriendHomeStudentInfected;MinutesAtGymStudentInfected;MinutesAtPubStudentInfected;MinutesAtWorkRetiredInfected;MinutesAtSchoolRetiredInfected;MinutesAtHomeRetiredInfected;MinutesAtFriendHomeRetiredInfected;MinutesAtGymRetiredInfected;MinutesAtPubRetiredInfected;
0;0;0;196560;7;381024;14;183703;6;82424;4;308416;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;3;6;8;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;0;0;196560;7;381024;14;183703;6;82424;4;308416;14;274;466;1109;0;1242;0;0;0;3;0;604;0;0;0;0;9;29;8;111;207;118;154;230;983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.263398E+07;0;4.650743E+08;0;0;7.758584E+07;0;0;3.78868E+08;0;0;7.001838E+07;0;0;5.88596E+08;0;0;1.132424E+08;624;0;12658;0;0;3616;0;0;15260;0;0;1018;0;0;22268;0;0;6356;
2;0;0;196560;7;381024;15;183703;6;82424;5;308416;14;36;58;316;0;343;3;6;0;58;0;0;0;0;0;0;10;5;2;4;12;8;22;41;306;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.865507E+07;0;1.71785E+08;0;8856556;5.403734E+07;0;6.022789E+07;1.426605E+08;0;1.352327E+07;3.781038E+07;0;0;6.214866E+08;0;3.090383E+07;6.979307E+07;3120;0;12704;0;0;1238;0;1956;5546;0;326;1140;0;0;28022;0;798;1966;
3;0;0;196560;11;381024;17;183703;6;82424;5;308416;23;36;10;136;0;123;0;2;0;15;0;40;0;0;0;2;4;0;3;21;5;95;11;5;38;0;0;0;0;0;0;0;0;3;4;2;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7.018791E+07;0;1.268905E+08;0;1.765155E+07;4.062633E+07;0;5.34006E+07;1.329969E+08;0;7478138;3.776162E+07;0;0;6.106852E+08;0;1.505855E+07;6.629125E+07;1782;0;9994;0;770;526;0;1946;5202;0;648;1046;0;0;36946;0;988;4184;
4;0;0;196560;21;381024;38;183703;15;82424;9;308416;74;49;46;103;0;66;0;2;0;83;0;45;0;0;0;2;7;6;11;17;18;39;25;22;53;0;0;0;0;0;0;0;3;34;10;18;17;0;0;0;0;1;23;0;0;0;0;0;0;0;0;0;0;0;0;6.742906E+07;0;1.701112E+08;0;7428120;5.130952E+07;0;5.304612E+07;1.250423E+08;0;1.486418E+07;3.543195E+07;0;0;4.750491E+08;0;3.972494E+07;8.378824E+07;3120;0;20750;0;0;1760;0;3912;10032;0;600;2160;0;0;119904;0;5208;15682;
5;0;0;196560;55;381024;102;183703;43;82424;23;308416;236;86;107;194;0;135;2;9;0;165;0;70;0;0;0;6;19;24;35;30;53;40;37;30;119;0;0;0;0;0;0;1;8;99;33;56;63;0;0;0;0;2;60;0;0;0;0;0;0;0;0;0;0;0;0;6.468632E+07;0;1.189332E+08;0;2.383903E+07;4.251949E+07;0;5.227989E+07;1.305328E+08;0;7464890;3.94156E+07;0;0;5.355283E+08;0;1.650177E+07;6.98572E+07;7176;0;31758;0;2906;4118;0;7802;18758;0;1416;4300;0;0;350568;0;9556;38526;
6;0;0;196560;114;381024;209;183703;94;82424;46;308416;499;135;213;344;0;175;1;13;0;351;0;133;0;8;0;11;37;24;65;48;83;66;50;106;213;0;0;0;0;0;0;4;13;153;55;94;110;2;2;59;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;6.628304E+07;0;1.862302E+08;0;7410048;5.364046E+07;0;5.152914E+07;1.272413E+08;0;1.292336E+07;3.54163E+07;0;0;5.018744E+08;0;3.310903E+07;8.597549E+07;14136;0;79994;0;1520;7488;0;15466;40352;0;3042;7444;0;0;754010;0;36682;77634;
7;0;0;196560;197;381024;322;183703;142;82424;70;308416;833;202;260;1894;0;1969;11;32;0;205;0;125;0;13;0;1;50;20;40;70;147;581;82;93;1273;0;0;0;0;0;0;2;16;186;83;99;148;0;4;90;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;6.465834E+07;0;1.199932E+08;0;2.079803E+07;4.210276E+07;0;5.176388E+07;1.280355E+08;0;7755502;3.905859E+07;0;0;5.088616E+08;0;1.650832E+07;6.948896E+07;20592;0;69804;0;5934;12582;0;26716;73704;0;4220;16704;0;0;1397494;0;32730;128562;
8;0;0;196560;251;381024;430;183703;198;82424;88;308416;1139;362;611;3109;0;2953;13;37;0;141;0;882;1;2;0;53;53;27;35;122;190;1131;187;394;1943;0;0;0;0;0;0;1;21;166;53;90;143;0;3;85;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;6.595115E+07;0;1.921541E+08;0;8258966;5.308178E+07;0;5.103983E+07;1.259504E+08;0;1.217892E+07;3.567681E+07;0;0;5.39014E+08;0;3.060235E+07;8.441093E+07;30702;0;131514;0;3638;21434;0;34066;101728;0;7548;20400;0;0;2291668;0;74814;214876;
9;0;0;196560;326;381024;525;183703;250;82424;107;308416;1421;398;320;1315;0;1015;10;44;0;41;0;908;0;8;0;7;55;12;8;42;87;101;301;221;1206;0;0;0;0;0;0;1;4;138;75;95;146;0;1;81;0;0;0;0;0;0;0;0;0;0;1;2;1;3;0;6.464373E+07;0;1.245729E+08;0;2.006859E+07;4.354482E+07;0;5.128679E+07;1.272593E+08;0;8183566;3.9751E+07;0;0;5.11216E+08;0;1.891577E+07;6.695966E+07;34842;0;145668;0;9690;25100;0;46694;132864;0;7514;33238;0;0;3072880;0;72370;243474;
